occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Doc Morbid's assistant, Cougar.","Doc Morbid's assistant, Cougar.",1,1,1,1,True
2,101,101,101,,,How's it going?,How's it going?,2,2,1,1,True
3,102,102,102,,,"Good, and you?","Good, and you?",3,3,1,1,True
4,103,103,103,,,I need to see the Doc.,I need to see the Doc.,4,4,1,1,True
5,104,104,104,,,Ung.,Ung.,5,5,1,1,True
6,105,105,105,,,The Cougar is always fine.,The Cougar is always fine.,6,6,1,1,True
7,106,106,106,,,"Hey, I gotta know . . .","Hey, I gotta know . . .",7,7,1,1,True
8,107,107,107,,,"You need to talk to my man, Flash, here. He can help you out.","You need to talk to my man, Flash, here. He can help you out.",8,8,1,1,True
9,108,108,108,,,Yow! Don't talk too fast man. You give the Cougar a headhurt. Talk to Flash instead.,"Yow! Don't talk too fast man. You give the Cougar a headhurt.
 Talk to Flash instead.",9,10,1,1,True
10,109,109,109,,,"It's you, again. The Cougar got nothing more to say.","It's you, again. The Cougar got nothing more to say.",11,11,1,1,True
11,110,110,110,,,"The Cougar is watching you, man!","The Cougar is watching you, man!",12,12,1,1,True
12,111,111,111,,,"Nice outfit, you scavenge that yourself?","Nice outfit, you scavenge that yourself?",13,13,1,1,True
