occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a weather-beaten farmer.,You see a weather-beaten farmer.,1,1,1,1,True
2,101,101,101,,,Good day.,Good day.,2,2,1,1,True
3,102,102,102,,,Hello.,Hello.,3,3,1,1,True
4,103,103,103,,,Hubip.,Hubip.,4,4,1,1,True
5,104,104,104,,,Hello again.,Hello again.,5,5,1,1,True
6,105,105,105,,,What can I do for you?,What can I do for you?,6,6,1,1,True
7,106,106,106,,,What's your name?,What's your name?,7,7,1,1,True
8,107,107,107,,,What can you tell me about your village?,What can you tell me about your village?,8,8,1,1,True
9,108,108,108,,,What are you doing?,What are you doing?,9,9,1,1,True
10,109,109,109,,,"Nothing, thanks.","Nothing, thanks.",10,10,1,1,True
11,110,110,110,,,I am called Curtis.,I am called Curtis.,11,11,1,1,True
12,111,111,111,,,"Our village is small, but we support ourselves. Aside from the attacks by raiders and the occasional Rad Scorpion, we have no problems. Aradesh is a good leader.","Our village is small, but we support ourselves. Aside from
 the attacks by raiders and the occasional Rad Scorpion,
 we have no problems. Aradesh is a good leader.",12,14,1,1,True
13,112,112,112,,,"I am a farmer. We irrigated the desert many years ago. Although the wasteland is harsh, it is possible to grow things with patience and time.","I am a farmer. We irrigated the desert many years ago.
 Although the wasteland is harsh, it is possible to
 grow things with patience and time.",15,17,1,1,True
14,113,113,113,,,I see. You seem to be doing pretty well.,I see. You seem to be doing pretty well.,18,18,1,1,True
15,114,114,114,,,You have all of your fields planted right now? You could probably do better with crop rotation.,"You have all of your fields planted right now? You could
 probably do better with crop rotation.",19,20,1,1,True
16,115,115,115,,,Crop rotation? What's that?,Crop rotation? What's that?,21,21,1,1,True
17,116,116,116,,,Never mind.,Never mind.,22,22,1,1,True
18,117,117,117,,,"You only plant some of your fields, allowing the others to get back some of the nutrients that the plants used up. You let the other fields become fertile again by just tilling up whatever grows there.","You only plant some of your fields, allowing the others to get
 back some of the nutrients that the plants used up. You let the other fields
 become fertile again by just tilling up whatever grows there.",23,25,1,1,True
19,118,118,118,,,"Huh. Never thought of that. Makes sense, though. Good idea.","Huh. Never thought of that. Makes sense, though. Good idea.",26,26,1,1,True
20,119,119,119,,,Can I ask you another question?,Can I ask you another question?,27,27,1,1,True
21,200,200,200,,,You gain 500 experience points for helping to improve the agriculture of Shady Sands.,"You gain 500 experience points for helping to improve the
 agriculture of Shady Sands.",28,29,1,1,True
