occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"You see a big, strong, burly man.","You see a big, strong, burly man.",1,1,1,1,True
2,101,101,101,,,Didn't we just meet? Have you come to kill me?,Didn't we just meet? Have you come to kill me?,2,2,1,1,True
3,102,102,102,,,"I know fathers aren't supposed to hug their sons, but I love you, dad!","I know fathers aren't supposed to hug their sons, but I love you, dad!",3,3,1,1,True
4,103,103,103,,,"Master, was this what I was supposed to become, Master?","Master, was this what I was supposed to become, Master?",4,4,1,1,True
5,104,104,104,,,There ain't nothin' like a Dane..,There ain't nothin' like a Dane..,5,5,1,1,True
6,105,105,105,,,"What's your favorite color, friend? Mine is milk!","What's your favorite color, friend? Mine is milk!",6,6,1,1,True
7,106,106,106,,,"You're an idiot, Dane. They're going to kill you soon and you deserve it! Weakling! Weakling!","You're an idiot, Dane. They're going to kill you soon and you deserve it! Weakling! Weakling!",7,7,1,1,True
8,107,107,107,,,"Mother, did you think they'd drop a bomb?","Mother, did you think they'd drop a bomb?",8,8,1,1,True
9,108,108,108,,,They did it with grace and such aplomb!,They did it with grace and such aplomb!,9,9,1,1,True
10,109,109,109,,,"My name is Dane, it is not Tom!","My name is Dane, it is not Tom!",10,10,1,1,True
11,110,110,110,,,"Your poetry sucks, man! It sucks! Sucks! Sucks!","Your poetry sucks, man! It sucks! Sucks! Sucks!",11,11,1,1,True
12,111,111,111,,,I like Mr. Handy! I want to have sex with his cute little hands . . .,I like Mr. Handy! I want to have sex with his cute little hands . . .,12,12,1,1,True
13,112,112,112,,,"I'm crazy. I've gone crazy. Oh my god, I have gone completely nuts! Think about peace! Think about Unity!","I'm crazy. I've gone crazy. Oh my god, I have gone completely nuts! Think about peace! Think about Unity!",13,13,1,1,True
14,113,113,113,,,"I want a horse! I need a horse! Bring me a horse, dammit! A horse!","I want a horse! I need a horse! Bring me a horse, dammit! A horse!",14,14,1,1,True
15,114,114,114,,,They're watching us even now! Mr. Nightkin! Felix and Timothy! Cats! Dogs! Nightkin!,They're watching us even now! Mr. Nightkin! Felix and Timothy! Cats! Dogs! Nightkin!,15,15,1,1,True
16,115,115,115,,,Shut up! They'll think you're a crazy asshole! You gotta get yourself together!,Shut up! They'll think you're a crazy asshole! You gotta get yourself together!,16,16,1,1,True
17,116,116,116,,,Lasher! You gotta kill Lasher! Save the kid! Poor little Flower Child. Poor me.,Lasher! You gotta kill Lasher! Save the kid! Poor little Flower Child. Poor me.,17,17,1,1,True
18,117,117,117,,,Shut up you son of a bitch! Pull yourself together!,Shut up you son of a bitch! Pull yourself together!,18,18,1,1,True
19,118,118,118,,,"[Singing off-key] Once, I was lost, and now I see! No more baptism now for me!","[Singing off-key] Once, I was lost, and now I see! No more baptism now for me!",19,19,1,1,True
20,119,119,119,,,"You know, I once overheard Morpheus shaking his fist at Nightkin. Or did I smell it?","You know, I once overheard Morpheus shaking his fist at Nightkin. Or did I smell it?",20,20,1,1,True
21,120,120,120,,,You're fools to cry for me. Never cry over spilled milk . . . or damaged goods.,You're fools to cry for me. Never cry over spilled milk . . . or damaged goods.,21,21,1,1,True
22,121,121,121,,,Does anyone know how to fix a toaster?,Does anyone know how to fix a toaster?,22,22,1,1,True
23,122,122,122,,,"Of course they do, idiot! It's your head they can't fix, you son of a bitch!","Of course they do, idiot! It's your head they can't fix, you son of a bitch!",23,23,1,1,True
24,123,123,123,,,"It's the guns, you asshole! Gunpowder is intelligent and evil and controls your brain! The more gunpowder that's near you, the crazier you become! BOOM! BOOM! BOOM!","It's the guns, you asshole! Gunpowder is intelligent and evil and controls your brain! The more gunpowder that's near you, the crazier you become! BOOM! BOOM! BOOM!",24,24,1,1,True
25,124,124,124,,, . . . I just want to set the world on fiiiiiiiyaaah!!!, . . . I just want to set the world on fiiiiiiiyaaah!!!,25,25,1,1,True
26,125,125,125,,,"You wanna rassle? I used to be real good at it . . . until the Nightkin beat me. Took two of them, though. Nightkin are real strong!","You wanna rassle? I used to be real good at it . . . until the Nightkin beat me. Took two of them, though. Nightkin are real strong!",26,26,1,1,True
27,126,126,126,,,"They're mutants, you fool! Of course they're strong!","They're mutants, you fool! Of course they're strong!",27,27,1,1,True
28,127,127,127,,,"So are penguins. And gyro buffalo. They shoot them out of great big bison guns. You gotta watch out for those buffalo women. They'll drop a bison on you so fast, you won't know what hit you! Ha!","So are penguins. And gyro buffalo. They shoot them out of great big bison guns. You gotta watch out for those buffalo women. They'll drop a bison on you so fast, you won't know what hit you! Ha!",28,28,1,1,True
29,128,128,128,,,"Don't I know you from somewhere? Does your brain hurt, too?","Don't I know you from somewhere? Does your brain hurt, too?",29,29,1,1,True
30,129,129,129,,,"Of course you know him, Dane, you idiot! He's our enemy! He must be destroyed!","Of course you know him, Dane, you idiot! He's our enemy! He must be destroyed!",30,30,1,1,True
31,529,529,529,,,"Of course you know her, Dane, you idiot! She's our enemy! She must be destroyed!","Of course you know her, Dane, you idiot! She's our enemy! She must be destroyed!",31,31,1,1,True
32,130,130,130,,,"Don't mind him, he's an asshole. I love you. Do you love me?","Don't mind him, he's an asshole. I love you. Do you love me?",32,32,1,1,True
33,131,131,131,,,"I used to live in Penticton, British Columbia. Or maybe I saw it on a map of the old days. Those were good old days. Wish I'd been alive back then . . .","I used to live in Penticton, British Columbia. Or maybe I saw it on a map of the old days. Those were good old days. Wish I'd been alive back then . . .",33,33,1,1,True
34,132,132,132,,,Aren't you tired of talking with me? Hasn't this just been incredibly tedious?,Aren't you tired of talking with me? Hasn't this just been incredibly tedious?,34,34,1,1,True
