occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a dying mutant.,You see a dying mutant.,1,1,1,1,True
2,101,101,101,,,The mutant is near death.,The mutant is near death.,2,2,1,1,True
3,102,102,102,,,You see the body of a mutant.,You see the body of a mutant.,3,3,1,1,True
4,103,103,103,,,The mutant is dead.,The mutant is dead.,4,4,1,1,True
5,104,104,104,,,It was so fast... My brothers were gone... Could not help...,It was so fast... My brothers were gone... Could not help...,5,5,1,1,True
6,105,105,105,,,Who are you?,Who are you?,6,6,1,1,True
7,106,106,106,,,"I, I'm... I can't remember... Was the leader of... It... Maybe my holodisk... [The mutant weakly hands you a bloody Holodisk]","I, I'm... I can't remember... Was the leader of... It... Maybe my holodisk... [The mutant weakly hands you a bloody Holodisk]",7,7,1,1,True
8,107,107,107,,,Where did you come from?,Where did you come from?,8,8,1,1,True
9,108,108,108,,,We... We were scouting for primes... Came from... From the northwest.,We... We were scouting for primes... Came from... From the northwest.,9,9,1,1,True
10,109,109,109,,,Who sent you?,Who sent you?,10,10,1,1,True
11,110,110,110,,,Father... Where are you father?... Yes Master... [The mutant breathes his last breath and collapses],Father... Where are you father?... Yes Master... [The mutant breathes his last breath and collapses],11,11,1,1,True
12,111,111,111,,,Uhhhh....  Arrgghh....,Uhhhh....  Arrgghh....,12,12,1,1,True
13,112,112,112,,,Master....,Master....,13,13,1,1,True
14,113,113,113,,,Brothers... Where...?,Brothers... Where...?,14,14,1,1,True
