occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see Demetre.,You see Demetre.,1,1,1,1,True
2,101,101,101,,,"Hey there! How are you doin'? The name's Demetre, Demetre Romara, head of the best damn caravan in the wastes. Are you lookin' for a job?","Hey there! How are you doin'? The name's Demetre, Demetre Romara, head of the best damn caravan in the wastes. Are you lookin' for a job?",2,2,1,1,True
3,102,102,102,,,"Hmmm, you don't look very strong at all, but... you MUST be great with guns then to have survived the outside! Hell, you're probably one mean fighter when the time comes!","Hmmm, you don't look very strong at all, but... you MUST be great
 with guns then to have survived the outside! Hell, you're probably one mean
 fighter when the time comes!",3,5,1,1,True
4,103,103,103,,,You look pretty fit.,You look pretty fit.,6,6,1,1,True
5,104,104,104,,,You look pretty strong.,You look pretty strong.,7,7,1,1,True
6,105,105,105,,,"Damn, you look strong!","Damn, you look strong!",8,8,1,1,True
7,106,106,106,,,Damn! You look like you could lift a mountain!,Damn! You look like you could lift a mountain!,9,9,1,1,True
8,107,107,107,,,"Yeah, so?","Yeah, so?",10,10,1,1,True
9,108,108,108,,,What's it to you?,What's it to you?,11,11,1,1,True
10,109,109,109,,,Huh?,Huh?,12,12,1,1,True
11,110,110,110,,,"That's just what we're lookin' for! You like the thrill and excitement of battle don't you?!  Bullets flying everywhere, whippin' by your head, blowin' your enemy in two, seein' the fear in their eyes! Ahhhh, that's the life! You look like the kind of person that could serve us well, and we pay well!  Oh yes, we do! We've just had a few new openin's, if you are interested; but of course you are, right?!","That's just what we're lookin' for! You like the thrill and excitement of battle don't you?!  Bullets flying everywhere, whippin' by your head, blowin' your enemy in two, seein' the fear in their eyes! Ahhhh, that's the life! You look like the kind of person that could serve us well, and we pay well!  Oh yes, we do! We've just had a few new openin's, if you are interested; but of course you are, right?!",13,13,1,1,True
12,111,111,111,,,What's the pay?,What's the pay?,14,14,1,1,True
13,112,112,112,,,I'll kill anything that gets in our way!,I'll kill anything that gets in our way!,15,15,1,1,True
14,113,113,113,,,No thanks.,No thanks.,16,16,1,1,True
15,114,114,114,,,I need a water chip.,I need a water chip.,17,17,1,1,True
16,115,115,115,,,What do you know about the missing caravans?,What do you know about the missing caravans?,18,18,1,1,True
17,116,116,116,,,I've got to go.,I've got to go.,19,19,1,1,True
18,117,117,117,,,Ugggg uggg!,Ugggg uggg!,20,20,1,1,True
