occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a Fool.,You see a Fool.,1,1,1,1,True
2,101,101,101,,,You see a ganger.,You see a ganger.,2,2,1,1,True
3,102,102,102,,,"They call us Fools, but you's just stupid for showing up here.","They call us Fools, but you's just stupid for showing up here.",3,3,1,1,True
4,103,103,103,,,You gonna start something with us?,You gonna start something with us?,4,4,1,1,True
5,104,104,104,,,This ain't your place.,This ain't your place.,5,5,1,1,True
6,105,105,105,,,Don't think you can come walking in here and start something.,Don't think you can come walking in here and start something.,6,6,1,1,True
7,106,106,106,,,"Watch out, or you can end up in a crypt, Crypt.","Watch out, or you can end up in a crypt, Crypt.",7,7,1,1,True
8,107,107,107,,,"Yeah, we gonna work those Crypts.","Yeah, we gonna work those Crypts.",8,8,1,1,True
9,108,108,108,,,Scrapheap ain't gonna be the same without those Crypts. It's gonna be ours!,Scrapheap ain't gonna be the same without those Crypts. It's gonna be ours!,9,9,1,1,True
10,109,109,109,,,Ha ha ha! Ha ha ha ha!,Ha ha ha! Ha ha ha ha!,10,10,1,1,True
11,110,110,110,,,Fools! Fools! Fools! Yeah!,Fools! Fools! Fools! Yeah!,11,11,1,1,True
12,111,111,111,,,Didja hear the one about the chicken and the foxhole?,Didja hear the one about the chicken and the foxhole?,12,12,1,1,True
13,112,112,112,,,Be cool.,Be cool.,13,13,1,1,True
14,113,113,113,,,"He who laughs last, laughs last.","He who laughs last, laughs last.",14,14,1,1,True
15,114,114,114,,,"Life's a joke, yuk it up.","Life's a joke, yuk it up.",15,15,1,1,True
16,115,115,115,,,"If it wasn't for them Crypts, we would rule this town. Or at least kick Lenny in the crotch.","If it wasn't for them Crypts, we would rule this town. Or at least kick Lenny in the crotch.",16,16,1,1,True
17,116,116,116,,,Be a fool.,Be a fool.,17,17,1,1,True
18,117,117,117,,,You think that puny leather will save you from Baka?,You think that puny leather will save you from Baka?,18,18,1,1,True
19,118,118,118,,,What happened? Your mom drop you on your head at birth?,What happened? Your mom drop you on your head at birth?,19,19,1,1,True
20,119,119,119,,,"If I were that ugly, I'd kill myself.","If I were that ugly, I'd kill myself.",20,20,1,1,True
21,120,120,120,,,You Crypts look like you just came out of one.,You Crypts look like you just came out of one.,21,21,1,1,True
22,121,121,121,,,"Only a fool would try something that stupid. Oh, wait, I am a Fool.","Only a fool would try something that stupid. Oh, wait, I am a Fool.",22,22,1,1,True
