occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a farmer.,You see a farmer.,1,1,1,1,True
2,101,101,101,,,"Hi there, stranger. Like my crops?","Hi there, stranger. Like my crops?",2,2,1,1,True
3,102,102,102,,,Good morning to you!,Good morning to you!,3,3,1,1,True
4,103,103,103,,,Good afternoon!,Good afternoon!,4,4,1,1,True
5,104,104,104,,,"Evening, friend!","Evening, friend!",5,5,1,1,True
6,105,105,105,,,"Nice day, isn't it?","Nice day, isn't it?",6,6,1,1,True
7,106,106,106,,,This soil is much healthier than it looks.,This soil is much healthier than it looks.,7,7,1,1,True
8,107,107,107,,,I'm trying to save these trees and I think it's working.,I'm trying to save these trees and I think it's working.,8,8,1,1,True
9,108,108,108,,,There should be a fertilizer caravan.  Now there's some money.,There should be a fertilizer caravan.  Now there's some money.,9,9,1,1,True
10,109,109,109,,,"Come on in, there's plenty of room.","Come on in, there's plenty of room.",10,10,1,1,True
11,110,110,110,,,It's a little chilly out there; have a seat.,It's a little chilly out there; have a seat.,11,11,1,1,True
12,111,111,111,,,Farming suits me.,Farming suits me.,12,12,1,1,True
13,112,112,112,,,Did you know plants grow better when you're nice to them?,Did you know plants grow better when you're nice to them?,13,13,1,1,True
14,113,113,113,,,I wish I had a little more land.,I wish I had a little more land.,14,14,1,1,True
15,114,114,114,,,Did you know there used to be large bodies of drinkable water?,Did you know there used to be large bodies of drinkable water?,15,15,1,1,True
16,115,115,115,,,I've read about rivers. I sure wish I had one next to my fields.,I've read about rivers. I sure wish I had one next to my fields.,16,16,1,1,True
17,116,116,116,,,I wish the days were longer; there's so much to do.,I wish the days were longer; there's so much to do.,17,17,1,1,True
