occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see the Fargo Traders Caravan Driver.,You see the Fargo Traders Caravan Driver.,1,1,1,1,True
2,101,101,101,,,"Hi, if you're wantin' a job on a caravan, you should talk to Rutger.  He's just over there.","Hi, if you're wantin' a job on a caravan, you should talk to Rutger.  He's just over there.",2,2,1,1,True
3,102,102,102,,,You're gonna need to talk to Rutger.,You're gonna need to talk to Rutger.,3,3,1,1,True
4,103,103,103,,,"So you signed up.  Good to hear it.  So ya know, we leave just about every ten days. That's the 8th, 18th, and 28th of each month.  Right now we're making runs to The Brotherhood, Junktown and the LA Boneyard.","So you signed up.  Good to hear it.  So ya know, we leave just about every ten days. That's
 the 8th, 18th, and 28th of each month.  Right now we're making runs to The Brotherhood, Junktown and the LA Boneyard.",4,5,1,1,True
5,104,104,104,,,So what's the pay?,So what's the pay?,6,6,1,1,True
6,105,105,105,,,Um.,Um.,7,7,1,1,True
7,106,106,106,,,"You'll get 400 hubbucks. You might be sayin' that it ain't that much, but we go out often and you ain't gonna lose your life that easy.  But you get that pay going each way, not that you have to go each way, but you'll get a total of 800 if you do. ","You'll get 400 hubbucks. You might be sayin' that it ain't that much, but we go out often and you ain't
 gonna lose your life that easy.  But you get that pay going each way, not that you have to go each way, but you'll
 get a total of 800 if you do. ",8,10,1,1,True
8,107,107,107,,, We're headin' out today.  You interested?, We're headin' out today.  You interested?,11,11,1,1,True
9,108,108,108,,, We take off on , We take off on ,12,12,1,1,True
10,109,109,109,,,Empty,Empty,13,13,1,1,True
11,110,110,110,,,,,14,14,1,1,True
12,111,111,111,,,. You interested?,. You interested?,15,15,1,1,True
13,112,112,112,,,"I'll still give you a job, even though... never mind.  Are you interested?","I'll still give you a job, even though... never mind.  Are you interested?",16,16,1,1,True
14,113,113,113,,,Sure. ,Sure. ,17,17,1,1,True
15,114,114,114,,,No.,No.,18,18,1,1,True
16,115,115,115,,,Maybe.,Maybe.,19,19,1,1,True
17,116,116,116,,,Yaya.,Yaya.,20,20,1,1,True
18,117,117,117,,,Tae?,Tae?,21,21,1,1,True
19,118,118,118,,,Alrighty.  Not a problem.  Just let me know if you change your mind.,Alrighty.  Not a problem.  Just let me know if you change your mind.,22,22,1,1,True
20,119,119,119,,,Would you just make up your mind?,Would you just make up your mind?,23,23,1,1,True
