occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a lean and unkempt boy.,You see a lean and unkempt boy.,1,1,1,1,True
2,101,101,101,,,I don't think I should talk to you. Go away.,I don't think I should talk to you. Go away.,2,2,1,1,True
3,102,102,102,,,"Why do you have a weapon drawn? We don't got nothing, not even fish!","Why do you have a weapon drawn? We don't got nothing, not even fish!",3,3,1,1,True
4,103,103,103,,,Hi. Wha'cha want?,Hi. Wha'cha want?,4,4,1,1,True
5,104,104,104,,,How's the fishing?,How's the fishing?,5,5,1,1,True
6,105,105,105,,,I'm running a little low on supplies . . .,I'm running a little low on supplies . . .,6,6,1,1,True
7,106,106,106,,,Seen anything unusual lately?,Seen anything unusual lately?,7,7,1,1,True
8,107,107,107,,,Want to hear about my adventures in the Rad Scorpion caves?,Want to hear about my adventures in the Rad Scorpion caves?,8,8,1,1,True
9,108,108,108,,,Runk!,Runk!,9,9,1,1,True
10,109,109,109,,,Hi. Aren't you that person who goes around helping people? You must got lots of interesting stories to tell!,"Hi. Aren't you that person who goes around helping people? You must
 got lots of interesting stories to tell!",10,11,1,1,True
11,110,110,110,,,Where do you come from?,Where do you come from?,12,12,1,1,True
12,111,111,111,,,Hi there. I see you're not stupid enough to be fishing here. What's up?,Hi there. I see you're not stupid enough to be fishing here. What's up?,13,13,1,1,True
13,112,112,112,,,"Not sure. Dad and I have been wandering the wastes for so long. We had a friend, a scorpion hunter with us, but he went nuts and we had to kill him, and then we . . .","Not sure. Dad and I have been wandering the wastes for so long. We had a
 friend, a scorpion hunter with us, but he went nuts and we had to kill him, and
 then we . . .",14,16,1,1,True
14,113,113,113,,,"Hmmm, maybe I shouldn't talk about that.","Hmmm, maybe I shouldn't talk about that.",17,17,1,1,True
15,114,114,114,,,Tell me about your dad.,Tell me about your dad.,18,18,1,1,True
16,115,115,115,,,What about scorpions?,What about scorpions?,19,19,1,1,True
17,116,116,116,,,"It sucks. Sorry, I shouldn't use the word 'suck.' Dad thinks that people who say suck all the time are either brain-dead simpletons or inarticulate losers. Dad's always trying to sound smart.","It sucks. Sorry, I shouldn't use the word 'suck.' Dad thinks that people
 who say suck all the time are either brain-dead simpletons or inarticulate
 losers. Dad's always trying to sound smart.",20,22,1,1,True
18,117,117,117,,,I agree with your father.,I agree with your father.,23,23,1,1,True
19,118,118,118,,,Sorry. I'm not the one to talk to about supplies.,Sorry. I'm not the one to talk to about supplies.,24,24,1,1,True
20,119,119,119,,,"I saw a big thing like a giant spider with two heads, and one head looked human. Dad thinks I sucked up too much radiation. I dunno. Contaminated water does weird stuff to the brain.","I saw a big thing like a giant spider with two heads, and one head
 looked human. Dad thinks I sucked up too much radiation. I dunno. Contaminated
 water does weird stuff to the brain.",25,27,1,1,True
21,120,120,120,,,"Yeah, like what?","Yeah, like what?",28,28,1,1,True
22,121,121,121,,,What's a runk?,What's a runk?,29,29,1,1,True
23,122,122,122,,,Sure!,Sure!,30,30,1,1,True
24,123,123,123,,,The worst thing about hunting Rad Scorpions is waiting for them to get into a good ambush spot.,"The worst thing about hunting Rad Scorpions is waiting for them to
 get into a good ambush spot.",31,32,1,1,True
25,124,124,124,,,The worst thing about hunting Rad Scorpions is chasing them down after they run away!,"The worst thing about hunting Rad Scorpions is chasing them down after
 they run away!",33,34,1,1,True
26,125,125,125,,,The worst thing about hunting Rad Scorpions is getting stung in the face by their stinger.,"The worst thing about hunting Rad Scorpions is getting stung in the
 face by their stinger.",35,36,1,1,True
27,126,126,126,,,"Yeah. Did you ever hear about the raiders who fell into the Rad Scorpion nest and they all got stung and stung and eaten alive, except for the one who ran away with half his face chewed off!","Yeah. Did you ever hear about the raiders who fell into the Rad
 Scorpion nest and they all got stung and stung and eaten alive, except for
 the one who ran away with half his face chewed off!",37,39,1,1,True
28,127,127,127,,,"Man, that was a good one!","Man, that was a good one!",40,40,1,1,True
29,128,128,128,,,"Well he's kind of loud and boring, and I ain't sure he's my real dad. I think he musta stole me when I was a baby. But he feeds me most of the time, so I like him, I guess.","Well he's kind of loud and boring, and I ain't sure he's my real dad.
 I think he musta stole me when I was a baby. But he feeds me most of the time,
 so I like him, I guess.",41,43,1,1,True
30,129,129,129,,,"They're big and they're nasty, and they're getting outta control. Dad said there used to be heroes who'd wander around the wastes and kill them off, but most of them are dead now, I guess.","They're big and they're nasty, and they're getting outta control. Dad
 said there used to be heroes who'd wander around the wastes and kill them off,
 but most of them are dead now, I guess.",44,46,1,1,True
31,130,130,130,,,What kind of heroes?,What kind of heroes?,47,47,1,1,True
32,131,131,131,,,"Yeah, adults always agree with each other. It's just stupid.","Yeah, adults always agree with each other. It's just stupid.",48,48,1,1,True
33,132,132,132,,,"Big Henry used to go with us, and he was better'n dad and me, until he went insane and tried to strangle me. Dad had to shoot him!","Big Henry used to go with us, and he was better'n dad and me, until he
 went insane and tried to strangle me. Dad had to shoot him!",49,50,1,1,True
34,133,133,133,,,Is your dad a good shot?,Is your dad a good shot?,51,51,1,1,True
35,134,134,134,,,Who's Big Henry?,Who's Big Henry?,52,52,1,1,True
36,135,135,135,,,"Well that sounds great! I'd better get back to fishing though, or we're gonna get so hungry, we're gonna have to eat you!","Well that sounds great! I'd better get back to fishing though, or we're
 gonna get so hungry, we're gonna have to eat you!",53,54,1,1,True
