occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,We're not here to talk.,We're not here to talk.,1,1,1,1,True
2,101,101,101,,,I will follow you unto death.,I will follow you unto death.,2,2,1,1,True
3,102,102,102,,,"This is a pretty important job, huh?","This is a pretty important job, huh?",3,3,1,1,True
4,103,103,103,,,Nicole says we must cause as much damage as possible.,Nicole says we must cause as much damage as possible.,4,4,1,1,True
5,104,104,104,,,Who do I get to kill next.,Who do I get to kill next.,5,5,1,1,True
6,105,105,105,,,What are we doing chatting?,What are we doing chatting?,6,6,1,1,True
7,106,106,106,,,"I don't like these brown robed shitheads, thank you very much.","I don't like these brown robed shitheads, thank you very much.",7,7,1,1,True
8,107,107,107,,,This could be dangerous.,This could be dangerous.,8,8,1,1,True
9,108,108,108,,,Time to leave.,Time to leave.,9,9,1,1,True
10,109,109,109,,,This place looks like shit on a wall.,This place looks like shit on a wall.,10,10,1,1,True
11,110,110,110,,,I think I'm going to be sick.,I think I'm going to be sick.,11,11,1,1,True
12,111,111,111,,,Nicole told us to return as soon as you left the Cathedral.,Nicole told us to return as soon as you left the Cathedral.,12,12,1,1,True
13,112,112,112,,,Glad to meet ya. Let's get it on.,Glad to meet ya. Let's get it on.,13,13,1,1,True
