occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a ghoul gang member.,You see a ghoul gang member.,1,1,1,1,True
2,101,101,101,,,What are you doing here? Answer wisely - this could be your only chance . . .,"What are you doing here? Answer wisely - this could be your
 only chance . . .",2,3,1,1,True
3,102,102,102,,,I'm looking for the boss.,I'm looking for the boss.,4,4,1,1,True
4,103,103,103,,,This building is condemned - I've come to serve final notice.,This building is condemned - I've come to serve final notice.,5,5,1,1,True
5,104,104,104,,,"Sorry, just looking around.","Sorry, just looking around.",6,6,1,1,True
6,105,105,105,,,Duh.,Duh.,7,7,1,1,True
7,106,106,106,,,"Set ain't here, so git.","Set ain't here, so git.",8,8,1,1,True
8,107,107,107,,,"Oh, OK. Bye.","Oh, OK. Bye.",9,9,1,1,True
9,108,108,108,,,"Well, when I find that son of a bitch, I'm gonna make it so no one can find him.","Well, when I find that son of a bitch, I'm gonna make it
 so no one can find him.",10,11,1,1,True
10,109,109,109,,,"Well, you'll just have to be my punching bag, then.","Well, you'll just have to be my punching bag, then.",12,12,1,1,True
11,110,110,110,,,You gots some mental problems to work out. Set's not gonna let some loser like you take 'em down. He's got the guards and he's got the guns.,"You gots some mental problems to work out. Set's not gonna
 let some loser like you take 'em down. He's got the guards
 and he's got the guns.",13,15,1,1,True
12,111,111,111,,,How many guards?,How many guards?,16,16,1,1,True
13,112,112,112,,,What are you doing here?,What are you doing here?,17,17,1,1,True
14,113,113,113,,,"Set keeps at least two guards around him at all times, but he can call on more then ten if he needs it. And when he's in his throne room, those ten guards are seconds away.","Set keeps at least two guards around him at all times,
 but he can call on more then ten if he needs it. And
 when he's in his throne room, those ten guards are seconds
 away.",18,21,1,1,True
15,114,114,114,,,So what are you doing here?,So what are you doing here?,22,22,1,1,True
16,115,115,115,,,"I ain't telling ya' that. Whadda ya' think I am, stupid? Now git . . .","I ain't telling ya' that. Whadda ya' think I am, stupid?
 Now git . . .",23,24,1,1,True
17,116,116,116,,,I'm supposed to make sure no one goes by. Dis is Zombie house.,I'm supposed to make sure no one goes by. Dis is Zombie house.,25,25,1,1,True
18,117,117,117,,,What's a Zombie?,What's a Zombie?,26,26,1,1,True
19,118,118,118,,,"Well, you have a nice day.","Well, you have a nice day.",27,27,1,1,True
20,119,119,119,,,"Not a what . . . A WHO. We are the Zombies. If we do good, Set'll make us one of his guards. Now that's all I'm gonna tell you.","Not a what . . . A WHO. We are the Zombies. If we do good, Set'll make
 us one of his guards. Now that's all I'm gonna tell you.",28,29,1,1,True
21,120,120,120,,,Why do you want to be one of his guards?,Why do you want to be one of his guards?,30,30,1,1,True
22,121,121,121,,,Bye.,Bye.,31,31,1,1,True
23,122,122,122,,,I said dat's all I'm gonna tell ya'. Now git.,I said dat's all I'm gonna tell ya'. Now git.,32,32,1,1,True
24,123,123,123,,,You crazy. What do you think dis is? You better leave.,You crazy. What do you think dis is? You better leave.,33,33,1,1,True
25,124,124,124,,,"Nah, I want to go in.","Nah, I want to go in.",34,34,1,1,True
26,125,125,125,,,"OK, I'm out of here.","OK, I'm out of here.",35,35,1,1,True
27,126,126,126,,,I don't think so. Get out before I call the boyz over and dance on your face.,"I don't think so. Get out before I call the boyz over and
 dance on your face.",36,37,1,1,True
28,127,127,127,,,Is that a threat?,Is that a threat?,38,38,1,1,True
29,128,128,128,,,OK.,OK.,39,39,1,1,True
30,129,129,129,,,It was. Now it's a fact. ZOMBIES!,It was. Now it's a fact. ZOMBIES!,40,40,1,1,True
31,130,130,130,,,Stay away from dis place if you value yer life.,Stay away from dis place if you value yer life.,41,41,1,1,True
32,131,131,131,,,"HEY, ZOMBIES, WE GOT US A PUNCHIN' BAG!","HEY, ZOMBIES, WE GOT US A PUNCHIN' BAG!",42,42,1,1,True
33,132,132,132,,,You should git.,You should git.,43,43,1,1,True
