occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a Paladin.,You see a Paladin.,1,1,1,1,True
2,101,101,101,,,"Sorry, can't talk, Initiate.","Sorry, can't talk, Initiate.",2,2,1,1,True
3,102,102,102,,,Good day.,Good day.,3,3,1,1,True
4,103,103,103,,,Did you know you could survive for weeks without water in a suit of powered armor?,"Did you know you could survive for weeks without water in a suit
 of powered armor?",4,5,1,1,True
5,104,104,104,,,Don't you just love a good fight?,Don't you just love a good fight?,6,6,1,1,True
6,105,105,105,,,"I really like the new laser rifles, but the old laser pistols are my favorite.","I really like the new laser rifles, but the old laser pistols
 are my favorite.",7,8,1,1,True
7,106,106,106,,,The night perimeter patrols are very dangerous. I wouldn't wander too far at night if I were you.,"The night perimeter patrols are very dangerous. I wouldn't wander
 too far at night if I were you.",9,10,1,1,True
8,107,107,107,,,"Be careful, it's a deadly world out there.","Be careful, it's a deadly world out there.",11,11,1,1,True
9,108,108,108,,,I think my armor has a spot on it!,I think my armor has a spot on it!,12,12,1,1,True
10,109,109,109,,,"The Brotherhood is great. I haven't had any experience outside of it, but it couldn't possibly get better than this.","The Brotherhood is great. I haven't had any experience
 outside of it, but it couldn't possibly get better than this.",13,14,1,1,True
11,110,110,110,,,"Good day, Initiate.","Good day, Initiate.",15,15,1,1,True
12,111,111,111,,,"If you need anything, you should talk to Vree.","If you need anything, you should talk to Vree.",16,16,1,1,True
13,112,112,112,,,Vree's right over there if you need to talk to someone.,Vree's right over there if you need to talk to someone.,17,17,1,1,True
14,113,113,113,,,I've got to find time between the patrols and training to keep up with my studies. I think I'm getting a little rusty.,"I've got to find time between the patrols and training to keep up
 with my studies. I think I'm getting a little rusty.",18,19,1,1,True
15,114,114,114,,,"You've got to keep your mind and body in top condition at all times, Initiate.","You've got to keep your mind and body in top condition at all times,
 Initiate.",20,21,1,1,True
16,115,115,115,,,"Being a Paladin isn't just combat, my son.","Being a Paladin isn't just combat, my son.",22,22,1,1,True
17,116,116,116,,,"Being a Paladin isn't just combat, my lady.","Being a Paladin isn't just combat, my lady.",23,23,1,1,True
