occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a Scribe.,You see a Scribe.,1,1,1,1,True
2,101,101,101,,,Vree's my idol.,Vree's my idol.,2,2,1,1,True
3,102,102,102,,,Vree is so pretty.,Vree is so pretty.,3,3,1,1,True
4,103,103,103,,,Sophia sure is nice.,Sophia sure is nice.,4,4,1,1,True
5,104,104,104,,,Derek is cool.,Derek is cool.,5,5,1,1,True
6,105,105,105,,,Will the universe continue to expand or will it eventually collapse back in on itself?,"Will the universe continue to expand or will it eventually collapse
 back in on itself?",6,7,1,1,True
7,106,106,106,,,"I love those old books and magazines, but they are so hard to come by.","I love those old books and magazines, but they are so hard to come
 by.",8,9,1,1,True
8,107,107,107,,,Knowledge is power.,Knowledge is power.,10,10,1,1,True
9,108,108,108,,,The pen is mightier than the sword.,The pen is mightier than the sword.,11,11,1,1,True
10,109,109,109,,,Technology must be preserved.,Technology must be preserved.,12,12,1,1,True
11,110,110,110,,,Science is so much fun.,Science is so much fun.,13,13,1,1,True
12,111,111,111,,,I've seen an alien space ship before.,I've seen an alien space ship before.,14,14,1,1,True
13,112,112,112,,,Did you know the sun is actually a big nuclear reaction?,Did you know the sun is actually a big nuclear reaction?,15,15,1,1,True
14,113,113,113,,,Did you know a black hole is actually an opening to another universe?,Did you know a black hole is actually an opening to another universe?,16,16,1,1,True
15,114,114,114,,,Did you know that the hydrogen atom is 99.9843425% empty space?,Did you know that the hydrogen atom is 99.9843425% empty space?,17,17,1,1,True
16,115,115,115,,,Time travel will one day be possible and we might be able to prevent the disaster that ruined our world in the past.,"Time travel will one day be possible and we might be able to prevent
 the disaster that ruined our world in the past.",18,19,1,1,True
17,116,116,116,,,Research is one of my favorite things to do. I feel like I'm trying to solve a mystery.,"Research is one of my favorite things to do. I feel like I'm trying
 to solve a mystery.",20,21,1,1,True
18,117,117,117,,,Being a scribe is the best. You get to study all the old technologies and try to develop new ones.,"Being a scribe is the best. You get to study all the old technologies
 and try to develop new ones.",22,23,1,1,True
19,118,118,118,,,These terminals could use enhancement. Maybe we should put the display over here.,"These terminals could use enhancement. Maybe we should put the display
 over here.",24,25,1,1,True
20,119,119,119,,,"Sorry, I'm right in the middle of a possible breakthrough. I can't talk right now.","Sorry, I'm right in the middle of a possible breakthrough. I can't talk
 right now.",26,27,1,1,True
21,120,120,120,,,"Hey Initiate. You should train to be a Scribe, if you haven't decided yet.","Hey Initiate. You should train to be a Scribe, if you haven't decided
 yet.",28,29,1,1,True
22,121,121,121,,,"Us Scribes design all the equipment, weapons, and supplies. It's quite exciting.","Us Scribes design all the equipment, weapons, and supplies. It's quite
 exciting.",30,31,1,1,True
23,122,122,122,,,"Please don't disturb me, I'm trying to finish my research.","Please don't disturb me, I'm trying to finish my research.",32,32,1,1,True
24,123,123,123,,,"That's Vree right there, she's also a Scribe.","That's Vree right there, she's also a Scribe.",33,33,1,1,True
