occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a Vault dweller.,You see a Vault dweller.,1,1,1,1,True
2,101,101,101,,,I can't believe that you betrayed us!,I can't believe that you betrayed us!,2,2,1,1,True
3,102,102,102,,,Traitor!,Traitor!,3,3,1,1,True
4,103,103,103,,,I hate you. Why did you ever come back?!,I hate you. Why did you ever come back?!,4,4,1,1,True
5,104,104,104,,,I hope you choke on your vileness!,I hope you choke on your vileness!,5,5,1,1,True
6,105,105,105,,,,,6,6,1,1,True
7,106,106,106,,,,,7,7,1,1,True
8,107,107,107,,,,,8,8,1,1,True
9,108,108,108,,,,,9,9,1,1,True
10,109,109,109,,,Thank you for saving us.,Thank you for saving us.,10,10,1,1,True
11,110,110,110,,,"I was a little unsure that you could do it, but I trust you now.","I was a little unsure that you could do it,
 but I trust you now.",11,12,1,1,True
12,111,111,111,,,Thank you! Thank you!,Thank you! Thank you!,13,13,1,1,True
13,112,112,112,,,You are a hero. My little boy wants to be just like you when he grows up. I don't know if I like that.,"You are a hero. My little boy wants to be just like you when he grows
 up. I don't know if I like that.",14,15,1,1,True
14,113,113,113,,,You are a heroine. My little girl wants to be just like you when she grows up. I don't know if I like that.,"You are a heroine. My little girl wants to be
 just like you when she grows up. I don't know if I like that.",16,17,1,1,True
15,114,114,114,,,You are a swell guy!,You are a swell guy!,18,18,1,1,True
16,115,115,115,,,You are a swell gal!,You are a swell gal!,19,19,1,1,True
17,116,116,116,,,Are you sure you need that in here?,Are you sure you need that in here?,20,20,1,1,True
18,117,117,117,,,That's a weapon!,That's a weapon!,21,21,1,1,True
19,118,118,118,,,Have you actually used that against someone?,Have you actually used that against someone?,22,22,1,1,True
20,119,119,119,,,Why do you think it is necessary to carry a weapon in here?,"Why do you think it is necessary to carry a
 weapon in here?",23,24,1,1,True
21,120,120,120,,,It's good to see you again.,It's good to see you again.,25,25,1,1,True
22,121,121,121,,,I'm glad you are doing well.,I'm glad you are doing well.,26,26,1,1,True
23,122,122,122,,,You look OK to me. All those rumors must be untrue.,"You look OK to me. All those rumors must be
 untrue.",27,28,1,1,True
24,123,123,123,,,Hi ,Hi ,29,29,1,1,True
25,124,124,124,,,. Keep up the good work.,". Keep
 up the good work.",30,31,1,1,True
26,125,125,125,,,I hope everything is going well out there. We sure could use the water.,"I hope everything is going well out there.
 We sure could use the water.",32,33,1,1,True
27,126,126,126,,,We are starting to run out of water. This is terrible!,"We are starting to run out of water. This
 is terrible!",34,35,1,1,True
28,127,127,127,,,Please hurry and find that chip. We need you.,"Please hurry and find that chip. We need
 you.",36,37,1,1,True
