occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a ghoul guard.,You see a ghoul guard.,1,1,1,1,True
2,101,101,101,,,"We're going to take you to Set. I think he'll want to talk to you, personally.","We're going to take you to Set. I think he'll want to talk to you,
 personally.",2,3,1,1,True
3,102,102,102,,,You shouldn't be here . . .,You shouldn't be here . . .,4,4,1,1,True
4,103,103,103,,,Garret told me it was OK. He told me to get something from Set's room for him. Do you know where it is?,"Garret told me it was OK. He told me to get something from Set's
 room for him. Do you know where it is?",5,6,1,1,True
5,104,104,104,,,OK. I'll just be leaving then.,OK. I'll just be leaving then.,7,7,1,1,True
6,105,105,105,,,Huh?,Huh?,8,8,1,1,True
7,106,106,106,,,That doesn't sound right. You'd better come along with me.,That doesn't sound right. You'd better come along with me.,9,9,1,1,True
8,107,107,107,,,I don't think so.,I don't think so.,10,10,1,1,True
9,108,108,108,,,OK.,OK.,11,11,1,1,True
10,109,109,109,,,I don't think you want to go to that room.,I don't think you want to go to that room.,12,12,1,1,True
11,110,110,110,,,Why not?,Why not?,13,13,1,1,True
12,111,111,111,,,"Ok, I don't want to go into that room. Now what?","Ok, I don't want to go into that room. Now what?",14,14,1,1,True
13,112,112,112,,,I think you'd better be leaving.,I think you'd better be leaving.,15,15,1,1,True
14,113,113,113,,,"We are here to make sure that people that don't belong in Set's room don't go into it. Not for Set's safety, actually, but for theirs. Anything else?","We are here to make sure that people that don't belong in Set's room
 don't go into it. Not for Set's safety, actually, but for theirs.
 Anything else?",16,18,1,1,True
15,114,114,114,,,Yeah. Your shoelaces are untied.,Yeah. Your shoelaces are untied.,19,19,1,1,True
16,115,115,115,,,Nah. Thanks.,Nah. Thanks.,20,20,1,1,True
17,116,116,116,,,I'm on duty. Go away.,I'm on duty. Go away.,21,21,1,1,True
