occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,System:                                                         Primary Power:                  OFF-LINE                           Secondary Power:               ON-LINE,"System:
                                                         Primary Power:                  OFF-LINE
                           Secondary Power:               ON-LINE",1,3,1,1,True
2,101,101,101,,,Power Management,Power Management,4,4,1,1,True
3,102,102,102,,,P*w*r*M*n*g*m*nt,P*w*r*M*n*g*m*nt,5,5,1,1,True
4,103,103,103,,,Exit,Exit,6,6,1,1,True
5,104,104,104,,,Power Systems Management,Power Systems Management,7,7,1,1,True
6,105,105,105,,,Primary Power,Primary Power,8,8,1,1,True
7,106,106,106,,,Emergency Power,Emergency Power,9,9,1,1,True
8,107,107,107,,,BACK,BACK,10,10,1,1,True
9,108,108,108,,,Primary Power Management:       OFF-LINE,Primary Power Management:       OFF-LINE,11,11,1,1,True
10,109,109,109,,,Reinitialize Primary Power,Reinitialize Primary Power,12,12,1,1,True
11,110,110,110,,,BACK,BACK,13,13,1,1,True
12,111,111,111,,,Primary Power Management:                                          ERROR! ERROR! ERROR!                                               Primary System Initialization Failed,"Primary Power Management:
                                          ERROR! ERROR! ERROR!
                                               Primary System Initialization Failed",14,16,1,1,True
13,112,112,112,,,Diagnose,Diagnose,17,17,1,1,True
14,113,113,113,,,BACK,BACK,18,18,1,1,True
15,114,114,114,,,Failure:        Generator Level 6                                       0 Feed Return:  Inoperable                                          Service Needed,"Failure:        Generator Level 6
                                       0 Feed Return:  Inoperable
                                          Service Needed",19,21,1,1,True
16,115,115,115,,,BACK,BACK,22,22,1,1,True
17,116,116,116,,,Emergency Power Management:     ON-LINE,Emergency Power Management:     ON-LINE,23,23,1,1,True
18,117,117,117,,,Disable Emergency Power,Disable Emergency Power,24,24,1,1,True
19,118,118,118,,,BACK,BACK,25,25,1,1,True
20,119,119,119,,,System:                                                         Primary Power:                  ON-LINE                           Emergency Power:                ON STANDBY,"System:
                                                         Primary Power:                  ON-LINE
                           Emergency Power:                ON STANDBY",26,28,1,1,True
21,120,120,120,,,Power Management,Power Management,29,29,1,1,True
22,121,121,121,,,Exit,Exit,30,30,1,1,True
23,122,122,122,,,Primary Power Management:       ON-LINE,Primary Power Management:       ON-LINE,31,31,1,1,True
24,123,123,123,,,Disable Primary Power,Disable Primary Power,32,32,1,1,True
25,124,124,124,,,BACK,BACK,33,33,1,1,True
26,125,125,125,,,System:                                                         Primary Power:                  ON-LINE,"System:
                                                         Primary Power:                  ON-LINE",34,35,1,1,True
27,126,126,126,,,d*s*bl* pr*m*ry p*w*r,d*s*bl* pr*m*ry p*w*r,36,36,1,1,True
28,127,127,127,,,Disable Primary Power,Disable Primary Power,37,37,1,1,True
29,128,128,128,,,Exit,Exit,38,38,1,1,True
30,129,129,129,,,P*w*r S*st*ms M*n*g*m*nt,P*w*r S*st*ms M*n*g*m*nt,39,39,1,1,True
31,130,130,130,,,pr*m*ry p*w*r,pr*m*ry p*w*r,40,40,1,1,True
32,131,131,131,,,*m*rg*ncy p**er,*m*rg*ncy p**er,41,41,1,1,True
33,132,132,132,,,BACK,BACK,42,42,1,1,True
34,133,133,133,,,pr*m*r p*w*r m*n*g*m*n*,pr*m*r p*w*r m*n*g*m*n*,43,43,1,1,True
35,134,134,134,,,r**n*t**l*z* pr*m*ry p*w*r,r**n*t**l*z* pr*m*ry p*w*r,44,44,1,1,True
36,135,135,135,,,BACK,BACK,45,45,1,1,True
37,136,136,136,,,pr*m*r* p*w*r m*n*g*m*nt:                                          *RR*R! *RR*R! *RR*R*!                                              g*n*r*t*r n**ds r*p**r,"pr*m*r* p*w*r m*n*g*m*nt:
                                          *RR*R! *RR*R! *RR*R*!
                                              g*n*r*t*r n**ds r*p**r",46,48,1,1,True
38,137,137,137,,,BACK,BACK,49,49,1,1,True
39,138,138,138,,,*m*rg*nc* p*w*r m*n*g*m*nt:     *N-L*N*,*m*rg*nc* p*w*r m*n*g*m*nt:     *N-L*N*,50,50,1,1,True
40,139,139,139,,,System:                                                         Primary Power:                  OFF-LINE                           Emergency Power:               OFF-LINE,"System:
                                                         Primary Power:                  OFF-LINE
                           Emergency Power:               OFF-LINE",51,53,1,1,True
41,140,140,140,,,Enable Emergency Power,Enable Emergency Power,54,54,1,1,True
42,141,141,141,,,d**gn*s* pr*m*r* p*w*r,d**gn*s* pr*m*r* p*w*r,55,55,1,1,True
43,142,142,142,,,pr*m*r* p*w*r *v*l**t**n,pr*m*r* p*w*r *v*l**t**n,56,56,1,1,True
44,143,143,143,,,*n*bl* *m*rg*nc* p*w*r,*n*bl* *m*rg*nc* p*w*r,57,57,1,1,True
45,144,144,144,,,p*w*r m*n*g*m*nt r*s*rc*,p*w*r m*n*g*m*nt r*s*rc*,58,58,1,1,True
46,145,145,145,,,Exit,Exit,59,59,1,1,True
47,146,146,146,,,S*st*m *rr*r!                                                         *nv*l*d *s*r. n*t*f* *dm*n*str*t**n.                          S*st*m h*lt*d.,"S*st*m *rr*r!
                                                         *nv*l*d *s*r. n*t*f* *dm*n*str*t**n.
                          S*st*m h*lt*d.",60,62,1,1,True
48,147,147,147,,,Exit,Exit,63,63,1,1,True
49,148,148,148,,,d*s*bl* *m*rg*nc* p*w*r,d*s*bl* *m*rg*nc* p*w*r,64,64,1,1,True
