occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"You see Harry, the Super Mutant.","You see Harry, the Super Mutant.",1,1,1,1,True
2,101,101,101,Harry_0,Harry_0,Hey! You not look like ghoul. How come?,Hey! You not look like ghoul. How come?,2,2,1,1,True
3,102,102,102,,,That's because I dressed up really snazzy today.,That's because I dressed up really snazzy today.,3,3,1,1,True
4,103,103,103,,,But I am a ghoul!,But I am a ghoul!,4,4,1,1,True
5,104,104,104,,,Let me guess . . . because I'm not a ghoul?,Let me guess . . . because I'm not a ghoul?,5,5,1,1,True
6,105,105,105,,,Uh?,Uh?,6,6,1,1,True
7,106,106,106,Harry_0a,Harry_0a,Huh?,Huh?,7,7,1,1,True
8,107,107,107,Harry_0a,Harry_0a,Huh?,Huh?,8,8,1,1,True
9,108,108,108,Harry_0b,Harry_0b,Whuh?,Whuh?,9,9,1,1,True
10,109,109,109,,,Mom?,Mom?,10,10,1,1,True
11,110,110,110,Harry_01,Harry_01,"Oooo...That was snazzy like, huh?","Oooo...That was snazzy like, huh?",11,11,1,1,True
12,111,111,111,,,"Nah, I was just fooling you, I'm not a ghoul","Nah, I was just fooling you, I'm not a ghoul",12,12,1,1,True
13,112,112,112,,,What do you do here?,What do you do here?,13,13,1,1,True
14,113,113,113,Harry_02,Harry_02,"You not ghoul! I knew, I knew! Not fool Harry!","You not ghoul! I knew, I knew! Not fool Harry!",14,14,1,1,True
15,114,114,114,,,"Yeahhh, that's pretty obvious.","Yeahhh, that's pretty obvious.",15,15,1,1,True
16,115,115,115,,,"You're right. And now that you know, I'll have to kill you.","You're right. And now that you know, I'll have to kill you.",16,16,1,1,True
17,116,116,116,Harry_03,Harry_03,"You not ghoul. Orders say not-ghoul, not be here.","You not ghoul. Orders say not-ghoul, not be here.",17,17,1,1,True
18,117,117,117,,,Who's giving you orders?,Who's giving you orders?,18,18,1,1,True
19,118,118,118,,,"Ok, thanks. I'll be leaving now.","Ok, thanks. I'll be leaving now.",19,19,1,1,True
20,119,119,119,Harry_04,Harry_04,Lou tell me watch place. Not let no one in. Not normals most. Take normals to the Lou. Hey...,"Lou tell me watch place. Not let no one in. Not
 normals most. Take normals to the Lou. Hey...",20,21,1,1,True
21,120,120,120,,,But I'm not a normal!,But I'm not a normal!,22,22,1,1,True
22,121,121,121,,,"OK, let's go see Lou.","OK, let's go see Lou.",23,23,1,1,True
23,122,122,122,,,"Frag it. How about, 'Not let you live.'","Frag it. How about, 'Not let you live.'",24,24,1,1,True
24,123,123,123,Harry_05,Harry_05,"Oh ho-ho, you find out soooon.","Oh ho-ho, you find out soooon.",25,25,1,1,True
25,124,124,124,Harry_06,Harry_06,"Oh, uh, OK.  Have nice...day.","Oh, uh, OK.  Have nice...day.",26,26,1,1,True
26,125,125,125,Harry_07,Harry_07,Harry think he beat your head now.,Harry think he beat your head now.,27,27,1,1,True
27,126,126,126,Harry_08,Harry_08,"Ooo...Harry confused. You not ghoul. You not normal.  Hmm, what you? [Mumbling]","Ooo...Harry confused. You not ghoul. You not normal.  Hmm, what you? [Mumbling]",28,28,1,1,True
28,127,127,127,,,I'm a new race of super mutant.,I'm a new race of super mutant.,29,29,1,1,True
29,128,128,128,,,I'm a highly advanced robot.,I'm a highly advanced robot.,30,30,1,1,True
30,129,129,129,,,"Alright, I am a normal.","Alright, I am a normal.",31,31,1,1,True
31,130,130,130,Harry_09,Harry_09,No! Harry know you not. Not like you!,No! Harry know you not. Not like you!,32,32,1,1,True
