occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"You see Beth, owner of the Weapon Shop.","You see Beth, owner of the Weapon Shop.",3,3,1,1,True
2,101,101,101,,,Hi there.  How can I help you?,Hi there.  How can I help you?,4,4,1,1,True
3,102,102,102,,,Can I ask you some questions?,Can I ask you some questions?,5,5,1,1,True
4,103,103,103,,,Could I ask you some more questions?,Could I ask you some more questions?,6,6,1,1,True
5,104,104,104,,,I want to buy something.,I want to buy something.,7,7,1,1,True
6,105,105,105,,,I have something to sell.,I have something to sell.,8,8,1,1,True
7,106,106,106,,,How does someone make money around here?,How does someone make money around here?,9,9,1,1,True
8,107,107,107,,,Nothing. Bye.,Nothing. Bye.,10,10,1,1,True
9,108,108,108,,,Ruk?,Ruk?,11,11,1,1,True
10,109,109,109,,,What's the word out on the street about the missing caravans? ,What's the word out on the street about the missing caravans? ,12,12,1,1,True
11,110,110,110,,,What do you know about the Deathclaw?,What do you know about the Deathclaw?,14,14,1,1,True
12,111,111,111,,,Could you tell me about the Deathclaw again?,Could you tell me about the Deathclaw again?,15,15,1,1,True
13,112,112,112,,,What can you tell me about Decker? ,What can you tell me about Decker? ,17,17,1,1,True
14,113,113,113,,,What can you tell me about the different merchants?,What can you tell me about the different merchants?,18,18,1,1,True
15,114,114,114,,,Have you heard any good rumors?,Have you heard any good rumors?,19,19,1,1,True
16,115,115,115,,,"Thanks, that's all.  Bye.","Thanks, that's all.  Bye.",20,20,1,1,True
17,116,116,116,,,"Umm, never mind.","Umm, never mind.",21,21,1,1,True
18,117,117,117,,,"Well, I'm not one to gossip, but I heard that Decker's death is somehow related to the assassination hit on Jain.","Well, I'm not one to gossip, but I heard that Decker's death is somehow related to the assassination
 hit on Jain.",23,24,1,1,True
19,118,118,118,,,"Well, I usually don't talk behind people's backs, but I know someone who knows someone that says that they saw three extremely large robed figures go into the Maltese Falcon right before the murders.","Well, I usually don't talk behind people's backs, but I know someone who knows someone that says that they saw three
 extremely large robed figures go into the Maltese Falcon right before the murders.",26,27,1,1,True
20,119,119,119,,,"Well, I usually don't talk behind people's backs, but someone killed Jain, the High Priestess of the Children of the Cathedral. I don't care for them myself, but I don't know what she could have done to deserve that.","Well, I usually don't talk behind people's backs, but someone killed Jain, the High Priestess of the Children of the
 Cathedral. I don't care for them myself, but I don't know what she could have done to deserve that.",29,30,1,1,True
21,121,121,121,,,"Well, I usually don't talk behind people's backs, but a merchant friend of mine saw a group of mutants wandering around in the desert up past the Brotherhood of Steel, far to the Northwest.","Well, I usually don't talk behind people's backs, but a merchant friend of mine saw a group of mutants wandering around
 in the desert up past the Brotherhood of Steel, far to the Northwest.",32,33,1,1,True
22,122,122,122,,,"Well, I usually don't talk behind people's backs, but the Children of the Cathedral have been asking people where you are. I'd be careful. They're a strange bunch.","Well, I usually don't talk behind people's backs, but the Children of the Cathedral have been asking people where you are.
 I'd be careful. They're a strange bunch.",34,35,1,1,True
23,123,123,123,,,"Well, I'm not one to gossip, but I heard that Decker's death is somehow related to the assassination hit on Jain.","Well, I'm not one to gossip, but I heard that Decker's death is somehow related to the assassination
 hit on Jain.",36,37,1,1,True
24,124,124,124,,,There is something else. I know someone who knows someone that says that they saw three extremely large robed figures go into the Maltese Falcon right before the murders.,"There is something else. I know someone who knows someone that says that they saw three
 extremely large robed figures go into the Maltese Falcon right before the murders.",38,39,1,1,True
25,125,125,125,,,"There is something else. Someone killed Jain, the High Priestess of the Children of the Cathedral. I don't care for them myself, but I don't know what she could have done to deserve that.","There is something else. Someone killed Jain, the High Priestess of the Children of the
 Cathedral. I don't care for them myself, but I don't know what she could have done to deserve that.",40,41,1,1,True
26,126,126,126,,,"There is something else. A merchant friend of mine saw a group of mutants wandering around in the desert up past the Brotherhood of Steel, far to the Northwest.","There is something else. A merchant friend of mine saw a group of mutants wandering around
 in the desert up past the Brotherhood of Steel, far to the Northwest.",42,43,1,1,True
27,127,127,127,,,There is something else. The Children of the Cathedral have been asking people where you are. I'd be careful. They're a strange bunch.,"There is something else. The Children of the Cathedral have been asking people where you are.
 I'd be careful. They're a strange bunch.",44,45,1,1,True
28,128,128,128,,,Anything else?,Anything else?,46,46,1,1,True
29,129,129,129,,,"Thanks, can I as you another question?","Thanks, can I as you another question?",47,47,1,1,True
30,130,130,130,,,"Okay, thanks.","Okay, thanks.",48,48,1,1,True
31,131,131,131,,,"I'm sorry, what was that?","I'm sorry, what was that?",49,49,1,1,True
32,132,132,132,,,Klug?,Klug?,51,51,1,1,True
33,133,133,133,,,Ruk!,Ruk!,52,52,1,1,True
34,134,134,134,,,"I'm sorry, I don't understand. Please come back when you are feeling better.","I'm sorry, I don't understand. Please come back when you are feeling better.",53,53,1,1,True
35,135,135,135,,,"Well I'm not hiring but there's a job post in the center of the Merchant Market, you might want to check there.","Well I'm not hiring but there's a job post in the center of the Merchant Market, you might want
 to check there.",55,56,1,1,True
36,136,136,136,,,"Okay, thanks.","Okay, thanks.",57,57,1,1,True
37,137,137,137,,,"No, nothing good at least. Give me a chance to do some digging. <She winks at you>. Anything else?","No, nothing good at least. Give me a chance to do some digging.
 <She winks at you>. Anything else?",58,59,1,1,True
38,138,138,138,,,Yes.,Yes.,60,60,1,1,True
39,139,139,139,,,No.,No.,61,61,1,1,True
40,140,140,140,,,What else can I do for you?,What else can I do for you?,62,62,1,1,True
41,141,141,141,,,"Of course you can, don't be silly.","Of course you can, don't be silly.",63,63,1,1,True
42,142,142,142,,,"Why sure, I'd be happy to help. What did you need to know?","Why sure, I'd be happy to help. What did you need to know?",64,64,1,1,True
43,143,143,143,,,"All right. Well it's been nice talking to you, have a nice day.","All right. Well it's been nice talking to you, have a nice day.",65,65,1,1,True
44,144,144,144,,,"No, that's all. Was there something else you wanted to talk about?","No, that's all. Was there something else you wanted to talk about?",66,66,1,1,True
45,145,145,145,,,Yes.,Yes.,67,67,1,1,True
46,146,146,146,,,No.,No.,68,68,1,1,True
47,147,147,147,,,Well come back soon.  Don't be a stranger.,Well come back soon.  Don't be a stranger.,69,69,1,1,True
48,148,148,148,,,"Now there's someone you don't ever want to mess with, he scares me. He 'owns' the Maltese Falcon.","Now there's someone you don't ever want to mess with, he scares me. He 'owns' the Maltese Falcon.",70,70,1,1,True
49,149,149,149,,,Why did you say it like that? He 'owns' the Maltese Falcon.,Why did you say it like that? He 'owns' the Maltese Falcon.,71,71,1,1,True
50,150,150,150,,,Why does he scare you? ,Why does he scare you? ,72,72,1,1,True
51,151,151,151,,,"Sorry, it just reminds me of a friend that used to own it before him. Decker wanted it really bad, but my friend wouldn't sell. Two days later they found him dead in a back alley of Old Town.","Sorry, it just reminds me of a friend that used to own it before him.
 Decker wanted it really bad, but my friend wouldn't sell.
 Two days later they found him dead in a back alley of Old Town.",73,75,1,1,True
52,152,152,152,,,Why do you think Decker's responsible?,Why do you think Decker's responsible?,76,76,1,1,True
53,153,153,153,,,Well he should have known better than to mess with Decker.,Well he should have known better than to mess with Decker.,77,77,1,1,True
54,154,154,154,,,"Sorry, but I have to go.","Sorry, but I have to go.",78,78,1,1,True
55,155,155,155,,,"My friend was a clean freak. He wouldn't come within a hundred yards of Old Town.  He was shot with a Magnum; no one in Old Town could afford one of those. Plus, he was shot once in the head and twice in the back. Does that sound like a robbery? My friend was just trying to get his life back.","My friend was a clean freak. He wouldn't come within a hundred yards
 of Old Town.  He was shot with a Magnum; no one in Old Town could afford
 one of those. Plus, he was shot once in the head and twice in the back.
 Does that sound like a robbery? My friend was just trying to get his life back.",79,82,1,1,True
56,156,156,156,,,"Hey, I like his style. After you kill him, put his body in the place he despises the most.","Hey, I like his style. After you kill him, put his body in the
 place he despises the most.",83,84,1,1,True
57,157,157,157,,,Get his life back?,Get his life back?,85,85,1,1,True
58,158,158,158,,,I'm sorry to hear that.,I'm sorry to hear that.,86,86,1,1,True
59,159,159,159,,,"Oh, okay.","Oh, okay.",87,87,1,1,True
60,160,160,160,,,"You probably don't understand, but most of us look forward to the day when we own our own lives. When our lives don't belong to the merchants or the money lenders.","You probably don't understand, but most of us look forward to the day when we own our own lives.
 When our lives don't belong to the merchants or the money lenders.",88,89,1,1,True
61,161,161,161,,,"Oh, thanks.","Oh, thanks.",90,90,1,1,True
62,162,162,162,,,Don't you ever stop talking?!,Don't you ever stop talking?!,91,91,1,1,True
63,163,163,163,,,That's the dumbest thing I've ever heard!,That's the dumbest thing I've ever heard!,92,92,1,1,True
64,164,164,164,,,Is there anything else I can do for you?,Is there anything else I can do for you?,93,93,1,1,True
65,165,165,165,,,"Well, excuse me. YOU asked.","Well, excuse me. YOU asked.",94,94,1,1,True
66,166,166,166,,,"He's the deadliest person in the Hub; most say that he runs this place, not the merchants or the police. If you ever cross him, watch out.","He's the deadliest person in the Hub; most say that he runs this place, not the merchants or the
 police. If you ever cross him, watch out.",95,96,1,1,True
67,167,167,167,,,That gives him no right to kill anyone.,That gives him no right to kill anyone.,97,97,1,1,True
68,168,168,168,,,"You make me sick, please leave. I'm sure he's missing your company.","You make me sick, please leave. I'm sure he's missing your company.",98,98,1,1,True
69,169,169,169,,,"Well, there are three main merchant groups. There's the Water Merchants, the Crimson Caravan, and the Far Go Traders. They also run the city council. What do you want to know about?","Well, there are three main merchant groups. There's the Water Merchants, the Crimson Caravan,
 and the Far Go Traders. They also run the city council. What do you want to know about?",99,100,1,1,True
70,170,170,170,,,The Water Merchants.,The Water Merchants.,101,101,1,1,True
71,172,172,172,,,The Crimson Caravan.,The Crimson Caravan.,102,102,1,1,True
72,173,173,173,,,The Far Go Traders.,The Far Go Traders.,103,103,1,1,True
73,174,174,174,,,The City Council.,The City Council.,104,104,1,1,True
74,175,175,175,,,That's all. Thanks for the information.,That's all. Thanks for the information.,105,105,1,1,True
75,176,176,176,,,"Actually, never mind.","Actually, never mind.",106,106,1,1,True
76,177,177,177,,,"They're in charge of all the water. Greedy people, I wouldn't want to work for them.  Their pay is the worst and the jobs are just as bad.","They're in charge of all the water. Greedy people, I wouldn't want to work for them.  Their pay
 is the worst and the jobs are just as bad.",107,108,1,1,True
77,178,178,178,,,Did they always control all the water? ,Did they always control all the water? ,109,109,1,1,True
78,179,179,179,,,Are they the ones behind the missing caravans?,Are they the ones behind the missing caravans?,110,110,1,1,True
79,180,180,180,,,"Thanks, another question about the merchants . . .","Thanks, another question about the merchants . . .",111,111,1,1,True
80,181,181,181,,,"Thanks, bye.","Thanks, bye.",112,112,1,1,True
81,182,182,182,,,What else would you like to know about?,What else would you like to know about?,113,113,1,1,True
82,183,183,183,,,"No. From what I've heard, a while back a group of merchants seized control of the water tower and proclaimed that they were the water merchants and people had to get water from them. The merchant war raged on for years until a man named Roy Greene - yeah, Justin's Grandfather, that's it - helped to negotiate an agreement that ended the war.","No. From what I've heard, a while back a group of merchants seized control of the water tower
 and proclaimed that they were the water merchants and people had to get water from them. The merchant war
 raged on for years until a man named Roy Greene - yeah, Justin's Grandfather, that's it - helped to
 negotiate an agreement that ended the war.",114,117,1,1,True
