occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a Hubber.,You see a Hubber.,1,1,1,1,True
2,101,101,101,,,"Wow!  I heard you killed the Deathclaw, good work!","Wow!  I heard you killed the Deathclaw, good work!",2,2,1,1,True
3,102,102,102,,,Is it true? Does did the Deathclaw really exist?,Is it true? Does did the Deathclaw really exist?,3,3,1,1,True
4,103,103,103,,,I hear you're the ,I hear you're the ,4,4,1,1,True
5,104,104,104,,,man,man,5,5,1,1,True
6,105,105,105,,,woman,woman,6,6,1,1,True
7,106,106,106,,, that killed the Deathclaw.  Good work!, that killed the Deathclaw.  Good work!,7,7,1,1,True
8,107,107,107,,,"Thanks for destroying that nightmare, we can all sleep a little easier now.","Thanks for destroying that nightmare, we can all sleep a little easier now.",8,8,1,1,True
9,108,108,108,,,That Deathclaw better really be dead.,That Deathclaw better really be dead.,9,9,1,1,True
10,109,109,109,,,I hope those mutants that destroyed those caravans don't come looking for us.,I hope those mutants that destroyed those caravans don't come looking for us.,10,10,1,1,True
