occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a police officer.,You see a police officer.,5,5,1,1,True
2,101,101,101,,,"Greetings! You should watch your uh, I mean, watch (the officer gives a strange look to the other officers and tilts his head in your direction.)","Greetings! You should watch your uh, I mean, watch (the officer gives a strange look to the other
 officers and tilts his head in your direction.)",8,9,1,1,True
3,102,102,102,,,Hi there stranger Wait!  I know you!  You're wanted for theft!  Don't move!,Hi there stranger Wait!  I know you!  You're wanted for theft!  Don't move!,10,10,1,1,True
4,103,103,103,,,Okay I give up.,Okay I give up.,13,13,1,1,True
5,104,104,104,,,Eat lead!,Eat lead!,14,14,1,1,True
6,105,105,105,,,Kor Rok!,Kor Rok!,17,17,1,1,True
7,106,106,106,,,(Give yourself up.),(Give yourself up.),20,20,1,1,True
8,107,107,107,,,"Watch your back, this isn't a safe place.","Watch your back, this isn't a safe place.",21,21,1,1,True
9,108,108,108,,,"Watch your scripts, ","Watch your scripts, ",24,24,1,1,True
10,109,109,109,,,guy.,guy.,27,27,1,1,True
11,110,110,110,,,lady.,lady.,28,28,1,1,True
12,111,111,111,,,"You shouldn't be here, it's not safe.","You shouldn't be here, it's not safe.",29,29,1,1,True
13,112,112,112,,,Old Town's really fallen apart.,Old Town's really fallen apart.,30,30,1,1,True
14,113,113,113,,,This place smells.,This place smells.,33,33,1,1,True
15,114,114,114,,,We should tear this whole area down.,We should tear this whole area down.,34,34,1,1,True
16,115,115,115,,,"I know that damn Thieves Circle is around here, somewhere.","I know that damn Thieves Circle is around here, somewhere.",35,35,1,1,True
17,116,116,116,,,"Poor Harold, he's had a rough life.","Poor Harold, he's had a rough life.",38,38,1,1,True
18,117,117,117,,,Keep your nose clean.,Keep your nose clean.,41,41,1,1,True
19,118,118,118,,,Hey.  I know you.  No more fighting okay?,Hey.  I know you.  No more fighting okay?,44,44,1,1,True
20,119,119,119,,,You better not be thinking of starting another fight!,You better not be thinking of starting another fight!,45,45,1,1,True
21,120,120,120,,,"If we catch you fighting again, you're going in!","If we catch you fighting again, you're going in!",46,46,1,1,True
22,121,121,121,,,Did you hear? The Far Go Trader's got whipped out.,Did you hear? The Far Go Trader's got whipped out.,49,49,1,1,True
23,122,122,122,,,"The Water Merchants are history, that's a blessing.","The Water Merchants are history, that's a blessing.",52,52,1,1,True
24,123,123,123,,,Someone killed off the Crimson Caravan.,Someone killed off the Crimson Caravan.,55,55,1,1,True
25,124,124,124,,,Did you hear!  The Underground has finally been wiped out!,Did you hear!  The Underground has finally been wiped out!,58,58,1,1,True
26,125,125,125,,,Decker's Dead!,Decker's Dead!,61,61,1,1,True
27,126,126,126,,,This town would be safer with Decker out of the picture.,This town would be safer with Decker out of the picture.,64,64,1,1,True
