occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a Hub guard.,You see a Hub guard.,1,1,1,1,True
2,101,101,101,,,Can I help you?,Can I help you?,2,2,1,1,True
3,102,102,102,,,Yes.  Could you tell me where I am?,Yes.  Could you tell me where I am?,3,3,1,1,True
4,103,103,103,,,Goodbye.,Goodbye.,4,4,1,1,True
5,104,104,104,,,Uhhhhhhh.  Huh huh.  Uhhhhh.  Huh.,Uhhhhhhh.  Huh huh.  Uhhhhh.  Huh.,5,5,1,1,True
6,105,105,105,,,"Man, you're dumber than a bag of hammers, aren't you?  Get outta' here","Man, you're dumber than a bag of hammers, aren't you?  Get outta' here",6,6,1,1,True
7,106,106,106,,,You're in the south end of the Hub.  If you look around you'll find the Water Merchants and a small hospital.,You're in the south end of the Hub.  If you look around you'll find the Water Merchants and a small hospital.,7,7,1,1,True
8,107,107,107,,,Who are the Water Merchants?,Who are the Water Merchants?,8,8,1,1,True
9,108,108,108,,,A hospital?,A hospital?,9,9,1,1,True
10,109,109,109,,,Thank you.  Bye.,Thank you.  Bye.,10,10,1,1,True
11,110,110,110,,,Those bastards.  They think they own the damn Hub just because they have control of the Water Tower.,Those bastards.  They think they own the damn Hub just because they have control of the Water Tower.,11,11,1,1,True
12,111,111,111,,,A hospital?,A hospital?,12,12,1,1,True
13,112,112,112,,,Thank you.  Bye.,Thank you.  Bye.,13,13,1,1,True
14,113,113,113,,,The Children of the Cathedral run a small hospital here in the Hub.  They seem like a decent bunch.,The Children of the Cathedral run a small hospital here in the Hub.  They seem like a decent bunch.,14,14,1,1,True
15,114,114,114,,,Who are the Water Merchants?,Who are the Water Merchants?,15,15,1,1,True
16,115,115,115,,,Thank you.  Bye.,Thank you.  Bye.,16,16,1,1,True
