occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"You see a short, stocky man.","You see a short, stocky man.",1,1,1,1,True
2,101,101,101,,,We don't like your kind in these parts.,We don't like your kind in these parts.,2,2,1,1,True
3,102,102,102,,,"Hello, stranger. You look like you're new here. What's your name?","Hello, stranger. You look like you're new here. What's
 your name?",3,4,1,1,True
4,103,103,103,,,My name's not important.,My name's not important.,5,5,1,1,True
5,104,104,104,,,I'm ,I'm ,6,6,1,1,True
6,105,105,105,,,.,.,7,7,1,1,True
7,106,106,106,,,Urgh?,Urgh?,8,8,1,1,True
8,107,107,107,,,"Well, then, neither are you.","Well, then, neither are you.",9,9,1,1,True
9,108,108,108,,,Good to meet you. I'm Ian.,Good to meet you. I'm Ian.,10,10,1,1,True
10,109,109,109,,,What do you do here?,What do you do here?,11,11,1,1,True
11,110,110,110,,,I'd like to know more about this place. Can you help?,I'd like to know more about this place. Can you help?,12,12,1,1,True
12,111,111,111,,,"Sorry, but I don't have time to waste on morons.","Sorry, but I don't have time to waste on morons.",13,13,1,1,True
13,112,112,112,,,"I was a guard for the merchants of the Hub. However, I was shot during a raid by bandits. I've been staying here, since the people have helped me recover. Still, my knowledge of the outside world and my experience make me useful here. Shady Sands is my home now. Occasionally, I even get to visit Junktown or the Hub to do some trading, since I'm the only person here who has ever really left town.","I was a guard for the merchants of the Hub. However, I was
 shot during a raid by bandits. I've been staying here, since the people
 have helped me recover. Still, my knowledge of the outside world
 and my experience make me useful here. Shady Sands is my
 home now. Occasionally, I even get to visit Junktown or the Hub
 to do some trading, since I'm the only person here who has ever
 really left town.",14,20,1,1,True
14,113,113,113,,,You see Ian.,You see Ian.,21,21,1,1,True
15,114,114,114,,,I'm sorry to hear about your injury.,I'm sorry to hear about your injury.,22,22,1,1,True
16,115,115,115,,,"Where's this Hub, and Junktown?","Where's this Hub, and Junktown?",23,23,1,1,True
17,116,116,116,,,Can you tell me about the bandits?,Can you tell me about the bandits?,24,24,1,1,True
18,117,117,117,,,Shady Sands is a small but self-sufficient community. The only trouble here is with the bandits and the Radscorpions.,"Shady Sands is a small but self-sufficient community. The only trouble
 here is with the bandits and the Radscorpions.",25,26,1,1,True
19,118,118,118,,,Why are the Radscorpions trouble?,Why are the Radscorpions trouble?,27,27,1,1,True
20,119,119,119,,,Are there many bandits?,Are there many bandits?,28,28,1,1,True
21,120,120,120,,,There are several. They come from various groups. They steal our food and occasionally shoot a few people. Seth organized the guards to help fight them off.,"There are several. They come from various groups. They steal
 our food and occasionally shoot a few people.
 Seth organized the guards to help fight them off.",29,31,1,1,True
22,121,121,121,,,Can you tell me about Seth?,Can you tell me about Seth?,32,32,1,1,True
23,122,122,122,,,There are different groups? Who are they all?,There are different groups? Who are they all?,33,33,1,1,True
24,123,123,123,,,"Radscorpions are very dangerous. They have a poisonous stinger in the tail, and they are very quick. Aradesh has been trying to find a way to get rid of them. If you feel brave, you could talk to Aradesh about them.","Radscorpions are very dangerous. They have a poisonous
 stinger in the tail, and they are very quick.
 Aradesh has been trying to find a way to get rid of them.
 If you feel brave, you could talk to Aradesh about them.",34,37,1,1,True
25,124,124,124,,,"Thanks. It's been healing up well, thanks to Razlo.","Thanks. It's been healing up well, thanks to Razlo.",38,38,1,1,True
26,125,125,125,,,"Seth is a very brave fighter. He occasionally goes to the Radscorpion caves to kill a few Radscorpions, but they always wind up coming back. There are just too many for him to fight.","Seth is a very brave fighter. He occasionally goes to
 the Radscorpion caves to kill a few Radscorpions, but
 they always wind up coming back. There are just too many
 for him to fight.",39,42,1,1,True
27,126,126,126,,,Are the Radscorpions really that dangerous?,Are the Radscorpions really that dangerous?,43,43,1,1,True
28,127,127,127,,,What can I help you with?,What can I help you with?,44,44,1,1,True
