occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see Jasmine.,You see Jasmine.,1,1,1,1,True
2,101,101,101,,,"Excuse me, sir, this person is a member of one of the merchant guilds.","Excuse me, sir, this person is a member of one of the merchant guilds.",2,2,1,1,True
3,102,102,102,,,"Let me get this straight; you're shooting my boss and my friends, and you want to talk? Get bent!","Let me get this straight; you're shooting my boss and my friends, and you want to talk? Get bent!",3,3,1,1,True
4,103,103,103,,,The door's over there. Don't let it hit you on the way out.,The door's over there. Don't let it hit you on the way out.,4,4,1,1,True
5,104,104,104,,,Hi. Welcome to the Circle of Thieves. Play your cards right and you're in.,Hi. Welcome to the Circle of Thieves. Play your cards right and you're in.,5,5,1,1,True
6,105,105,105,,,"Welcome to the Circle of Thieves. I'm Jasmine. I'm here to help make your infiltration of the Daren Hightower estate as painless as possible. Hightower's estate is located in the Heights. It has a minimum of two guards on duty at all times. The necklace is probably in a strongbox, which often have some minor traps, so be careful. Here are some lockpicks and a couple of flares to make your job a little easier.. And a bottle of Nuka-Cola.  Try not to kill Mr. Hightower.  He's one of our ""favorite"" people. You got all that?","Welcome to the Circle of Thieves. I'm Jasmine. I'm here to help make your infiltration of the 
Daren Hightower estate as painless as possible. Hightower's estate is located in the Heights. It has a 
minimum of two guards on duty at all times. The necklace is probably in a strongbox, which often have 
some minor traps, so be careful. Here are some lockpicks and a couple of flares to make your job a little 
easier.. And a bottle of Nuka-Cola.  Try not to kill Mr. Hightower.  He's one of our ""favorite"" people. You 
got all that?",6,11,1,1,True
7,106,106,106,,,"What do you mean by ""favorite.""","What do you mean by ""favorite.""",12,12,1,1,True
8,107,107,107,,,Lockpicks and Flares? That's all.,Lockpicks and Flares? That's all.,13,13,1,1,True
9,108,108,108,,,Nuka Cola?,Nuka Cola?,14,14,1,1,True
10,109,109,109,,,"Don't kill him? No promises, woman.","Don't kill him? No promises, woman.",15,15,1,1,True
11,110,110,110,,,This job sucks. Find someone else.,This job sucks. Find someone else.,16,16,1,1,True
12,111,111,111,,,No problem. I'm outta here.,No problem. I'm outta here.,17,17,1,1,True
13,112,112,112,,,Runk!,Runk!,18,18,1,1,True
14,113,113,113,,,"Excuse me, sir, but shouldn't you be working on your assignment?","Excuse me, sir, but shouldn't you be working on your assignment?",19,19,1,1,True
15,114,114,114,,,"Excuse me, miss, but shouldn't you be working on your assignment?","Excuse me, miss, but shouldn't you be working on your assignment?",20,20,1,1,True
16,117,117,117,,,"Hi again. If you've got the necklace, you'll have to give it to Mr. Loxley before you get your reward.","Hi again. If you've got the necklace, you'll have to give it to Mr. Loxley before you get your reward.",21,21,1,1,True
17,118,118,118,,,"Well done, lad.  Here's your reward.  [Jasmine gives you 3000 bucks]","Well done, lad.  Here's your reward.  [Jasmine gives you 3000 bucks]",22,22,1,1,True
18,119,119,119,,,"Well done, miss.  Here's your reward.  [Jasmine gives you 3000 bucks]","Well done, miss.  Here's your reward.  [Jasmine gives you 3000 bucks]",23,23,1,1,True
19,121,121,121,,,"By the way, here's a little something extra to help you out in your future felonious forays.","By the way, here's a little something extra to help you out in your future felonious forays.",24,24,1,1,True
20,122,122,122,,,Hello again.,Hello again.,25,25,1,1,True
21,123,123,123,,,"Well, he's been our benefactor on many occasions. If you kill him, someone smarter may take his place. We wouldn't like that.","Well, he's been our benefactor on many occasions. If you kill him, someone smarter may take his place. 
We wouldn't like that.",26,27,1,1,True
22,124,124,124,,,Pfah! A real thief lives on her wits. We're being generous with you. Now scat!,Pfah! A real thief lives on her wits. We're being generous with you. Now scat!,28,28,1,1,True
23,125,125,125,,,"They're our corporate sponsor. Loxley got thirsty, and they ""donated"" several dozen bottles to us. Real nice of them to help us out.","They're our corporate sponsor. Loxley got thirsty, and they ""donated"" several dozen bottles to us. Real
 nice of them to help us out.",29,30,1,1,True
24,126,126,126,,,"Hmm, don't think I like the attitude. Oh well, nobody's perfect.","Hmm, don't think I like the attitude. Oh well, nobody's perfect.",31,31,1,1,True
25,127,127,127,,,Fine. I think I can speak for Mr. Loxley when I say that I hope we never cross paths again. Get out of here.,"Fine. I think I can speak for Mr. Loxley when I say that I hope we never cross paths again. Get out of
 here.",32,33,1,1,True
26,128,128,128,,,Good luck. Diamonds are my second favorite thing in the world!,Good luck. Diamonds are my second favorite thing in the world!,34,34,1,1,True
27,129,129,129,,,Right. Runk. Sure.,Right. Runk. Sure.,35,35,1,1,True
28,130,130,130,,,"We warned you, but you didn't listen. Too bad about that hearing problem.","We warned you, but you didn't listen. Too bad about that hearing problem.",36,36,1,1,True
29,131,131,131,,,I think you just failed the test! Don't come back.,I think you just failed the test! Don't come back.,37,37,1,1,True
30,132,132,132,,,"Excuse me, sir, this person is a member of one of the merchant guilds.","Excuse me, sir, this person is a member of one of the merchant guilds.",38,38,1,1,True
31,133,133,133,,,"We warned you, but you didn't listen. Too bad about that hearing problem.","We warned you, but you didn't listen. Too bad about that hearing problem.",39,39,1,1,True
32,134,134,134,,,Pfah! A real thief lives on her wits. We're being generous with you miss. Now scat!,Pfah! A real thief lives on her wits. We're being generous with you miss. Now scat!,40,40,1,1,True
33,135,135,135,,,[Jasmine hands you a set of Electronic Lockpicks],[Jasmine hands you a set of Electronic Lockpicks],41,41,1,1,True
