occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see Kane.,You see Kane.,1,1,1,1,True
2,101,101,101,,,What's the job and what's it pay?,What's the job and what's it pay?,2,2,1,1,True
3,102,102,102,,,Work for this dump?  You've got to be joking.,Work for this dump?  You've got to be joking.,3,3,1,1,True
4,103,103,103,,,"Damn straight, and it looks like I'm going to have to kick your ass, just because.","Damn straight, and it looks like I'm going to have to kick your ass, just because.",4,4,1,1,True
5,104,104,104,,,"Sorry, maybe later.","Sorry, maybe later.",5,5,1,1,True
6,105,105,105,,,No thanks.,No thanks.,6,6,1,1,True
7,106,106,106,,,Tuk?,Tuk?,7,7,1,1,True
8,107,107,107,,,"I guess the reports must have been wrong, beat it.  We don't hire skags.","I guess the reports must have been wrong, beat it.  We don't hire skags.",8,8,1,1,True
9,108,108,108,,,"It's not skag work. You'll need to do 'it' quick and clean.  The boss'll give you details, but it's more money than you'll make in a month working for the caravans, but only if you're good enough. We don't take kindly to failures, if you know what I mean.","It's not skag work. You'll need to do 'it' quick and clean.  The boss'll give you details, but it's
 more money than you'll make in a month working for the caravans, but only if you're good enough. We don't
 take kindly to failures, if you know what I mean.",9,11,1,1,True
10,109,109,109,,,Sounds good.,Sounds good.,12,12,1,1,True
11,110,110,110,,,I can't right now.  Let me get back to you.,I can't right now.  Let me get back to you.,13,13,1,1,True
12,111,111,111,,,Who do I have to kill?,Who do I have to kill?,14,14,1,1,True
13,112,112,112,,,No thanks.  I don't need the money.,No thanks.  I don't need the money.,15,15,1,1,True
14,113,113,113,,,"I'm sure you're familiar with our sort of business, so let me just say it would be in your best interest to keep this to yourself.  Shall we?","I'm sure you're familiar with our sort of business, so let me just say it would be in your best
 interest to keep this to yourself.  Shall we?",16,17,1,1,True
15,114,114,114,,,"I hope for your sake that that was an attempt at humor.  Do not cross us, you will regret it.","I hope for your sake that that was an attempt at humor.  Do not cross us, you will regret it.",18,18,1,1,True
16,115,115,115,,,Sure.  Now what does this 'work' involve?,Sure.  Now what does this 'work' involve?,19,19,1,1,True
17,116,116,116,,,"Yeah, whatever, tough guy.","Yeah, whatever, tough guy.",20,20,1,1,True
18,117,117,117,,,"I don't think you understood me. Let me clarify.  If you don't watch your manners, you will find yourself dead, tough guy.","I don't think you understood me. Let me clarify.  If you don't watch your manners, you will find yourself
 dead, tough guy.",21,22,1,1,True
19,118,118,118,,,"I don't think you understood me. Let me clarify. If you don't watch your manners, you will find yourself dead, tough gal.","I don't think you understood me. Let me clarify. If you don't watch your manners, you will find yourself
 dead, tough gal.",23,24,1,1,True
20,119,119,119,,,"No, let me clarify--if you don't watch it, I'll be wearing your ass for a shoe.","No, let me clarify--if you don't watch it, I'll be wearing your ass for a shoe.",25,25,1,1,True
21,120,120,120,,,Okay.  I get the picture.  Now what is it you want me to do?,Okay.  I get the picture.  Now what is it you want me to do?,26,26,1,1,True
22,121,121,121,,,I'll talk to you later. I've got to go.,I'll talk to you later. I've got to go.,27,27,1,1,True
23,123,123,123,,,"Oh, please do.  We'll be holding our breath.","Oh, please do.  We'll be holding our breath.",28,28,1,1,True
24,124,124,124,,,"But of course, good day.","But of course, good day.",29,29,1,1,True
