occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"You see a heavily muscled, scarred man with a mustache.","You see a heavily muscled, scarred man with a mustache.",1,1,1,1,True
2,101,101,101,,,"You see Lars, the sergeant of the Junktown guards.","You see Lars, the sergeant of the Junktown guards.",2,2,1,1,True
3,102,102,102,,,"He bears the scars of previous wounds, and looks like an old hand.","He bears the scars of previous wounds, and looks like an old hand.",3,3,1,1,True
4,103,103,103,,,He has scars from knife and bullet injuries. His corded muscles show a man hardened by adversity.,"He has scars from knife and bullet injuries. His corded muscles show
 a man hardened by adversity.",4,5,1,1,True
5,104,104,104,,,"You know, it's not wise to try to steal from the guards here in Junktown, punk!","You know, it's not wise to try to steal from the guards here in Junktown,
 punk!",6,7,1,1,True
6,105,105,105,,,"Can I help you, stranger?","Can I help you, stranger?",8,8,1,1,True
7,106,106,106,,,"So, what's there to do around here?","So, what's there to do around here?",9,9,1,1,True
8,107,107,107,,,Can you give me the big picture on Junktown?,Can you give me the big picture on Junktown?,10,10,1,1,True
9,108,108,108,,,Who're you?,Who're you?,11,11,1,1,True
10,109,109,109,,,Eergh.,Eergh.,12,12,1,1,True
11,110,110,110,,,"If you're in charge of the guards here, I think I have some information for you.","If you're in charge of the guards here, I think I have some information
 for you.",13,14,1,1,True
12,111,111,111,,,"Hey! You! We know about you, you monster!","Hey! You! We know about you, you monster!",15,15,1,1,True
13,112,112,112,,,"Plenty, so long as you stay on our good side. We got Killian Darkwaters' store, where you can do some trading. And there's Gizmo's Casino, if you're a gambler. Or if you just want a drink, you can head on over to the Skum Pitt. Just don't get too rowdy.","Plenty, so long as you stay on our good side. We got Killian Darkwaters'
 store, where you can do some trading. And there's Gizmo's Casino, if you're a
 gambler. Or if you just want a drink, you can head on over to the Skum Pitt.
 Just don't get too rowdy.",16,19,1,1,True
14,113,113,113,,,"Hey, I like a rowdy time!","Hey, I like a rowdy time!",20,20,1,1,True
15,114,114,114,,,"Well, you'd best keep yourself under control. We're a free town but we don't tolerate stepping on other people's toes. Don't cause any problems and you won't give cause for me and my men to come down on you.","Well, you'd best keep yourself under control. We're a free town but we
 don't tolerate stepping on other people's toes. Don't cause any problems and
 you won't give cause for me and my men to come down on you.",21,23,1,1,True
16,115,115,115,,,What a stick in the mud!,What a stick in the mud!,24,24,1,1,True
17,116,116,116,,,"Look, buddy, my job here is to keep the peace, and if I have to break a few heads to do it, then a few people are going to be hurting. So just watch it.","Look, buddy, my job here is to keep the peace, and if I have to break a
 few heads to do it, then a few people are going to be hurting. So just watch it.",25,26,1,1,True
18,117,117,117,,,"Me and my men here work for Killian Darkwater. We keep some order in this town, dealing with all of the murderers, thieves, and other scumbags who come in from the desert. If you want my advice, you'll also stay away from Gizmo. That fathead runs a crooked operation, but we just haven't been able to prove anything. He and his lackeys, the Skulz, are going to take the fall sometime soon, if Killian has anything to say about it.","Me and my men here work for Killian Darkwater. We keep some order in this
 town, dealing with all of the murderers, thieves, and other scumbags who come in
 from the desert. If you want my advice, you'll also stay away from Gizmo. That
 fathead runs a crooked operation, but we just haven't been able to prove anything.
 He and his lackeys, the Skulz, are going to take the fall sometime soon, if
 Killian has anything to say about it.",27,32,1,1,True
19,118,118,118,,,What a bummer. No fun here at all.,What a bummer. No fun here at all.,33,33,1,1,True
20,119,119,119,,,Good to know that someone's keeping the peace around here. Thanks.,Good to know that someone's keeping the peace around here. Thanks.,34,34,1,1,True
21,120,120,120,,,"So, what keeps you lawboys from just busting Gizmo and the Skulz?","So, what keeps you lawboys from just busting Gizmo and the Skulz?",35,35,1,1,True
22,121,121,121,,,"Hey, it's our job. But it's good to know that someone appreciates it. Thanks.","Hey, it's our job. But it's good to know that someone appreciates it.
 Thanks.",36,37,1,1,True
23,122,122,122,,,"Got to do it all proper like. We know that Gizmo runs a rigged operation and all, but we need hard evidence to bring him down. Same with the Skulz; they rough someone up, we bring one or two of 'em in, but nothing changes. We just don't have any direct evidence tying them to any of the killings or muggings.","Got to do it all proper like. We know that Gizmo runs a rigged operation
 and all, but we need hard evidence to bring him down. Same with the Skulz; they
 rough someone up, we bring one or two of 'em in, but nothing changes. We just
 don't have any direct evidence tying them to any of the killings or muggings.",38,41,1,1,True
24,123,123,123,,,Maybe I can help you with that.,Maybe I can help you with that.,42,42,1,1,True
25,124,124,124,,,"Well, good luck.","Well, good luck.",43,43,1,1,True
26,125,125,125,,,"Hell, if you think you can get some dirt on either of them, we'd appreciate the help. Killian's the one to talk to if you want to talk about Gizmo. But if you can get some info on the Skulz, just come back to me and me and the boys will take care of them.","Hell, if you think you can get some dirt on either of them, we'd appreciate
 the help. Killian's the one to talk to if you want to talk about Gizmo. But if you
 can get some info on the Skulz, just come back to me and me and the boys will
 take care of them.",44,47,1,1,True
27,126,126,126,,,Thanks. Watch your back.,Thanks. Watch your back.,48,48,1,1,True
28,127,127,127,,,"I'm the head of the guards here in Junktown. Name's Lars. For that matter, who are you, stranger?","I'm the head of the guards here in Junktown. Name's Lars. For that matter,
 who are you, stranger?",49,50,1,1,True
29,128,128,128,,,I'm ,I'm ,51,51,1,1,True
30,129,129,129,,,.,.,52,52,1,1,True
31,130,130,130,,,"Buzz off, I don't have to tell you anything.","Buzz off, I don't have to tell you anything.",53,53,1,1,True
32,131,131,131,,,"Welcome to Junktown, ","Welcome to Junktown, ",54,54,1,1,True
33,132,132,132,,,. What can I help you with?,. What can I help you with?,55,55,1,1,True
34,133,133,133,,,Can you fill me in on Junktown?,Can you fill me in on Junktown?,56,56,1,1,True
35,134,134,134,,,Just lookin' for something to do. Got any suggestions?,Just lookin' for something to do. Got any suggestions?,57,57,1,1,True
36,135,135,135,,,"Good day, traveler. Do you need something?","Good day, traveler. Do you need something?",58,58,1,1,True
37,136,136,136,,,What?,What?,59,59,1,1,True
38,137,137,137,,,I'm looking for a little work.,I'm looking for a little work.,60,60,1,1,True
39,138,138,138,,,Just stopping by to say hello.,Just stopping by to say hello.,61,61,1,1,True
40,139,139,139,,,I have testimony about the illegal activities that the Skulz were involved in.,"I have testimony about the illegal activities that the Skulz
 were involved in.",62,63,1,1,True
41,140,140,140,,,"Yes, I'm in charge of the guards here. What do you have for me?","Yes, I'm in charge of the guards here. What do you have for me?",64,64,1,1,True
42,141,141,141,,,"Nothing, just checking.","Nothing, just checking.",65,65,1,1,True
43,142,142,142,,,I have some testimony from Sherry that the Skulz are involved in some illegal activities.,"I have some testimony from Sherry that the Skulz are involved in some
 illegal activities.",66,67,1,1,True
44,143,143,143,,,"So, you have some info on the Skulz, eh? What can you tell me?","So, you have some info on the Skulz, eh? What can you tell me?",68,68,1,1,True
45,144,144,144,,,They're involved in some muggings and killings here.,They're involved in some muggings and killings here.,69,69,1,1,True
46,145,145,145,,,"I've convinced one of them, Sherry, to testify that they were involved in criminal activity.","I've convinced one of them, Sherry, to testify that they were involved
 in criminal activity.",70,71,1,1,True
47,146,146,146,,,"That's great and all, but I can't just jail them all on one person's say-so. I need hard evidence or inside testimony.","That's great and all, but I can't just jail them all on one person's
 say-so. I need hard evidence or inside testimony.",72,73,1,1,True
48,147,147,147,,,I'll see what I can do.,I'll see what I can do.,74,74,1,1,True
49,148,148,148,,,"I've got testimony from Sherry, a former gang member.","I've got testimony from Sherry, a former gang member.",75,75,1,1,True
50,149,149,149,,,"Excellent. I'll pick her up for a few questions, and I'm sure that I'll get all the information that I need to put them away.","Excellent. I'll pick her up for a few questions, and I'm sure that I'll
 get all the information that I need to put them away.",76,77,1,1,True
51,150,150,150,,,"Look, this isn't a game. People are getting hurt here. If you find some real evidence, come back, but otherwise, don't waste my time!","Look, this isn't a game. People are getting hurt here. If you find some
 real evidence, come back, but otherwise, don't waste my time!",78,79,1,1,True
52,151,151,151,,,"If you're not averse to a little skullduggery, I need someone to get some hard evidence on the Skulz, proving that they're involved in illegal activities here. Or you can talk to Killian; he might have some work for you.","If you're not averse to a little skullduggery, I need someone to get some
 hard evidence on the Skulz, proving that they're involved in illegal
 activities here. Or you can talk to Killian; he might have some work for you.",80,82,1,1,True
53,152,152,152,,,"Thanks for your assistance. Junktown's a little safer now, because of your help.","Thanks for your assistance. Junktown's a little safer now, because of
 your help.",83,84,1,1,True
54,153,153,153,,,"Move along there, fella.","Move along there, fella.",85,85,1,1,True
55,154,154,154,,,You gain 300 experience points for taking a risky turn against the Skulz.,You gain 300 experience points for taking a risky turn against the Skulz.,86,86,1,1,True
56,155,155,155,,,You ready to help take down Gizmo?,You ready to help take down Gizmo?,87,87,1,1,True
57,156,156,156,,,You bet. Let's nail that tub.,You bet. Let's nail that tub.,88,88,1,1,True
58,157,157,157,,,"No, I changed my mind.","No, I changed my mind.",89,89,1,1,True
59,158,158,158,,,"All right, let's do it.","All right, let's do it.",90,90,1,1,True
60,159,159,159,,,"Well, you'd best wait here so you don't get caught in the crossfire.","Well, you'd best wait here so you don't get caught in the crossfire.",91,91,1,1,True
61,160,160,160,,,Killian sent me to help run Gizmo out of town.,Killian sent me to help run Gizmo out of town.,92,92,1,1,True
62,161,161,161,,,Killian sent me. We're going to take Gizmo down.,Killian sent me. We're going to take Gizmo down.,93,93,1,1,True
63,162,162,162,,,"Thanks for all your help. Here's 500 caps. You're always welcome in Junktown, friend.","Thanks for all your help. Here's 500 caps. You're always welcome in
 Junktown, friend.",94,95,1,1,True
64,163,163,163,,,What? Hmm. We'll see about that. I'll send some men over to ambush them when they try it. You gonna be there?,"What? Hmm. We'll see about that. I'll send some men over to ambush them
 when they try it. You gonna be there?",96,97,1,1,True
65,164,164,164,,,"No thanks, I've done my good deed for the day.","No thanks, I've done my good deed for the day.",98,98,1,1,True
66,165,165,165,,,Yes.,Yes.,99,99,1,1,True
67,166,166,166,,,The Skulz are planning on killing Neal!,The Skulz are planning on killing Neal!,100,100,1,1,True
68,167,167,167,,,Lars's men quickly eliminate the Skulz.,Lars's men quickly eliminate the Skulz.,101,101,1,1,True
69,168,168,168,,,"Looks like Lars might still be alive, but he's definitely out of the fight.","Looks like Lars might still be alive, but he's definitely out of the fight.",102,102,1,1,True
70,169,169,169,,,"Wanderer, you just screwed up. We needed evidence so that we could take down Gizmo all nice and legal-like. Look, off the record, I'm happy to have that fat fuck out of the picture, but we can't condone murder. You better leave Junktown and never come back.","Wanderer, you just screwed up. We needed evidence so that we could take
 down Gizmo all nice and legal-like. Look, off the record, I'm happy to have that
 fat fuck out of the picture, but we can't condone murder. You better leave
 Junktown and never come back.",103,106,1,1,True
71,170,170,170,,,We don't like your kind here. You've got about fifteen seconds before I blow your head off.,"We don't like your kind here. You've got about fifteen seconds before I
 blow your head off.",107,108,1,1,True
72,171,171,171,,,Hello again! What can I do for you?,Hello again! What can I do for you?,109,109,1,1,True
73,172,172,172,,,Uh-huh.,Uh-huh.,110,110,1,1,True
74,173,173,173,,,Nuh-uh.,Nuh-uh.,111,111,1,1,True
75,174,174,174,,,You gain 500 experience points for assisting in the elimination of the Skulz gang.,"You gain 500 experience points for assisting in the elimination of the
 Skulz gang.",112,113,1,1,True
76,1000,1000,1000,,,Gizmo,Gizmo,115,115,1,1,True
77,1100,1100,1100,,,He runs the casino. He's a crook.,He runs the casino. He's a crook.,116,116,1,1,True
