occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see Mathia.,You see Mathia.,1,1,1,1,True
2,101,101,101,,,"Hello, Initiate. So, you are the one who made it out of the Ancient Order alive.","Hello, Initiate. So, you are the one who made it out
 of the Ancient Order alive.",2,3,1,1,True
3,102,102,102,,,Wha?,Wha?,4,4,1,1,True
4,103,103,103,,,And who are you?,And who are you?,5,5,1,1,True
5,104,104,104,,,"Sorry, I thought you were someone else. Bye.","Sorry, I thought you were someone else. Bye.",6,6,1,1,True
6,105,105,105,,,"The name is Mathia. I am officially Maxson's assistant, but I am also here to make sure no one messes with the old man.","The name is Mathia. I am officially Maxson's assistant, but
 I am also here to make sure no one messes with the old man.",7,8,1,1,True
7,106,106,106,,,Old man? That sounds a bit disrespectful.,Old man? That sounds a bit disrespectful.,9,9,1,1,True
8,107,107,107,,,What do you do as Maxson's assistant?,What do you do as Maxson's assistant?,10,10,1,1,True
9,108,108,108,,,Good to meet you. Bye.,Good to meet you. Bye.,11,11,1,1,True
10,109,109,109,,,"No, no, not at all. He's a good guy. (Jokingly) Besides, I wouldn't bad mouth him while he is standing next to me.","No, no, not at all. He's a good guy. (Jokingly) Besides,
 I wouldn't bad mouth him while he is standing next to me.",12,13,1,1,True
11,110,110,110,,,"So, what is it that you do for Maxson as his assistant.","So, what is it that you do for Maxson as his assistant.",14,14,1,1,True
12,111,111,111,,,Goodbye.,Goodbye.,15,15,1,1,True
13,112,112,112,,,"I take care of all the paper work. He could not do paper work to save his life. Also, if he clears a Weapons Upgrade for one of the Brothers, I process the order.","I take care of all the paper work. He could not do paper
 work to save his life. Also, if he clears a Weapons Upgrade for one
 of the Brothers, I process the order.",16,18,1,1,True
14,113,113,113,,,"Ok, thanks for the information.","Ok, thanks for the information.",19,19,1,1,True
15,114,114,114,,,I can't believe an idiot like you is the one who made the Ancient Order run. Go figure.,"I can't believe an idiot like you is the one who made the
 Ancient Order run. Go figure.",20,21,1,1,True
16,115,115,115,,,Hello again Initiate. How can I help you?,Hello again Initiate. How can I help you?,22,22,1,1,True
17,116,116,116,,,Wha?,Wha?,23,23,1,1,True
18,117,117,117,,,"I'm sorry, I forgot your name.","I'm sorry, I forgot your name.",24,24,1,1,True
19,118,118,118,,,"Sorry, I thought you were someone else. Good day.","Sorry, I thought you were someone else. Good day.",25,25,1,1,True
20,119,119,119,,,"Alright, let's go. (He grabs you by the arm)","Alright, let's go. (He grabs you by the arm)",26,26,1,1,True
21,120,120,120,,,Uh huh.,Uh huh.,27,27,1,1,True
22,121,121,121,,,Uh uh.,Uh uh.,28,28,1,1,True
23,122,122,122,,,"Alright, Alright. I'm moving.","Alright, Alright. I'm moving.",29,29,1,1,True
24,123,123,123,,,Get the hell away from me. I'm not going anywhere.,Get the hell away from me. I'm not going anywhere.,30,30,1,1,True
25,124,124,124,,,Ok. Maxson has cleared a weapons upgrade for you. What would you like?,"Ok. Maxson has cleared a weapons upgrade for you. What would
 you like?",31,32,1,1,True
26,125,125,125,,,Wha?,Wha?,33,33,1,1,True
27,126,126,126,,,Sniper Rifle.,Sniper Rifle.,34,34,1,1,True
28,127,127,127,,,Rocket Launcher.,Rocket Launcher.,35,35,1,1,True
29,128,128,128,,,Laser Pistol.,Laser Pistol.,36,36,1,1,True
30,129,129,129,,,Power Fist.,Power Fist.,37,37,1,1,True
31,130,130,130,,,Ripper.,Ripper.,38,38,1,1,True
32,131,131,131,,,There you go. Glad you are on our side Initiate.,There you go. Glad you are on our side Initiate.,39,39,1,1,True
33,132,132,132,,,The Elders have called a meeting. They wish you to meet them in the conference room right away.,"The Elders have called a meeting. They wish you to meet them in the
 conference room right away.",40,41,1,1,True
34,133,133,133,,,Where is the conference room?,Where is the conference room?,42,42,1,1,True
35,134,134,134,,,"Ok, thank you.","Ok, thank you.",43,43,1,1,True
36,135,135,135,,,"It's on this floor. The northeast corner, right behind the assembly hall.","It's on this floor. The northeast corner, right behind the assembly hall.",44,44,1,1,True
