occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see Michael.,You see Michael.,1,1,1,1,True
2,101,101,101,,,"Well, I guess that's what the problem was. You should see the Doctor, she's on level two.","Well, I guess that's what the problem was. You should see the Doctor, she's on level two.",2,2,1,1,True
3,102,102,102,,,You're fine as far as I can tell.,You're fine as far as I can tell.,3,3,1,1,True
4,103,103,103,,,"The supply room is off limits my son. Only myself and two others have access to that room. If you need something, you need to talk to me about it.","The supply room is off limits my son. Only myself and two others have access to that room. If you need 
something, you need to talk to me about it.",4,5,1,1,True
5,104,104,104,,,"The supply room is off limits ma'am. Only myself and two others have access to that room. If you need something, you need to talk to me about it.","The supply room is off limits ma'am. Only myself and two others have access to that room. If you need 
something, you need to talk to me about it.",6,7,1,1,True
6,105,105,105,,,Didn't you hear me? I said that the rooms are off limits.,Didn't you hear me? I said that the rooms are off limits.,8,8,1,1,True
7,106,106,106,,,"Hello, Brother. How can I help you?","Hello, Brother. How can I help you?",9,9,1,1,True
8,107,107,107,,,"Please excuse me for asking, but what do you do for our Brotherhood.","Please excuse me for asking, but what do you do for our Brotherhood.",10,10,1,1,True
9,108,108,108,,,What do you do around here?,What do you do around here?,11,11,1,1,True
10,109,109,109,,,I've been injured. Can you heal me?,I've been injured. Can you heal me?,12,12,1,1,True
11,110,110,110,,,Urak Chufar!,Urak Chufar!,13,13,1,1,True
12,111,111,111,,,"I'm sorry, but I don't understand what you want. If you need supplies, you need to have authorization.","I'm sorry, but I don't understand what you want. If you need supplies, you need to have authorization.",14,14,1,1,True
13,112,112,112,,,Taga ma.,Taga ma.,15,15,1,1,True
14,113,113,113,,,Caroo!,Caroo!,16,16,1,1,True
15,114,114,114,,,I still don't understand you. Maybe you need to see the Doctor   She's on level two.,"I still don't understand you. Maybe you need to see the Doctor
   She's on level two.",17,18,1,1,True
16,115,115,115,,,You should see the Doctor. She's on level two.,You should see the Doctor. She's on level two.,19,19,1,1,True
17,116,116,116,,,"Oh, nothing quite as glorious as our Paladins. I just run the supply room, checking equipment and other supplies out to people.","Oh, nothing quite as glorious as our Paladins. I just run the supply room, checking equipment and other supplies out to people.",20,20,1,1,True
18,117,117,117,,,I was sent here by ... Bob. He wanted me to get him ... that new high tech weapon-thingy. He said to bring it right away.,I was sent here by ... Bob. He wanted me to get him ... that new high tech weapon-thingy. He said to bring it right away.,21,21,1,1,True
19,118,118,118,,,I'd like to check out something. How do I do that?,I'd like to check out something. How do I do that?,22,22,1,1,True
20,119,119,119,,,"Oh, that's nice. Bye.","Oh, that's nice. Bye.",23,23,1,1,True
21,120,120,120,,,"[Failed Lie] Bob? Bob who? What are you talking about? What new high tech weapon-thingy? I need more specifics than that, and you must have the who ever it is get me the proper authorization. I cannot give anything without authorization.","[Failed Lie] Bob? Bob who? What are you talking about? What new high tech weapon-thingy? I need 
more specifics than that, and you must have the who ever it is get me the proper authorization. 
I cannot give anything without authorization.",24,26,1,1,True
