occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a Master Merchant,You see a Master Merchant,1,1,1,1,True
2,101,101,101,,,Arrest this thief!,Arrest this thief!,2,2,1,1,True
3,102,102,102,,,"...I don't care what they say.  We need new parts... Oh, yes.  Sorry. What can I do for you?","...I don't care what they say.  We need new parts... Oh, yes.  Sorry. What can I do for you?",3,3,1,1,True
4,103,103,103,,,I want a job.,I want a job.,4,4,1,1,True
5,104,104,104,,,Do you have a water chip?,Do you have a water chip?,5,5,1,1,True
6,105,105,105,,,"Nothing, bye.","Nothing, bye.",6,6,1,1,True
7,106,106,106,,,Shek.,Shek.,7,7,1,1,True
8,107,107,107,,,"Sure, great.  You're hired.  Wait.  What position?  Oh, caravan guard right?  Yeah, sure. You can work for us.  You look okay.  Anything else?","Sure, great.  You're hired.  Wait.  What position?  Oh, caravan guard right?  Yeah, sure. You can work for us.  You look okay.  Anything else?",8,8,1,1,True
9,108,108,108,,,Nope.,Nope.,9,9,1,1,True
10,109,109,109,,,"Yes, do you have a water chip?","Yes, do you have a water chip?",10,10,1,1,True
11,110,110,110,,,Veh?,Veh?,11,11,1,1,True
12,111,111,111,,,"Sorry, no time for nonsense!","Sorry, no time for nonsense!",12,12,1,1,True
13,112,112,112,,,"Water chip... hmm.  Oh, those old Vault purifying control chips.  Well, I'm sure I speak for the entire town when I say you won't find one here.  Without the proper equipment they're worthless.  Only a Vault, or maybe Necropolis would have any use for one.  Why do you ask?","Water chip... hmm.  Oh, those old Vault purifying control chips.  Well, I'm sure I speak for the entire town when I say
 you won't find one here.  Without the proper equipment they're worthless.  Only a Vault, or maybe Necropolis would have any
 use for one.  Why do you ask?",13,15,1,1,True
14,113,113,113,,,Necropolis?  Why would they need one?,Necropolis?  Why would they need one?,16,16,1,1,True
15,114,114,114,,,My vault's chip broke and I'm looking for a replacement.,My vault's chip broke and I'm looking for a replacement.,17,17,1,1,True
16,115,115,115,,,Just curious.,Just curious.,18,18,1,1,True
17,116,116,116,,,I can't say.,I can't say.,19,19,1,1,True
