occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,This computer is labeled Atomic Access Computer.,This computer is labeled Atomic Access Computer.,1,1,1,1,True
2,101,101,101,,,There are cables running from the access computer to the warhead behind it.,"There are cables running from the access computer to
 the warhead behind it.",2,3,1,1,True
3,102,102,102,,,You have armed the warhead. A timer with four minutes has started a countdown.,"You have armed the warhead. A timer with four minutes
 has started a countdown.",4,5,1,1,True
4,103,103,103,,,You have disarmed the nuclear warhead.,You have disarmed the nuclear warhead.,6,6,1,1,True
5,104,104,104,,,BOOOOOOOOOM! [You have set off the nuke!],BOOOOOOOOOM! [You have set off the nuke!],7,7,1,1,True
6,105,105,105,,,That doesn't seem to be working.,That doesn't seem to be working.,8,8,1,1,True
7,106,106,106,,,The countdown is still going . . . maybe you should cut that red wire.,The countdown is still going . . . maybe you should cut that red wire.,9,9,1,1,True
8,107,107,107,,,Maybe you need to use the key also.,Maybe you need to use the key also.,10,10,1,1,True
9,108,108,108,,,This computer is equipped with a hardware locking device that prevents the arming of the bomb without the proper key.,"This computer is equipped with a hardware locking device that prevents
 the arming of the bomb without the proper key.",11,12,1,1,True
10,109,109,109,,,It is impossible the lockpick this heavily secure lock.,It is impossible the lockpick this heavily secure lock.,13,13,1,1,True
11,110,110,110,,,This computer cannot be repaired.,This computer cannot be repaired.,14,14,1,1,True
12,111,111,111,,,You cannot use the traps skill on this computer.,You cannot use the traps skill on this computer.,15,15,1,1,True
13,112,112,112,,,You are not skilled enough to defeat the security mechanism.,You are not skilled enough to defeat the security mechanism.,16,16,1,1,True
