occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"You see Neal, the bartender.","You see Neal, the bartender.",1,1,1,1,True
2,101,101,101,,,You see a bartender.,You see a bartender.,2,2,1,1,True
3,102,102,102,,,He looks overworked.,He looks overworked.,3,3,1,1,True
4,103,103,103,,,"Hey! Don't think you're going to get away with that, thief!","Hey! Don't think you're going to get away with that, thief!",4,4,1,1,True
5,104,104,104,,,We're closed. Come back around four o'clock.,We're closed. Come back around four o'clock.,5,5,1,1,True
6,105,105,105,,,Zzzz,Zzzz,6,6,1,1,True
7,106,106,106,,,Welcome to the Skum Pitt. What can I do ya for?,Welcome to the Skum Pitt. What can I do ya for?,7,7,1,1,True
8,107,107,107,,,"Uh, I'll have a drink.","Uh, I'll have a drink.",8,8,1,1,True
9,108,108,108,,,I'm looking for information.,I'm looking for information.,9,9,1,1,True
10,109,109,109,,,My name's ,My name's ,10,10,1,1,True
11,110,110,110,,,. What is this place?,. What is this place?,11,11,1,1,True
12,111,111,111,,,Gaa hnnngh!,Gaa hnnngh!,12,12,1,1,True
13,112,112,112,,,Great. Whaddya want?,Great. Whaddya want?,13,13,1,1,True
14,113,113,113,,,"Nuka-cola, 3 caps.","Nuka-cola, 3 caps.",14,14,1,1,True
15,114,114,114,,,"Beer, 5 caps.","Beer, 5 caps.",15,15,1,1,True
16,115,115,115,,,"The hard stuff, 20 caps.","The hard stuff, 20 caps.",16,16,1,1,True
17,116,116,116,,,"Okay, so whaddya wanna know?","Okay, so whaddya wanna know?",17,17,1,1,True
18,117,117,117,,,What's the scoop on this town?,What's the scoop on this town?,18,18,1,1,True
19,118,118,118,,,Who's the dangerous-looking stranger in the corner?,Who's the dangerous-looking stranger in the corner?,19,19,1,1,True
20,119,119,119,,,Who're the jerks?,Who're the jerks?,20,20,1,1,True
21,120,120,120,,,"[Neal looks at you quizzically for a moment.] Haven't you ever seen a bar before, stranger? This is my place, the Skum Pitt. You buy drinks here. And you tip me.","[Neal looks at you quizzically for a moment.] Haven't you ever seen a bar
 before, stranger? This is my place, the Skum Pitt. You buy drinks here. And you
 tip me.",21,23,1,1,True
22,121,121,121,,,"Uh, right. I knew that. So, can I get a drink?","Uh, right. I knew that. So, can I get a drink?",24,24,1,1,True
23,122,122,122,,,"Yeah. Um, can I get some other information?","Yeah. Um, can I get some other information?",25,25,1,1,True
24,123,123,123,,,Oh. Thanks.,Oh. Thanks.,26,26,1,1,True
25,124,124,124,,,"Yeah, same to you, buddy.","Yeah, same to you, buddy.",27,27,1,1,True
26,125,125,125,,,Whats that trophy on the shelf?,Whats that trophy on the shelf?,28,28,1,1,True
27,126,126,126,,,"Well, just over there to the west of us is Gizmo's casino. I'd be surprised if you didn't know about it; most of the people here are the ones who just finished losing their money there. Over in the other part of town you got Killian's general store, and Marcelles's Crash House. Killian's a good guy, runs a straight joint, carries everything you need. The Crash House is where you sleep it off when you've been in here for too long. [Neal chuckles.]","Well, just over there to the west of us is Gizmo's casino. I'd be
 surprised if you didn't know about it; most of the people here are the ones who
 just finished losing their money there. Over in the other part of town you got
 Killian's general store, and Marcelles's Crash House. Killian's a good guy, runs
 a straight joint, carries everything you need. The Crash House is where you sleep
 it off when you've been in here for too long. [Neal chuckles.]",29,34,1,1,True
28,127,127,127,,,Thanks. Can I get a drink?,Thanks. Can I get a drink?,35,35,1,1,True
29,128,128,128,,,Thanks for the information. See you around.,Thanks for the information. See you around.,36,36,1,1,True
30,129,129,129,,,"Fella's called Tycho. Apparently a ranger from back east or something. Pretty nasty fighter, from what I hear, but a straight-up character.","Fella's called Tycho. Apparently a ranger from back east or something.
 Pretty nasty fighter, from what I hear, but a straight-up character.",37,38,1,1,True
31,130,130,130,,,Mind if I ask some other questions?,Mind if I ask some other questions?,39,39,1,1,True
32,131,131,131,,,"Oh, them. They're the Skulz. They're a local gang. All the riff-raff. Sometimes they start fights or cause a little trouble. Usually Killian keeps them in line, though.","Oh, them. They're the Skulz. They're a local gang. All the riff-raff.
 Sometimes they start fights or cause a little trouble. Usually Killian keeps them
 in line, though.",40,42,1,1,True
33,132,132,132,,,Here ya go. Enjoy.,Here ya go. Enjoy.,43,43,1,1,True
34,133,133,133,,,Hey! You stole my urn!,Hey! You stole my urn!,44,44,1,1,True
35,134,134,134,,,"That's not a trophy, it's an urn. It contains my wife's ashes - besides this bar, it is the most important thing in my life.","That's not a trophy, it's an urn. It contains my wife's ashes -
 besides this bar, it is the most important thing in my life.",45,46,1,1,True
36,135,135,135,,,Anything else?,Anything else?,47,47,1,1,True
37,136,136,136,,,Looking for some more information.,Looking for some more information.,48,48,1,1,True
38,137,137,137,,,No thanks.,No thanks.,49,49,1,1,True
39,138,138,138,,,Oh.,Oh.,50,50,1,1,True
40,139,139,139,,,"Yeah, I'll have a drink.","Yeah, I'll have a drink.",51,51,1,1,True
41,140,140,140,,,Come back when you've got some money.,Come back when you've got some money.,52,52,1,1,True
42,141,141,141,,,"What'll it be, friend?","What'll it be, friend?",53,53,1,1,True
43,142,142,142,,,What happened to that trophy you used to have up there?,What happened to that trophy you used to have up there?,54,54,1,1,True
44,143,143,143,,,Thank you. You can't know what this means to me. You'll never pay for a drink in this bar again.,"Thank you. You can't know what this means to me. You'll never pay
 for a drink in this bar again.",55,56,1,1,True
45,144,144,144,,,I've got your urn back for you.,I've got your urn back for you.,57,57,1,1,True
46,145,145,145,,,"Some slime stole it. It wasn't a trophy, it was an urn. It contained my wife's ashes - besides this bar, it was the most important thing in my life.","Some slime stole it. It wasn't a trophy, it was an urn. It contained my
 wife's ashes - besides this bar, it was the most important thing in my life.",58,59,1,1,True
47,146,146,146,,,Get the hell outta here you goddamn punks! If any of ya ever touch her again I'll kill the whole lot o' ya!,"Get the hell outta here you goddamn punks! If any of ya ever touch her
 again I'll kill the whole lot o' ya!",60,61,1,1,True
48,147,147,147,,,The day I can't handle little shits like you is the day I die!,The day I can't handle little shits like you is the day I die!,62,62,1,1,True
49,148,148,148,,,What the hell ya doin'? We're closed. Get on out of here!,What the hell ya doin'? We're closed. Get on out of here!,63,63,1,1,True
50,149,149,149,,,"Ya damn kids, I'll show you a thing or two!","Ya damn kids, I'll show you a thing or two!",64,64,1,1,True
