occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,The water pump is fixed and working fine.,The water pump is fixed and working fine.,1,1,1,1,True
2,101,101,101,,,The water pump isn't working due to a broken vacuum pump.,The water pump isn't working due to a broken vacuum pump.,2,2,1,1,True
3,102,102,102,,,The water pump isn't working.,The water pump isn't working.,3,3,1,1,True
4,103,103,103,,,A piece of machinery.,A piece of machinery.,4,4,1,1,True
5,104,104,104,,,This water pump isn't working due to a broken vacuum pump.,This water pump isn't working due to a broken vacuum pump.,5,5,1,1,True
6,105,105,105,,,It might need a new fuse.,It might need a new fuse.,6,6,1,1,True
7,106,106,106,,,The water pump isn't working.,The water pump isn't working.,7,7,1,1,True
8,107,107,107,,,You cannot repair the water pump without a replacement vacuum pump.,"You cannot repair the water pump without a replacement vacuum
 pump.",8,9,1,1,True
9,108,108,108,,,You fail to repair the water pump. It might need a new fuse.,You fail to repair the water pump. It might need a new fuse.,10,10,1,1,True
10,109,109,109,,,You fail to repair the water pump.,You fail to repair the water pump.,11,11,1,1,True
11,110,110,110,,,This water pump isn't working due to a broken vacuum pump.,This water pump isn't working due to a broken vacuum pump.,12,12,1,1,True
12,111,111,111,,,This water pump may need a new fuse.,This water pump may need a new fuse.,13,13,1,1,True
13,112,112,112,,,The water pump isn't working.,The water pump isn't working.,14,14,1,1,True
14,113,113,113,,,You notice nothing unusual.,You notice nothing unusual.,15,15,1,1,True
15,114,114,114,,,The massive pump struggles to life after you successfully install the missing parts.,"The massive pump struggles to life after you successfully
 install the missing parts.",16,17,1,1,True
16,115,115,115,,,You somehow manage to destroy the parts while cutting your hand for 1 point of damage.,"You somehow manage to destroy the parts while cutting
 your hand for 1 point of damage.",18,19,1,1,True
17,116,116,116,,,You are having difficulties making these parts work.,You are having difficulties making these parts work.,20,20,1,1,True
18,117,117,117,,,This item cannot be used on the pump.,This item cannot be used on the pump.,21,21,1,1,True
19,118,118,118,,,You gain 1000 experience points for fixing the pump.,You gain 1000 experience points for fixing the pump.,22,22,1,1,True
