occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see Nicole.,You see Nicole.,1,1,1,1,True
2,101,101,101,,,Tell me a little history behind the Followers.,Tell me a little history behind the Followers.,2,2,1,1,True
3,102,102,102,,,What do you worship?,What do you worship?,3,3,1,1,True
4,103,103,103,,,What's around here?,What's around here?,4,4,1,1,True
5,104,104,104,,,I have some information for you.,I have some information for you.,5,5,1,1,True
6,105,105,105,Nic_1,Nic_1,Greetings. Hey! We're very glad you could join us. We hope you have found our humble abode to your satisfaction.,Greetings. Hey! We're very glad you could join us. We hope you have found our humble abode to your satisfaction.,6,6,1,1,True
7,106,106,106,,,Thanks. Can you tell me more about what you worship here?,Thanks. Can you tell me more about what you worship here?,7,7,1,1,True
8,107,107,107,,,'Humble' is a good word. 'Dump' would be better.,'Humble' is a good word. 'Dump' would be better.,8,8,1,1,True
9,108,108,108,,,I have. Can I ask you a few questions?,I have. Can I ask you a few questions?,9,9,1,1,True
10,109,109,109,,,"It's okay, I guess.","It's okay, I guess.",10,10,1,1,True
11,110,110,110,,,"Nuhh? Uh, nuh, nuh. Huh?","Nuhh? Uh, nuh, nuh. Huh?",11,11,1,1,True
12,111,111,111,Nic_2,Nic_2,"We don't worship so much as follow a set of principles. We want to bring peace back to this wasteland. The world tends toward destruction, so we try to make a difference.","We don't worship so much as follow a set of principles. We want to bring peace back to this wasteland. The world tends toward destruction, so we try to make a difference.",12,12,1,1,True
13,112,112,112,,,How?,How?,13,13,1,1,True
14,113,113,113,Nic_4,Nic_4,We try to remind people why the Great War happened in the first place. And help insure it won't ever happen again.,We try to remind people why the Great War happened in the first place. And help insure it won't ever happen again.,14,14,1,1,True
15,114,114,114,,,Have you been successful at all?,Have you been successful at all?,15,15,1,1,True
16,115,115,115,,,Sounds like wishful thinking - not very realistic.,Sounds like wishful thinking - not very realistic.,16,16,1,1,True
17,116,116,116,Nic_5,Nic_5,"We never give up hope. We never will, even though most live by the gun these days. And we are concerned with the Children of the Cathedral...","We never give up hope. We never will, even though most live by the gun these days. And we are concerned with the Children of the Cathedral...",17,17,1,1,True
18,117,117,117,,,What about them?,What about them?,18,18,1,1,True
19,118,118,118,Nic_6,Nic_6,"They claim to want peace, like us. But anyone who disagrees with them just disappears. Their Dark God is not what he seems, believe me.","They claim to want peace, like us. But anyone who disagrees with them just disappears. Their Dark God is not what he seems, believe me.",19,19,1,1,True
20,119,119,119,,,How do you know?,How do you know?,20,20,1,1,True
21,120,120,120,,,Don't you think you're being a bit paranoid?,Don't you think you're being a bit paranoid?,21,21,1,1,True
22,121,121,121,,,'Us?' Is this what all the Followers think or just you?,'Us?' Is this what all the Followers think or just you?,22,22,1,1,True
