occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Paladin,Paladin,1,1,1,1,True
2,101,101,101,,,"Stay sharp, Initiate!","Stay sharp, Initiate!",2,2,1,1,True
3,102,102,102,,,Looking good. Keep up the good work.,Looking good. Keep up the good work.,3,3,1,1,True
4,103,103,103,,,"Hello Initiate, everything is secure.","Hello Initiate, everything is secure.",4,4,1,1,True
5,104,104,104,,,"Hi, Brother ","Hi, Brother ",5,5,1,1,True
6,105,105,105,,,.,.,6,6,1,1,True
7,106,106,106,,,"Sorry, I shouldn't be talking to anyone. You know how it is.","Sorry, I shouldn't be talking to anyone. You know how it is.",7,7,1,1,True
8,107,107,107,,,You should talk to Talus or Maxson if you have any questions.,You should talk to Talus or Maxson if you have any questions.,8,8,1,1,True
9,108,108,108,,,Vree's in the library during the day if you ever have technical questions.,"Vree's in the library during the day if you ever have
 technical questions.",9,10,1,1,True
10,109,109,109,,,Rhombus is my idol.,Rhombus is my idol.,11,11,1,1,True
11,110,110,110,,,I wish I was training right now. This guard duty is a waste of time.,"I wish I was training right now. This guard duty
 is a waste of time.",12,13,1,1,True
12,111,111,111,,,Vree's my idol.,Vree's my idol.,14,14,1,1,True
13,112,112,112,,,Marco!,Marco!,15,15,1,1,True
14,113,113,113,,,Polo!,Polo!,16,16,1,1,True
