occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a ghoul prisoner.,You see a ghoul prisoner.,1,1,1,1,True
2,101,101,101,,,Wha-what do you want.,Wha-what do you want.,2,2,1,1,True
3,102,102,102,,,"Uh, nothing.","Uh, nothing.",3,3,1,1,True
4,103,103,103,,,Hng.,Hng.,4,4,1,1,True
5,104,104,104,,,I'm here to let you out.,I'm here to let you out.,5,5,1,1,True
6,105,105,105,,,What'd you expect.,What'd you expect.,6,6,1,1,True
7,106,106,106,,,"Hey, I don't care about that, just get me outta here!","Hey, I don't care about that, just get me outta here!",7,7,1,1,True
8,107,107,107,,,Great! Do it!,Great! Do it!,8,8,1,1,True
9,108,108,108,,,"I stole some water. Hey, I was thirsty! It wasn't like I hurt somebody.","I stole some water. Hey, I was thirsty! It wasn't like I hurt somebody.",9,9,1,1,True
10,109,109,109,,,You took more than your rightful share.,You took more than your rightful share.,10,10,1,1,True
11,110,110,110,,,"Ah, that's nothing. I'll get you out.","Ah, that's nothing. I'll get you out.",11,11,1,1,True
12,111,111,111,,,I would've died without the water. It was only a cupful. Just enough to keep me alive. You gotta get me out of here! I'm going insane.,"I would've died without the water. It was only a cupful.
 Just enough to keep me alive. You gotta get me out of here!
 I'm going insane.",12,14,1,1,True
13,112,112,112,,,"Ok, hold on a moment.","Ok, hold on a moment.",15,15,1,1,True
14,113,113,113,,,I think I'll let the authorities deal with you.,I think I'll let the authorities deal with you.,16,16,1,1,True
15,114,114,114,,,Please let me go.,Please let me go.,17,17,1,1,True
16,115,115,115,,,Thanks for letting me out.,Thanks for letting me out.,18,18,1,1,True
17,116,116,116,,,No prob.,No prob.,19,19,1,1,True
18,117,117,117,,,Where does the water come from?,Where does the water come from?,20,20,1,1,True
19,118,118,118,,,Ya.,Ya.,21,21,1,1,True
20,119,119,119,,,"They pump it up from the wells below. There is a manhole in the cell next door that leads to the old vault. This is the source of the water. If it wasn't for those ones below, we would be a lot better off.","They pump it up from the wells below. There is a manhole
 in the cell next door that leads to the old vault. This is
 the source of the water. If it wasn't for those
 ones below, we would be a lot better off.",22,25,1,1,True
21,120,120,120,,,What do you mean?,What do you mean?,26,26,1,1,True
22,121,121,121,,,Thanks.,Thanks.,27,27,1,1,True
23,122,122,122,,,"It's difficult to make the old tech work properly, sometimes. The glowing ones lash out whenever we go down there. Us ghouls just leave them alone. And the big mutants don't seem to care one bit.","It's difficult to make the old tech work properly, sometimes.
 The glowing ones lash out whenever we go down there. Us ghouls
 just leave them alone. And the big mutants don't seem to care one bit.",28,30,1,1,True
24,123,123,123,,,Good luck. Bye.,Good luck. Bye.,31,31,1,1,True
25,124,124,124,,,You gained ,You gained ,32,32,1,1,True
26,125,125,125,,, experience points for freeing the ghoul prisoner., experience points for freeing the ghoul prisoner.,33,33,1,1,True
27,126,126,126,,,Thanks again.,Thanks again.,34,34,1,1,True
