occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see Rhombus.,You see Rhombus.,1,1,1,1,True
2,101,101,101,,,Tell me about yourself.,Tell me about yourself.,2,2,1,1,True
3,102,102,102,,,Can you give me some history behind the Brotherhood?,Can you give me some history behind the Brotherhood?,3,3,1,1,True
4,103,103,103,,,Heard any good rumors?,Heard any good rumors?,4,4,1,1,True
5,104,104,104,,,What can you tell me about the surrounding area?,What can you tell me about the surrounding area?,5,5,1,1,True
6,105,105,105,Rhom1,Rhom1,May I help you?,May I help you?,6,6,1,1,True
7,106,106,106,,,Can I ask you a few questions?,Can I ask you a few questions?,7,7,1,1,True
8,107,107,107,,,You don't look like much of a fighter.,You don't look like much of a fighter.,8,8,1,1,True
9,108,108,108,,,Uhhh?,Uhhh?,9,9,1,1,True
10,109,109,109,Rhom2,Rhom2,Yes.,Yes.,10,10,1,1,True
11,110,110,110,Rhom3,Rhom3,Insolent pup. Apologize now and you'll not be hurt.,Insolent pup. Apologize now and you'll not be hurt.,11,11,1,1,True
12,111,111,111,,,I was trying to make a joke. I'm very sorry.,I was trying to make a joke. I'm very sorry.,12,12,1,1,True
13,112,112,112,,,"What, by you?","What, by you?",13,13,1,1,True
14,113,113,113,Rhom4,Rhom4,What do you want?,What do you want?,14,14,1,1,True
15,114,114,114,,,Can I ask a few questions?,Can I ask a few questions?,15,15,1,1,True
16,115,115,115,,,Just how cowardly are you?,Just how cowardly are you?,16,16,1,1,True
17,116,116,116,Rhom5,Rhom5,You are a disgrace to the Brotherhood. I will teach you manners.,You are a disgrace to the Brotherhood. I will teach you manners.,17,17,1,1,True
18,117,117,117,Rhom6,Rhom6,I will waste no more time with you.,I will waste no more time with you.,18,18,1,1,True
19,118,118,118,Rhom7,Rhom7,"I am Rhombus, head of the Paladins. I train those willing to learn.","I am Rhombus, head of the Paladins. I train those willing to learn.",19,19,1,1,True
20,119,119,119,,,"Okay, can you teach me some stuff?","Okay, can you teach me some stuff?",20,20,1,1,True
21,120,120,120,,,Is that it? That's your life?,Is that it? That's your life?,21,21,1,1,True
22,121,121,121,,,What do the Paladins do?,What do the Paladins do?,22,22,1,1,True
23,122,122,122,Rhom8,Rhom8,Stuff? I could teach you how to fight...if you had any ability. But the High Elder decreed no training of new recruits until the threat of invasion passes.,Stuff? I could teach you how to fight...if you had any ability. But the High Elder decreed no training of new recruits until the threat of invasion passes.,23,23,1,1,True
24,123,123,123,,,What threat?,What threat?,24,24,1,1,True
25,124,124,124,,,Why has he stopped the training?,Why has he stopped the training?,25,25,1,1,True
26,125,125,125,,,I could easily defeat you in battle.,I could easily defeat you in battle.,26,26,1,1,True
