occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see Shark.,You see Shark.,1,1,1,1,True
2,101,101,101,,,You see a man with filed teeth.,You see a man with filed teeth.,2,2,1,1,True
3,102,102,102,,,You bitch!,You bitch!,3,3,1,1,True
4,103,103,103,,,"Hey, fresh bait! So, what brings you in to our territory, chum? Here for a little fun? At your expense, of course.","Hey, fresh bait! So, what brings you in to our territory, chum?
 Here for a little fun? At your expense, of course.",4,5,1,1,True
5,104,104,104,,,"Actually, I'm here to kick butt and chew gum . . . you can guess the rest.","Actually, I'm here to kick butt and chew gum . . . you can guess the rest.",6,6,1,1,True
6,105,105,105,,,What do you do for fun around here?,What do you do for fun around here?,7,7,1,1,True
7,106,106,106,,,"Uh, I was just leaving. Bye.","Uh, I was just leaving. Bye.",8,8,1,1,True
8,107,107,107,,,Just stopped by for a drink and some . . . entertainment.,Just stopped by for a drink and some . . . entertainment.,9,9,1,1,True
9,108,108,108,,,Glopf!,Glopf!,10,10,1,1,True
10,109,109,109,,,We beat up posers like you!,We beat up posers like you!,11,11,1,1,True
11,110,110,110,,,Not so fast! Nobody just walks into our place without payin' the pain tax. ,Not so fast! Nobody just walks into our place without payin' the pain tax. ,12,12,1,1,True
12,111,111,111,,,"I think you'll do. Boys, grab her.","I think you'll do. Boys, grab her.",13,13,1,1,True
13,112,112,112,,,Let me introduce you to the tax man. He's called Mr. Sledgehammer!,Let me introduce you to the tax man. He's called Mr. Sledgehammer!,14,14,1,1,True
14,113,113,113,,,I don't think so!,I don't think so!,15,15,1,1,True
15,114,114,114,,,"Well, for this evening's entertainment, we've decided to thrash this place! Heh. Grab what you can carry and let's see some blood run, eh?","Well, for this evening's entertainment, we've decided to thrash this place!
 Heh. Grab what you can carry and let's see some blood run, eh?",16,17,1,1,True
16,115,115,115,,,Think I'll just grab a brew.,Think I'll just grab a brew.,18,18,1,1,True
17,116,116,116,,,Smash and grab? Count me in!,Smash and grab? Count me in!,19,19,1,1,True
18,117,117,117,,,"Not tonight, I have a headache.","Not tonight, I have a headache.",20,20,1,1,True
19,118,118,118,,,"Nah, I'd rather have something to eat . . . perhaps grilled shark!","Nah, I'd rather have something to eat . . . perhaps grilled shark!",21,21,1,1,True
20,119,119,119,,,"Ah, you loser. Go run back to your momma.","Ah, you loser. Go run back to your momma.",22,22,1,1,True
21,120,120,120,,,"You again? Geez, some people just don't learn!","You again? Geez, some people just don't learn!",23,23,1,1,True
22,121,121,121,,,Just stopped in for a quick drink.,Just stopped in for a quick drink.,24,24,1,1,True
23,122,122,122,,,"Just leaving, never mind.","Just leaving, never mind.",25,25,1,1,True
24,123,123,123,,,Glorpf!,Glorpf!,26,26,1,1,True
25,124,124,124,,,"Not a bad idea. Think I'll have one myself. Of course, you always have to wash a beer down with some bloodshed!","Not a bad idea. Think I'll have one myself. Of course,
 you always have to wash a beer down with some bloodshed!",27,28,1,1,True
26,125,125,125,,,"I thought you'd get the picture by now, to beat it. Guess I was wrong. Well, at least it'll be fun to beat you!","I thought you'd get the picture by now, to beat it. Guess I
 was wrong. Well, at least it'll be fun to beat you!",29,30,1,1,True
27,126,126,126,,,"We'll be back, old man. This isn't over.","We'll be back, old man. This isn't over.",31,31,1,1,True
