occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a zombie. ,You see a zombie. ,1,1,1,1,True
2,101,101,101,,,You have committed many sins. I will pray for your redemption. ,You have committed many sins. I will pray for your redemption. ,2,2,1,1,True
3,102,102,102,,,Hail the Master! Hail the Holy Flame! Hail Peace and Unity! ,Hail the Master! Hail the Holy Flame! Hail Peace and Unity! ,3,3,1,1,True
4,103,103,103,,,Hello my child. Why do you hold a weapon? Perhaps you need instruction in the ways of peace? ,Hello my child. Why do you hold a weapon? Perhaps you need instruction in the ways of peace? ,4,4,1,1,True
5,104,104,104,,,"Praise to the Master, that at long last I have found a place where I can put down my arms and embrace peace! ","Praise to the Master, that at long last I have found a place where I can put down my arms and embrace peace! ",5,5,1,1,True
6,105,105,105,,,Sounds good. Who would instruct me? ,Sounds good. Who would instruct me? ,6,6,1,1,True
7,106,106,106,,,I'm on guard duty. ,I'm on guard duty. ,7,7,1,1,True
8,107,107,107,,,Sounds good to me. How about instruction and a back rub? ,Sounds good to me. How about instruction and a back rub? ,8,8,1,1,True
9,108,108,108,,,They got any holy wine around this joint? ,They got any holy wine around this joint? ,9,9,1,1,True
10,109,109,109,,,"Screw peace. The Master's making a power play, and I want a piece of the action. Where is he? ","Screw peace. The Master's making a power play, and I want a piece of the action. Where is he? ",10,10,1,1,True
11,110,110,110,,,You say me stupid? ,You say me stupid? ,11,11,1,1,True
12,111,111,111,,,"Hello. Nice weather, isn't it? ","Hello. Nice weather, isn't it? ",12,12,1,1,True
13,112,112,112,,,"Yeah, but there's a storm brewing. The enemies of the Cathedral are everywhere. What rumors have you heard? ","Yeah, but there's a storm brewing. The enemies of the Cathedral are everywhere. What rumors have you heard? ",13,13,1,1,True
14,113,113,113,,,I've seen better. Who's in charge here? ,I've seen better. Who's in charge here? ,14,14,1,1,True
15,114,114,114,,,"Yeah, nice weather. ","Yeah, nice weather. ",15,15,1,1,True
16,115,115,115,,,Nice weather if you don't mind a radioactive tan. ,Nice weather if you don't mind a radioactive tan. ,16,16,1,1,True
17,116,116,116,,,They got any holy wine around this joint? ,They got any holy wine around this joint? ,17,17,1,1,True
18,117,117,117,,,Screw the weather. I'm here to kill the Master. Where is that punk! ,Screw the weather. I'm here to kill the Master. Where is that punk! ,18,18,1,1,True
19,118,118,118,,,Yeah. Sunny. Sunny good. ,Yeah. Sunny. Sunny good. ,19,19,1,1,True
20,119,119,119,,,"Hello friend. It is good to see you. Put down your weapon, you are among friends here! ","Hello friend. It is good to see you. Put down your weapon, you are among friends here! ",20,20,1,1,True
21,120,120,120,,,"Sorry, it's been a tough week. So what can you tell me about this place? ","Sorry, it's been a tough week. So what can you tell me about this place? ",21,21,1,1,True
22,121,121,121,,,"Sorry, but I've learned to be cautious. Who's in charge here? ","Sorry, but I've learned to be cautious. Who's in charge here? ",22,22,1,1,True
23,122,122,122,,,"Friends, eh? That's odd, I've heard a lot of bad things about you. ","Friends, eh? That's odd, I've heard a lot of bad things about you. ",23,23,1,1,True
24,123,123,123,,,Nice to know I'm among friends here. What's up? ,Nice to know I'm among friends here. What's up? ,24,24,1,1,True
25,124,124,124,,,Friends? How friendly do you want to get.. ,Friends? How friendly do you want to get.. ,25,25,1,1,True
26,125,125,125,,,They got any holy wine around this joint? ,They got any holy wine around this joint? ,26,26,1,1,True
27,126,126,126,,,Weapon? ,Weapon? ,27,27,1,1,True
28,127,127,127,,,"Hello stranger. Forgive me, but you should not draw your weapon in the Cathedral. ","Hello stranger. Forgive me, but you should not draw your weapon in the Cathedral. ",28,28,1,1,True
29,128,128,128,,,I have brought my gun into the service of the Cathedral and its Master. Do you have a problem with this? ,I have brought my gun into the service of the Cathedral and its Master. Do you have a problem with this? ,29,29,1,1,True
30,129,129,129,,,Thanks. I'll be sure to remember that. ,Thanks. I'll be sure to remember that. ,30,30,1,1,True
31,130,130,130,,,Old habit. A lot of things have tried to kill me lately. What can you tell me about this place? ,Old habit. A lot of things have tried to kill me lately. What can you tell me about this place? ,31,31,1,1,True
32,131,131,131,,,They got any holy wine around this joint? ,They got any holy wine around this joint? ,32,32,1,1,True
33,132,132,132,,,Weapon? ,Weapon? ,33,33,1,1,True
34,133,133,133,,,"Hello stranger. If you have come here to be redeemed, you are welcome here, but I would suggest you put away your weapon. ","Hello stranger. If you have come here to be redeemed, you are welcome here, but I would suggest you put away your weapon. ",34,34,1,1,True
35,134,134,134,,,I have brought my gun into the service of the Cathedral and its Master. Do you have a problem with this? ,I have brought my gun into the service of the Cathedral and its Master. Do you have a problem with this? ,35,35,1,1,True
36,135,135,135,,,Sure. Redeemed. Sounds good. ,Sure. Redeemed. Sounds good. ,36,36,1,1,True
37,136,136,136,,,Old habit. A lot of things have tried to kill me lately. What can you tell me about this place? ,Old habit. A lot of things have tried to kill me lately. What can you tell me about this place? ,37,37,1,1,True
38,137,137,137,,,"Suggest anything you want, but if you want to keep breathing, you'll tell me what I want to know. ","Suggest anything you want, but if you want to keep breathing, you'll tell me what I want to know. ",38,38,1,1,True
39,138,138,138,,,"Redeem my ass, zombie. ","Redeem my ass, zombie. ",39,39,1,1,True
40,139,139,139,,,They got any holy wine around this joint? ,They got any holy wine around this joint? ,40,40,1,1,True
41,140,140,140,,,Weapon? ,Weapon? ,41,41,1,1,True
42,141,141,141,,,Hello friend! I'm so glad to see you've joined our cause! ,Hello friend! I'm so glad to see you've joined our cause! ,42,42,1,1,True
43,142,142,142,,,"I haven't yet, though I'm interested. Aside from this Peace and Unity stuff, what are you guys all about? ","I haven't yet, though I'm interested. Aside from this Peace and Unity stuff, what are you guys all about? ",43,43,1,1,True
