occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,I could do that.,I could do that.,1,1,1,1,True
2,101,101,101,,,That's easy.,That's easy.,2,2,1,1,True
3,102,102,102,,,Let me show you how it's done.,Let me show you how it's done.,3,3,1,1,True
4,103,103,103,,,Nice.,Nice.,4,4,1,1,True
5,104,104,104,,,"Ah, I see.","Ah, I see.",5,5,1,1,True
6,105,105,105,,,"Oh, not a bad move.","Oh, not a bad move.",6,6,1,1,True
7,106,106,106,,,So that's how it's done.,So that's how it's done.,7,7,1,1,True
8,107,107,107,,,I could never do that.,I could never do that.,8,8,1,1,True
9,108,108,108,,,Good form.,Good form.,9,9,1,1,True
10,109,109,109,,,Quite.,Quite.,10,10,1,1,True
11,110,110,110,,,Pay attention.,Pay attention.,11,11,1,1,True
12,111,111,111,,,Don't be rude.,Don't be rude.,12,12,1,1,True
13,112,112,112,,,Listen.,Listen.,13,13,1,1,True
14,113,113,113,,,Shhhh!,Shhhh!,14,14,1,1,True
15,114,114,114,,,Please move out of my way.,Please move out of my way.,15,15,1,1,True
16,115,115,115,,,Thank you.,Thank you.,16,16,1,1,True
