occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"You see Mrs. Stapleton, the librarian.","You see Mrs. Stapleton, the librarian.",1,1,1,1,True
2,101,101,101,,,You see a middle-aged woman.,You see a middle-aged woman.,2,2,1,1,True
3,102,102,102,,,"Hi, Welcome to the Library.  I don't think I have seen you around these parts before.   What might you be looking for in the way of knowledge?","Hi, Welcome to the Library.  I don't think I have seen you around these parts
 before.   What might you be looking for in the way of knowledge?",3,4,1,1,True
4,103,103,103,,,Good to see you again.  What might you be looking for today?,Good to see you again.  What might you be looking for today?,5,5,1,1,True
5,104,104,104,,,What do you have in the way of books?,What do you have in the way of books?,6,6,1,1,True
6,105,105,105,,,I am looking for a Water Chip.,I am looking for a Water Chip.,7,7,1,1,True
7,106,106,106,,,"Nothing, but thanks.","Nothing, but thanks.",8,8,1,1,True
8,107,107,107,,,"Well, let me show you my selection.","Well, let me show you my selection.",9,9,1,1,True
9,108,108,108,,,"Well, in my studies I have come across some references to such things.  Actually I have in my posession a Holodisk that contains a certain amount of information that you might find useful.","Well, in my studies I have come across some references to such things.  Actually
 I have in my posession a Holodisk that contains a certain amount of information that you
 might find useful.",10,12,1,1,True
10,109,109,109,,,"A Holodisk, what is that?","A Holodisk, what is that?",13,13,1,1,True
11,110,110,110,,,Can I have the Holodisk?,Can I have the Holodisk?,14,14,1,1,True
12,111,111,111,,,"A Holodisk contains information on it, but it can only be read by a certain number of electronic devices.  I see that you have a PIP Boy. You can use that to decode, review, and store the information that a Holodisk contains.","A Holodisk contains information on it, but it can only be read by a certain number
 of electronic devices.  I see that you have a PIP Boy. You can use that to decode, review,
 and store the information that a Holodisk contains.",15,17,1,1,True
13,112,112,112,,,Sounds great! Can I have the Holodisk?,Sounds great! Can I have the Holodisk?,18,18,1,1,True
14,113,113,113,,,Information is hard to come by in this day and age.  I will need to charge you 750 Hub Bucks for the disk.,"Information is hard to come by in this day and age.  I will need to charge you 750
 Hub Bucks for the disk.",19,20,1,1,True
15,114,114,114,,,Sounds good. Here's the money.,Sounds good. Here's the money.,21,21,1,1,True
16,115,115,115,,,Now that looks like a worn Holodisk if I've ever seen one.  I'll give you 500 for it.,"Now that looks like a worn Holodisk if I've ever seen one.  I'll give you 500 for
 it.",22,23,1,1,True
17,116,116,116,,,How about I take a blowtorch to this whole place instead! Huh lady?!,How about I take a blowtorch to this whole place instead! Huh lady?!,24,24,1,1,True
18,117,117,117,,,"Sorry, don't have the cash.","Sorry, don't have the cash.",25,25,1,1,True
19,118,118,118,,,I am sorry but I can only accept the full amount for the Holodisk.  Please return when you have that amount.,"I am sorry but I can only accept the full amount for the Holodisk.  Please return
 when you have that amount.",26,27,1,1,True
20,119,119,119,,,"I am sorry, but you wil need to keep your pyromaniacal tendencies to yourself. Please leave.","I am sorry, but you wil need to keep your pyromaniacal tendencies to yourself.
 Please leave.",28,29,1,1,True
21,120,120,120,,,[Mrs Stapleton takes your money.],[Mrs Stapleton takes your money.],30,30,1,1,True
22,121,121,121,,,"You are right, the Disk has seen better days.  Since that is the case, I will accept 500 instead of my original price. [Mrs Stapleton takes your money.]","You are right, the Disk has seen better days.  Since that is the case, I will
 accept 500 instead of my original price. [Mrs Stapleton takes your money.]",31,32,1,1,True
23,122,122,122,,,"Normally, I do not give in to such methods, but to protect my collection from such a threat I will give you the Disk.  In exchange, I would ask that you never return here.","Normally, I do not give in to such methods, but to protect my collection from such
 a threat I will give you the Disk.  In exchange, I would ask that you never return here.",33,34,1,1,True
24,123,123,123,,,"As I may have explained, you will need to use this and then access the information through your PIP Boy.  [Mrs. Stapleton hands you the Holodisk]","As I may have explained, you will need to use this and then access the information
 through your PIP Boy.  [Mrs. Stapleton hands you the Holodisk]",35,36,1,1,True
25,124,124,124,,,"You will have to excuse me, but I have research to do.","You will have to excuse me, but I have research to do.",37,37,1,1,True
26,125,125,125,,,Ruk?,Ruk?,38,38,1,1,True
27,126,126,126,,,"I'm sorry, I don't understand you.  Somewhere I have a Holodisk on learning the English language, if you're intersted.","I'm sorry, I don't understand you.  Somewhere I have a Holodisk on learning the English language, if you're intersted.",39,39,1,1,True
28,127,127,127,,,Goodbye.,Goodbye.,40,40,1,1,True
29,128,128,128,,,Thanks.,Thanks.,41,41,1,1,True
30,129,129,129,,,Ug.,Ug.,42,42,1,1,True
31,130,130,130,,,Do you have a set of Chemistry journals?  Miles in Adytum said you might.,Do you have a set of Chemistry journals?  Miles in Adytum said you might.,43,43,1,1,True
32,131,131,131,,,"Yes, I've heard from Miles and I have the ones he's looking for.  They will cost you 750 bucks.","Yes, I've heard from Miles and I have the ones he's looking for.  They will cost you 750 bucks.",44,44,1,1,True
33,132,132,132,,,"Here you are, sir.  Say hello to Miles for me.","Here you are, sir.  Say hello to Miles for me.",45,45,1,1,True
34,133,133,133,,,"I'm sorry, but you don't have enough money.  Please return when you have the money.","I'm sorry, but you don't have enough money.  Please return when you have the money.",46,46,1,1,True
