occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see Terry.,You see Terry.,1,1,1,1,True
2,101,101,101,,,"The water ration is passed out at night . . . Hey, you're not a ghoul!","The water ration is passed out at night . . . Hey, you're not
 a ghoul!",2,3,1,1,True
3,102,102,102,,,That's not important right now. What is important is the location of the boss.,"That's not important right now. What is important
 is the location of the boss.",4,5,1,1,True
4,103,103,103,,,"No, I'm not.","No, I'm not.",6,6,1,1,True
5,104,104,104,,,Ngh.,Ngh.,7,7,1,1,True
6,105,105,105,,,"I'll take you to him. Here, let me give you a hand.","I'll take you to him. Here, let me give you a hand.",8,8,1,1,True
7,106,106,106,,,"I'd better take you to Harry, he'll know what to do with you.","I'd better take you to Harry, he'll know what to do with you.",9,9,1,1,True
8,107,107,107,,,"Hey, no talking! It disturbs my thinking.","Hey, no talking! It disturbs my thinking.",10,10,1,1,True
9,108,108,108,,,What time of night is it?,What time of night is it?,11,11,1,1,True
10,109,109,109,,,The mutant ignores you.,The mutant ignores you.,12,12,1,1,True
11,1000,1000,1000,,,Chip,Chip,14,14,1,1,True
12,1001,1001,1001,,,Necropolis,Necropolis,15,15,1,1,True
13,1002,1002,1002,,,Set,Set,16,16,1,1,True
14,1003,1003,1003,,,Watershed,Watershed,17,17,1,1,True
15,1004,1004,1004,,,Hall,Hall,18,18,1,1,True
16,1005,1005,1005,,,Lou,Lou,19,19,1,1,True
17,1006,1006,1006,,,Ghouls,Ghouls,20,20,1,1,True
18,1007,1007,1007,,,Normals,Normals,21,21,1,1,True
19,1100,1100,1100,,,I dunno.,I dunno.,23,23,1,1,True
20,1101,1101,1101,,,Yer standin in it.,Yer standin in it.,24,24,1,1,True
21,1102,1102,1102,,,He's a wus. We should just wipe out him and his ghouls.,He's a wus. We should just wipe out him and his ghouls.,25,25,1,1,True
22,1103,1103,1103,,,That's here.,That's here.,26,26,1,1,True
23,1104,1104,1104,,,I dunno.,I dunno.,27,27,1,1,True
24,1105,1105,1105,,,He Harry's boss.,He Harry's boss.,28,28,1,1,True
25,1106,1106,1106,,,Wimpy things.,Wimpy things.,29,29,1,1,True
26,1107,1107,1107,,,Wimpier than ghouls.,Wimpier than ghouls.,30,30,1,1,True
