occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see one of Shady Sands' guards.,You see one of Shady Sands' guards.,1,1,1,1,True
2,101,101,101,,,"Hey, I think you'd better be leaving. We don't want your kind here.","Hey, I think you'd better be leaving.
 We don't want your kind here.",2,3,1,1,True
3,102,102,102,,,I can't believe that Tandi has disappeared. I hope you are going to find her. It would really hurt Aradesh if something bad happened to her.,"I can't believe that Tandi has disappeared. I hope you are
 going to find her. It would really hurt Aradesh if something bad happened to her.",4,5,1,1,True
4,103,103,103,,,"Thanks for returning Tandi. It's a good sign for the future, don't you think?","Thanks for returning Tandi. It's a good sign for the
 future, don't you think?",6,7,1,1,True
5,104,104,104,,,That's a damn shame about Tandi. I hope Aradesh will be ok.,That's a damn shame about Tandi. I hope Aradesh will be ok.,8,8,1,1,True
6,105,105,105,,,"Welcome, stranger. We don't see your kind often.","Welcome, stranger. We don't see your kind often.",9,9,1,1,True
7,106,106,106,,,"Uh, thanks. Bye.","Uh, thanks. Bye.",10,10,1,1,True
8,107,107,107,,,Why not?,Why not?,11,11,1,1,True
9,108,108,108,,,Hnnng!,Hnnng!,12,12,1,1,True
10,109,109,109,,,"Not so fast! This is a small community. We don't see strangers often, and we don't really need them if you get my meaning. If you don't have a good reason to be here, you'd better just keep moving.","Not so fast! This is a small community. We don't see strangers often, and
 we don't really need them if you get my meaning. If you don't have a good
 reason to be here, you'd better just keep moving.",13,15,1,1,True
11,110,110,110,,,"Hey, I ain't gonna hurt anybody.","Hey, I ain't gonna hurt anybody.",16,16,1,1,True
12,111,111,111,,,Uh.,Uh.,17,17,1,1,True
13,112,112,112,,,I wasn't saying that you was gonna. You'd just better leave us alone.,I wasn't saying that you was gonna. You'd just better leave us alone.,18,18,1,1,True
14,113,113,113,,,I'll try not to make trouble.,I'll try not to make trouble.,19,19,1,1,True
15,114,114,114,,,I'm sick and tired of your trash. Prepare to meet your maker.,I'm sick and tired of your trash. Prepare to meet your maker.,20,20,1,1,True
16,115,115,115,,,"Look, Shady Sands don't need your kind from the Hub, or Junktown, or wherever you come from. We do pretty good by ourselves.","Look, Shady Sands don't need your kind from the Hub,
 or Junktown, or wherever you come from. We do pretty good
 by ourselves.",21,23,1,1,True
17,116,116,116,,,The last trader from the Hub sold us a malfunctioning irrigation pump. We've had it with your dirty deals.,"The last trader from the Hub sold us a malfunctioning
 irrigation pump. We've had it with your dirty deals.",24,25,1,1,True
18,117,117,117,,,You got it all wrong. I'm not like that.,You got it all wrong. I'm not like that.,26,26,1,1,True
19,118,118,118,,,"Yeah, right. So you say. Just don't get into any trouble, Ok?","Yeah, right. So you say. Just don't get into any trouble, Ok?",27,27,1,1,True
20,119,119,119,,,No problem.,No problem.,28,28,1,1,True
21,120,120,120,,,"Yeah, whatever.","Yeah, whatever.",29,29,1,1,True
22,121,121,121,,,"Well, maybe you aren't. You do seem a little different to me. I'll tell you what. You should go talk to Aradesh. He is in the center of town.","Well, maybe you aren't. You do seem a little different to me.
 I'll tell you what. You should go talk to Aradesh.
 He is in the center of town.",30,32,1,1,True
23,122,122,122,,,We don't want your kind here. Go back to wherever you came from.,We don't want your kind here. Go back to wherever you came from.,33,33,1,1,True
24,123,123,123,,,"Hey, no need for weapons. We don't look too kindly on those around here.","Hey, no need for weapons. We don't look too kindly
 on those around here.",34,35,1,1,True
25,124,124,124,,,"Hey, you didn't turn out to be such a bad person after all. Have a nice day.","Hey, you didn't turn out to be such a bad person after all.
 Have a nice day.",36,37,1,1,True
26,125,125,125,,,I really wish you would just leave town.,I really wish you would just leave town.,38,38,1,1,True
27,126,126,126,,,[MORE],[MORE],39,39,1,1,True
