occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a Member of the Children of the Cathedral.,You see a Member of the Children of the Cathedral.,1,1,1,1,True
2,101,101,101,,,I do not speak with heathen souls such as yourself.,I do not speak with heathen souls such as yourself.,2,2,1,1,True
3,102,102,102,,,"Your report, VanHagan.","Your report, VanHagan.",3,3,1,1,True
4,103,103,103,,,"The Master is pleased with your progress, but his need is great and time is limited.","The Master is pleased with your progress, but his
 need is great and time is limited.",4,5,1,1,True
5,104,104,104,,,The Master should know that raw material is limited. We cannot create our soldiers without more stock.,"The Master should know that raw material is limited.
 We cannot create our soldiers without more stock.",6,7,1,1,True
6,105,105,105,,,"He is aware of your problems. He is working on it, as we speak.","He is aware of your problems. He is working on it,
 as we speak.",8,9,1,1,True
7,106,106,106,,,"Tell me of his plans. We will need to coordinate activities, if the Unity is to succeed.","Tell me of his plans. We will need to coordinate
 activities, if the Unity is to succeed.",10,11,1,1,True
8,107,107,107,,,"The Master has become aware of an undiscovered, and living, Vault. With that much raw material, we can create a great force. According to the prediction software, it will be the numbers we need to succeed.","The Master has become aware of an undiscovered, and
 living, Vault. With that much raw material, we can
 create a great force. According to the prediction
 software, it will be the numbers we need to succeed.",12,15,1,1,True
9,108,108,108,,,Excellent. This is most fortuitous. Are the inhabitants contaminated?,"Excellent. This is most fortuitous. Are the inhabitants
 contaminated?",16,17,1,1,True
10,109,109,109,,,"Oh, this is the best part. If their representative is any example, they are clean. Pure-strain.","Oh, this is the best part. If their representative is
 any example, they are clean. Pure-strain.",18,19,1,1,True
11,110,110,110,,,"Oh, this is most exciting. What Vault is it that we plunder?","Oh, this is most exciting. What Vault is it that we
 plunder?",20,21,1,1,True
12,111,111,111,,,Vault-13. And we shall have them soon. Very soon.,Vault-13. And we shall have them soon. Very soon.,22,22,1,1,True
13,112,112,112,,,You gain 1000 experience points for overhearing the whole conversation about your Vault.,"You gain 1000 experience points for overhearing the whole conversation
 about your Vault.",23,24,1,1,True
