occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see Vinnie from the Skulz gang.,You see Vinnie from the Skulz gang.,6,6,1,1,True
2,101,101,101,,,You see a young man with a tattoo and a bad attitude.,You see a young man with a tattoo and a bad attitude.,7,7,1,1,True
3,102,102,102,,,I'd like to join you guys.,I'd like to join you guys.,8,8,1,1,True
4,103,103,103,,,"You're on Skulz turf, stranger. You'd better talk quick.","You're on Skulz turf, stranger. You'd better talk quick.",9,9,1,1,True
5,104,104,104,,,"Sorry, wrong room.","Sorry, wrong room.",10,10,1,1,True
6,105,105,105,,,Skulz? Who are you guys?,Skulz? Who are you guys?,11,11,1,1,True
7,106,106,106,,,Urgh?,Urgh?,12,12,1,1,True
8,107,107,107,,,"Yeah, you bet this is the wrong room!","Yeah, you bet this is the wrong room!",13,13,1,1,True
9,108,108,108,,,"We are the one and only Junktown gang. We have the run of the streets, and we rule the city at night.","We are the one and only Junktown gang. We have the run of the streets,
 and we rule the city at night.",14,15,1,1,True
10,109,109,109,,,Oh. Sorry. Bye.,Oh. Sorry. Bye.,16,16,1,1,True
11,110,110,110,,,"You couldn't run the schoolyard, Chromo.","You couldn't run the schoolyard, Chromo.",17,17,1,1,True
12,111,111,111,,,I thought this city was run by Gizmo after hours.,I thought this city was run by Gizmo after hours.,18,18,1,1,True
13,112,112,112,,,"Get out of here, you moron!","Get out of here, you moron!",19,19,1,1,True
14,113,113,113,,,That slob can't even stand up by himself. We're the muscle in this town. We take what we want.,"That slob can't even stand up by himself. We're the muscle in this town.
 We take what we want.",20,21,1,1,True
15,114,114,114,,,I see.,I see.,22,22,1,1,True
16,115,115,115,,,You have some sort of deal with Killian?,You have some sort of deal with Killian?,23,23,1,1,True
17,116,116,116,,,What?! You'll pay for that remark!,What?! You'll pay for that remark!,24,24,1,1,True
18,117,117,117,,,We don't bother Killian and he doesn't bother us as long as we keep it low-key. You get me?,"We don't bother Killian and he doesn't bother us as long as we keep it
 low-key. You get me?",25,26,1,1,True
19,118,118,118,,,Yeah. Bye.,Yeah. Bye.,27,27,1,1,True
20,119,119,119,,,"I get it, all right. You have to hide out from him.","I get it, all right. You have to hide out from him.",28,28,1,1,True
21,120,120,120,,,"We don't take that from anybody, least of all Killian! Just because he thinks he's a glorified sheriff doesn't mean that he controls the Skulz!","We don't take that from anybody, least of all Killian! Just because
 he thinks he's a glorified sheriff doesn't mean that he controls the Skulz!",29,30,1,1,True
22,121,121,121,,,"Sorry, didn't mean to get you all riled up.","Sorry, didn't mean to get you all riled up.",31,31,1,1,True
23,122,122,122,,,"So, he cramps your style, eh? Mine, too. In fact, I'm thinking of whacking him. You want in?","So, he cramps your style, eh? Mine, too. In fact, I'm thinking of
 whacking him. You want in?",32,33,1,1,True
24,123,123,123,,,"You want to whack Killian? Man, you're crazy. Man, I don't know . . . all right, I'm in.","You want to whack Killian? Man, you're crazy. Man, I don't know . . .
 all right, I'm in.",34,35,1,1,True
25,124,124,124,,,"You loser, you said we were going to whack Killian. Get out of here.","You loser, you said we were going to whack Killian. Get out of here.",36,36,1,1,True
26,125,125,125,,,"C'mon, let's dust Killian.","C'mon, let's dust Killian.",37,37,1,1,True
27,126,126,126,,,What do you want now?,What do you want now?,38,38,1,1,True
28,127,127,127,,,Nothing. Sorry.,Nothing. Sorry.,39,39,1,1,True
