occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,This isn't right at all.,This isn't right at all.,1,1,1,1,True
2,101,101,101,,,There we go.,There we go.,2,2,1,1,True
3,102,102,102,,,The firing mechanism keeps jamming.,The firing mechanism keeps jamming.,3,3,1,1,True
4,103,103,103,,,That's much better.,That's much better.,4,4,1,1,True
5,104,104,104,,,Almost got it.,Almost got it.,5,5,1,1,True
6,105,105,105,,,This is going to take a while.,This is going to take a while.,6,6,1,1,True
7,106,106,106,,,That's the problem!,That's the problem!,7,7,1,1,True
8,107,107,107,,,"John, I think I isolated the problem.","John, I think I isolated the problem.",8,8,1,1,True
9,108,108,108,,,Damn!,Damn!,9,9,1,1,True
10,109,109,109,,,Darn!,Darn!,10,10,1,1,True
11,110,110,110,,,My fault!,My fault!,11,11,1,1,True
12,111,111,111,,,I'm okay.,I'm okay.,12,12,1,1,True
13,112,112,112,,,"Okay, that hurt.","Okay, that hurt.",13,13,1,1,True
14,113,113,113,,,I meant to do that.,I meant to do that.,14,14,1,1,True
15,114,114,114,,,Why does that keep happening?,Why does that keep happening?,15,15,1,1,True
16,115,115,115,,,My eyes!,My eyes!,16,16,1,1,True
17,116,116,116,,,You're not a knight.,You're not a knight.,17,17,1,1,True
18,117,117,117,,,I need to talk to a knight.,I need to talk to a knight.,18,18,1,1,True
19,118,118,118,,,"I don't understand, the power cells keep shorting out.","I don't understand, the power cells keep shorting out.",19,19,1,1,True
20,119,119,119,,,You should stand back these can be dangerous.,You should stand back these can be dangerous.,20,20,1,1,True
21,120,120,120,,,Please don't distract me.,Please don't distract me.,21,21,1,1,True
22,121,121,121,,,Watch where you're standing.,Watch where you're standing.,22,22,1,1,True
23,122,122,122,,,You lost?,You lost?,23,23,1,1,True
24,123,123,123,,,"Sorry, I can't talk right now.","Sorry, I can't talk right now.",24,24,1,1,True
