occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Rocket,Rocket,1,1,1,1,True
2,200,200,200,,,Plasma Ball,Plasma Ball,2,2,1,1,True
3,300,300,300,,,Explosion,Explosion,3,3,1,1,True
4,400,400,400,,,Blood,Blood,4,4,1,1,True
5,500,500,500,,,No-Trans hex,No-Trans hex,5,5,1,1,True
6,501,501,501,,,,,6,6,1,1,True
7,600,600,600,,,knife,knife,7,7,1,1,True
8,700,700,700,,,spear,spear,8,8,1,1,True
9,800,800,800,,,EMP Explosion,EMP Explosion,9,9,1,1,True
10,900,900,900,,,Laser Blast,Laser Blast,10,10,1,1,True
11,1000,1000,1000,,,Plasma Blast,Plasma Blast,11,11,1,1,True
12,1100,1100,1100,,,Explosion,Explosion,12,12,1,1,True
13,1200,1200,1200,,,Scroll Blocker,Scroll Blocker,13,13,1,1,True
14,1300,1300,1300,,,Electricity Bolt,Electricity Bolt,14,14,1,1,True
15,1400,1400,1400,,,Explosion,Explosion,15,15,1,1,True
16,1500,1500,1500,,,Explosion,Explosion,16,16,1,1,True
17,1600,1600,1600,,,Exit Grid,Exit Grid,17,17,1,1,True
18,1700,1700,1700,,,Exit Grid,Exit Grid,18,18,1,1,True
19,1800,1800,1800,,,Exit Grid,Exit Grid,19,19,1,1,True
20,1900,1900,1900,,,Exit Grid,Exit Grid,20,20,1,1,True
21,2000,2000,2000,,,Exit Grid,Exit Grid,21,21,1,1,True
22,2100,2100,2100,,,Exit Grid,Exit Grid,22,22,1,1,True
23,2200,2200,2200,,,Exit Grid,Exit Grid,23,23,1,1,True
24,2300,2300,2300,,,Exit Grid,Exit Grid,24,24,1,1,True
25,2400,2400,2400,,,Flare,Flare,25,25,1,1,True
26,2500,2500,2500,,,Grenade,Grenade,26,26,1,1,True
27,2600,2600,2600,,,Rock,Rock,27,27,1,1,True
28,2700,2700,2700,,,Explosion,Explosion,28,28,1,1,True
29,2800,2800,2800,,,Explosion,Explosion,29,29,1,1,True
30,2900,2900,2900,,,Explosion,Explosion,30,30,1,1,True
31,3000,3000,3000,,,Molotov Cocktail,Molotov Cocktail,31,31,1,1,True
32,3100,3100,3100,,,Exit Grid,Exit Grid,32,32,1,1,True
33,3200,3200,3200,,,Exit Grid,Exit Grid,33,33,1,1,True
34,3300,3300,3300,,,Exit Grid,Exit Grid,34,34,1,1,True
35,3400,3400,3400,,,Exit Grid,Exit Grid,35,35,1,1,True
36,3500,3500,3500,,,Exit Grid,Exit Grid,36,36,1,1,True
37,3600,3600,3600,,,Exit Grid,Exit Grid,37,37,1,1,True
38,3700,3700,3700,,,Exit Grid,Exit Grid,38,38,1,1,True
39,3800,3800,3800,,,Exit Grid,Exit Grid,39,39,1,1,True
40,3900,3900,3900,,,Exit Grid,Exit Grid,40,40,1,1,True
41,4000,4000,4000,,,Exit Grid,Exit Grid,41,41,1,1,True
42,4100,4100,4100,,,Exit Grid,Exit Grid,42,42,1,1,True
43,4200,4200,4200,,,Exit Grid,Exit Grid,43,43,1,1,True
44,4300,4300,4300,,,Exit Grid,Exit Grid,44,44,1,1,True
45,4400,4400,4400,,,Exit Grid,Exit Grid,45,45,1,1,True
46,4500,4500,4500,,,Exit Grid,Exit Grid,46,46,1,1,True
47,4600,4600,4600,,,Exit Grid,Exit Grid,47,47,1,1,True
