occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Strength,Strength,7,7,1,1,True
2,101,101,101,,,Perception,Perception,8,8,1,1,True
3,102,102,102,,,Endurance,Endurance,9,9,1,1,True
4,103,103,103,,,Charisma,Charisma,10,10,1,1,True
5,104,104,104,,,Intelligence,Intelligence,11,11,1,1,True
6,105,105,105,,,Agility,Agility,12,12,1,1,True
7,106,106,106,,,Luck,Luck,13,13,1,1,True
8,107,107,107,,,Maximum Hit Points,Maximum Hit Points,14,14,1,1,True
9,108,108,108,,,Maximum Action Points,Maximum Action Points,15,15,1,1,True
10,109,109,109,,,Armor Class,Armor Class,16,16,1,1,True
11,110,110,110,,,Unarmed Damage,Unarmed Damage,17,17,1,1,True
12,111,111,111,,,Melee Damage,Melee Damage,18,18,1,1,True
13,112,112,112,,,Carry Weight,Carry Weight,19,19,1,1,True
14,113,113,113,,,Sequence,Sequence,20,20,1,1,True
15,114,114,114,,,Healing Rate,Healing Rate,21,21,1,1,True
16,115,115,115,,,Critical Chance,Critical Chance,22,22,1,1,True
17,116,116,116,,,Better Criticals,Better Criticals,23,23,1,1,True
18,117,117,117,,,Damage Threshold,Damage Threshold,24,24,1,1,True
19,118,118,118,,,Damage Threshold Laser,Damage Threshold Laser,25,25,1,1,True
20,119,119,119,,,Damage Threshold Fire,Damage Threshold Fire,26,26,1,1,True
21,120,120,120,,,Damage Threshold Plasma,Damage Threshold Plasma,27,27,1,1,True
22,121,121,121,,,Damage Threshold Electrical,Damage Threshold Electrical,28,28,1,1,True
23,122,122,122,,,Damage Threshold EMP,Damage Threshold EMP,29,29,1,1,True
24,123,123,123,,,Damage Threshold Explosion,Damage Threshold Explosion,30,30,1,1,True
25,124,124,124,,,Damage Resistance,Damage Resistance,31,31,1,1,True
26,125,125,125,,,Damage Resistance Laser,Damage Resistance Laser,32,32,1,1,True
27,126,126,126,,,Damage Resistance Fire,Damage Resistance Fire,33,33,1,1,True
28,127,127,127,,,Damage Resistance Plasma,Damage Resistance Plasma,34,34,1,1,True
29,128,128,128,,,Damage Resistance Electrical,Damage Resistance Electrical,35,35,1,1,True
30,129,129,129,,,Damage Resistance EMP,Damage Resistance EMP,36,36,1,1,True
31,130,130,130,,,Damage Resistance Explosion,Damage Resistance Explosion,37,37,1,1,True
32,131,131,131,,,Radiation Resistance,Radiation Resistance,38,38,1,1,True
33,132,132,132,,,Poison Resistance,Poison Resistance,39,39,1,1,True
34,133,133,133,,,Age,Age,40,40,1,1,True
35,134,134,134,,,Gender,Gender,41,41,1,1,True
36,135,135,135,,,Current Hit Points,Current Hit Points,42,42,1,1,True
37,136,136,136,,,Current Poison Level,Current Poison Level,43,43,1,1,True
38,137,137,137,,,Current Radiation Level,Current Radiation Level,44,44,1,1,True
39,200,200,200,,,"Raw physical strength. A high Strength is good for physical characters. Modifies: Hit Points, Melee Damage, and Carry Weight.","Raw physical strength. A high Strength is good for physical characters. Modifies: Hit Points, Melee Damage, and Carry Weight.",51,51,1,1,True
40,201,201,201,,,"The ability to see, hear, taste and notice unusual things. A high Perception is important for a sharpshooter.  Modifies: Sequence and ranged combat distance modifiers.","The ability to see, hear, taste and notice unusual things. A high Perception is important for a sharpshooter.  Modifies: Sequence and ranged combat distance modifiers.",53,53,1,1,True
41,202,202,202,,,"Stamina and physical toughness. A character with a high Endurance will survive where others may not. Modifies: Hit Points, Poison & Radiation Resistance, Healing Rate, and the additional hit points per level.","Stamina and physical toughness. A character with a high Endurance will survive where others may not. Modifies: Hit Points, Poison & Radiation Resistance, Healing Rate, and the additional hit points per level.",55,55,1,1,True
42,203,203,203,,,"A combination of appearance and charm. A high Charisma is important for characters that want to influence people with words. Modifies: NPC reactions, and barter prices.","A combination of appearance and charm. A high Charisma is important for characters that want to influence people with words. Modifies: NPC reactions, and barter prices.",57,57,1,1,True
43,204,204,204,,,"Knowledge, wisdom and the ability to think quickly. A high Intelligence is important for any character. Modifies: the number of new skill points per level, dialogue options, and many skills.","Knowledge, wisdom and the ability to think quickly. A high Intelligence is important for any character. Modifies: the number of new skill points per level, dialogue options, and many skills.",59,59,1,1,True
44,205,205,205,,,"Coordination and the ability to move well. A high Agility is important for any active character. Modifies: Action Points, Armor Class, Sequence, and many skills.","Coordination and the ability to move well. A high Agility is important for any active character. Modifies: Action Points, Armor Class, Sequence, and many skills.",61,61,1,1,True
45,206,206,206,,,Fate. Karma. An extremely high or low Luck will affect the character - somehow. Events and situations will be changed by how lucky (or unlucky) your character is.,Fate. Karma. An extremely high or low Luck will affect the character - somehow. Events and situations will be changed by how lucky (or unlucky) your character is.,63,63,1,1,True
46,207,207,207,,,"How much damage your character can take before dying.  If you reach 0 HP or less, you are dead.","How much damage your character can take before dying.  If you reach 0 HP or less, you are dead.",68,68,1,1,True
47,208,208,208,,,The number of actions that the character can take during one combat turn.,The number of actions that the character can take during one combat turn.,70,70,1,1,True
48,209,209,209,,,Modifies the chance to hit this particular character.,Modifies the chance to hit this particular character.,72,72,1,1,True
49,210,210,210,,,The amount of bonus damage your character does in hand-to-hand combat.,The amount of bonus damage your character does in hand-to-hand combat.,74,74,1,1,True
50,211,211,211,,,The amount of bonus damage your character does in hand-to-hand combat.,The amount of bonus damage your character does in hand-to-hand combat.,75,75,1,1,True
51,212,212,212,,,"The maximum amount of equipment your character can carry, in pounds.","The maximum amount of equipment your character can carry, in pounds.",77,77,1,1,True
52,213,213,213,,,Determines how soon in a combat turn your character can react.,Determines how soon in a combat turn your character can react.,79,79,1,1,True
53,214,214,214,,,"At the end of each day, your character will heal 1 HP for each point of Healing Rate.  When you rest, you heal every six hours.","At the end of each day, your character will heal 1 HP for each point of Healing Rate.  When you rest, you heal every six hours.",81,81,1,1,True
54,215,215,215,,,The chance to cause a critical hit in combat is increased by this amount.,The chance to cause a critical hit in combat is increased by this amount.,83,83,1,1,True
55,216,216,216,,,Better Criticals,Better Criticals,84,84,1,1,True
56,217,217,217,,,Damage Threshold,Damage Threshold,85,85,1,1,True
57,218,218,218,,,Damage Threshold Laser,Damage Threshold Laser,86,86,1,1,True
58,219,219,219,,,Damage Threshold Fire,Damage Threshold Fire,87,87,1,1,True
59,220,220,220,,,Damage Threshold Plasma,Damage Threshold Plasma,88,88,1,1,True
60,221,221,221,,,Damage Threshold Electrical,Damage Threshold Electrical,89,89,1,1,True
61,222,222,222,,,Damage Threshold EMP,Damage Threshold EMP,90,90,1,1,True
