occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,200,200,200,,,Cavern Entrance,Cavern Entrance,17,17,1,1,True
2,201,201,201,,,Entrance,Entrance,18,18,1,1,True
3,202,202,202,,,Living Quarters,Living Quarters,19,19,1,1,True
4,203,203,203,,,Command Center,Command Center,20,20,1,1,True
5,210,210,210,,,Desert Entrance,Desert Entrance,23,23,1,1,True
6,211,211,211,,,Caverns/Entrance,Caverns/Entrance,24,24,1,1,True
7,212,212,212,,,Living Quarters,Living Quarters,25,25,1,1,True
8,213,213,213,,,Command Center,Command Center,26,26,1,1,True
9,220,220,220,,,Entrance,Entrance,29,29,1,1,True
10,221,221,221,,,Garden,Garden,30,30,1,1,True
11,222,222,222,,,Brahmin Pen,Brahmin Pen,31,31,1,1,True
12,230,230,230,,,Entrance,Entrance,34,34,1,1,True
13,231,231,231,,,Crash House,Crash House,35,35,1,1,True
14,232,232,232,,,Casino,Casino,36,36,1,1,True
15,240,240,240,,,Base,Base,39,39,1,1,True
16,250,250,250,,,Hotel,Hotel,42,42,1,1,True
17,251,251,251,,,Hall,Hall,43,43,1,1,True
18,252,252,252,,,Watershed,Watershed,44,44,1,1,True
19,260,260,260,,,Entrance,Entrance,47,47,1,1,True
20,261,261,261,,,Downtown,Downtown,48,48,1,1,True
21,262,262,262,,,Heights,Heights,49,49,1,1,True
22,263,263,263,,,Old Town,Old Town,50,50,1,1,True
23,264,264,264,,,Merchants,Merchants,51,51,1,1,True
24,265,265,265,,,Cave,Cave,52,52,1,1,True
25,270,270,270,,,Entrance,Entrance,55,55,1,1,True
26,271,271,271,,,Level 1,Level 1,56,56,1,1,True
27,272,272,272,,,Level 2,Level 2,57,57,1,1,True
28,273,273,273,,,Level 3,Level 3,58,58,1,1,True
29,274,274,274,,,Level 4,Level 4,59,59,1,1,True
30,280,280,280,,,Entrance,Entrance,62,62,1,1,True
31,281,281,281,,,Stronghold Level 1,Stronghold Level 1,63,63,1,1,True
32,282,282,282,,,Stronghold Level 2,Stronghold Level 2,64,64,1,1,True
33,283,283,283,,,Vats Level 1,Vats Level 1,65,65,1,1,True
34,284,284,284,,,Vats Level 2,Vats Level 2,66,66,1,1,True
35,290,290,290,,,Crater,Crater,69,69,1,1,True
36,291,291,291,,,Level 1,Level 1,70,70,1,1,True
37,300,300,300,,,Adytum,Adytum,73,73,1,1,True
38,301,301,301,,,Downtown,Downtown,74,74,1,1,True
39,302,302,302,,,Library,Library,75,75,1,1,True
40,303,303,303,,,Fortress,Fortress,76,76,1,1,True
41,304,304,304,,,Warehouse,Warehouse,77,77,1,1,True
42,310,310,310,,,Entrance,Entrance,80,80,1,1,True
43,311,311,311,,,Interior,Interior,81,81,1,1,True
44,500,500,500,,,"You gained 10,000 experience points!","You gained 10,000 experience points!",84,84,1,1,True
45,501,501,501,,,Ruins,Ruins,85,85,1,1,True
46,1000,1000,1000,,,Desert,Desert,90,90,1,1,True
47,1001,1001,1001,,,Mountains,Mountains,91,91,1,1,True
48,1002,1002,1002,,,City,City,92,92,1,1,True
49,1003,1003,1003,,,Coast,Coast,93,93,1,1,True
50,1004,1004,1004,,,Unknown,Unknown,94,94,1,1,True
