occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici un habitant du Sanctuaire.,Voici un habitant du Sanctuaire.,1,1,1,1,True
2,101,101,101,,,Le temps est à la pluie... comme toujours.,Le temps est à la pluie... comme toujours.,2,2,1,1,True
3,102,102,102,,,"Malheureusement, je dois partir. J'ai du boulot.","Malheureusement, je dois partir. J'ai du boulot.",3,3,1,1,True
4,103,103,103,,,On ne voit pas beaucoup d'étrangers ici.,On ne voit pas beaucoup d'étrangers ici.,4,4,1,1,True
5,104,104,104,,,Faut que je retourne au boulot.,Faut que je retourne au boulot.,5,5,1,1,True
6,105,105,105,,,"A ta place, je retournerais au Centre.","A ta place, je retournerais au Centre.",6,6,1,1,True
7,106,106,106,,,"Bonne journée... enfin, si on peut dire.","Bonne journée... enfin, si on peut dire.",7,7,1,1,True
8,107,107,107,,,Ouais... peu importe.,Ouais... peu importe.,8,8,1,1,True
9,108,108,108,,,Pas le temps de discuter.,Pas le temps de discuter.,9,9,1,1,True
10,109,109,109,,,Je ne peux pas parler maintenant.,Je ne peux pas parler maintenant.,10,10,1,1,True
11,110,110,110,,,J'espère que la pluie n'est pas phosphorescente comme hier.,J'espère que la pluie n'est pas phosphorescente comme hier.,11,11,1,1,True
12,111,111,111,,,On dirait qu'on va encore manquer de nourriture.,On dirait qu'on va encore manquer de nourriture.,12,12,1,1,True
13,112,112,112,,,J'espère que les caravanes repasseront bientôt par ici.,J'espère que les caravanes repasseront bientôt par ici.,13,13,1,1,True
14,113,113,113,,,C'est le moment ou jamais.,C'est le moment ou jamais.,14,14,1,1,True
15,114,114,114,,,Nous ferons du Sanctuaire ce que nous voulons.,Nous ferons du Sanctuaire ce que nous voulons.,15,15,1,1,True
16,115,115,115,,,Merci de ton aide.,Merci de ton aide.,16,16,1,1,True
17,116,116,116,,,Merci de nous débarrasser des Régulateurs.,Merci de nous débarrasser des Régulateurs.,17,17,1,1,True
18,117,117,117,,,Tu nous as sauvés!,Tu nous as sauvés!,18,18,1,1,True
19,118,118,118,,,C'est une bonne chose que les Régulateurs soient plus là.,C'est une bonne chose que les Régulateurs soient plus là.,19,19,1,1,True
20,119,119,119,,,Bienvenue au Nouveau Sanctuaire.,Bienvenue au Nouveau Sanctuaire.,20,20,1,1,True
