occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici un super mutant. Il garde la porte du sas.,Voici un super mutant. Il garde la porte du sas.,1,1,1,1,True
2,101,101,101,,,Voici un garde super mutant.,Voici un garde super mutant.,2,2,1,1,True
3,102,102,102,,,"Jérémie, tu peux passer.","Jérémie, tu peux passer.",3,3,1,1,True
4,103,103,103,,,Circulez.,Circulez.,4,4,1,1,True
5,104,104,104,,,"Plus vite, messager.","Plus vite, messager.",5,5,1,1,True
6,105,105,105,,,Les Normaux n'ont pas le droit de porter d'armes ici! Halte-là! Décline ton identité!,Les Normaux n'ont pas le droit de porter d'armes ici! Halte-là! Décline ton identité!,6,6,1,1,True
7,106,106,106,,,Grrr!,Grrr!,7,7,1,1,True
8,107,107,107,,,"Euh, je m'excuse. D'accord, je la range.","Euh, je m'excuse. D'accord, je la range.",8,8,1,1,True
9,108,108,108,,,Je ne fais que passer. Pas besoin d'identité.,Je ne fais que passer. Pas besoin d'identité.,9,9,1,1,True
10,109,109,109,,,Crève! Crève! Crève! Ça fait longtemps que j'avais ça sur le coeur.,Crève! Crève! Crève! Ça fait longtemps que j'avais ça sur le coeur.,10,10,1,1,True
11,110,110,110,,,On ne me parle pas sur ce ton. Tu vas me le payer.,On ne me parle pas sur ce ton. Tu vas me le payer.,11,11,1,1,True
12,111,111,111,,,Halte-là! Qu'est-ce que tu fabriques ici?,Halte-là! Qu'est-ce que tu fabriques ici?,12,12,1,1,True
13,112,112,112,,,Hng!,Hng!,13,13,1,1,True
14,113,113,113,,,"Je, euh... des trucs.","Je, euh... des trucs.",14,14,1,1,True
15,114,114,114,,,J'ai un truc important à faire. Tu n'as aucun droit de m'arrêter ni de m'interroger.,J'ai un truc important à faire. Tu n'as aucun droit de m'arrêter ni de m'interroger.,15,15,1,1,True
16,115,115,115,,,"Tais-toi, mon grand.","Tais-toi, mon grand.",16,16,1,1,True
17,116,116,116,,,"Ta réponse ne me satisfait pas complètement. Je veux une réponse brève et concise, sinon je vais penser que tu me caches quelque chose. Je te garantis que tu ne vas pas apprécier...","Ta réponse ne me satisfait pas complètement. Je veux une réponse brève et concise, sinon je vais penser que tu me caches quelque chose. Je te garantis que tu ne vas pas apprécier...",17,17,1,1,True
18,117,117,117,,,"Euh, non, vraiment, c'est vrai, j'ai des trucs à faire.","Euh, non, vraiment, c'est vrai, j'ai des trucs à faire.",18,18,1,1,True
19,118,118,118,,,J'apporte un message pour notre chef.,J'apporte un message pour notre chef.,19,19,1,1,True
20,119,119,119,,,"C'est vrai, ce mensonge? Ne compte pas sur moi pour te laisser entrer...","C'est vrai, ce mensonge? Ne compte pas sur moi pour te laisser entrer...",20,20,1,1,True
21,120,120,120,,,"Tu peux passer. Mais la prochaine fois, respecte la procédure normale...","Tu peux passer. Mais la prochaine fois, respecte la procédure normale...",21,21,1,1,True
22,121,121,121,,,"D'accord, merci. A plus tard.","D'accord, merci. A plus tard.",22,22,1,1,True
23,122,122,122,,,Et qu'est-ce que c'est?,Et qu'est-ce que c'est?,23,23,1,1,True
24,123,123,123,,,"Sois béni, frère.","Sois béni, frère.",24,24,1,1,True
25,124,124,124,,,Aucun vrai disciple du Maître ne peut l'ignorer. A l'intrusion!,Aucun vrai disciple du Maître ne peut l'ignorer. A l'intrusion!,25,25,1,1,True
26,125,125,125,,,Circule. Je n'ai pas le temps de répondre à tes questions.,Circule. Je n'ai pas le temps de répondre à tes questions.,26,26,1,1,True
27,126,126,126,,,Tu m'ennuies.,Tu m'ennuies.,27,27,1,1,True
28,127,127,127,,,J'ai du boulot. Pas toi?,J'ai du boulot. Pas toi?,28,28,1,1,True
29,128,128,128,,,Je sens que tu vas regretter d'être ici. Explique-toi ou prépare-toi à mourir...,Je sens que tu vas regretter d'être ici. Explique-toi ou prépare-toi à mourir...,29,29,1,1,True
30,129,129,129,,,Nnnon!,Nnnon!,30,30,1,1,True
31,130,130,130,,,Je n'ai rien à dire.,Je n'ai rien à dire.,31,31,1,1,True
32,131,131,131,,,Je suis ici pour protéger l'humanité contre les gens de ton espèce.,Je suis ici pour protéger l'humanité contre les gens de ton espèce.,32,32,1,1,True
33,132,132,132,,,"Oh, boucle-la!","Oh, boucle-la!",33,33,1,1,True
