occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Tu as mis Barry en colère!,Tu as mis Barry en colère!,1,1,1,1,True
2,101,101,101,,,Voici Barry.,Voici Barry.,2,2,1,1,True
3,102,102,102,,,Hé! Y a que les goules qui ont leur ration d'eau.,Hé! Y a que les goules qui ont leur ration d'eau.,3,3,1,1,True
4,103,103,103,,,T'aurais pas dû me réveiller. Tu vas passer un sale quart d'heure!,T'aurais pas dû me réveiller. Tu vas passer un sale quart d'heure!,4,4,1,1,True
5,104,104,104,,,Le mutant fait comme si tu n'étais pas là.,Le mutant fait comme si tu n'étais pas là.,5,5,1,1,True
6,1000,1000,1000,,,Puce,Puce,7,7,1,1,True
7,1001,1001,1001,,,Nécropolis,Nécropolis,8,8,1,1,True
8,1002,1002,1002,,,Set,Set,9,9,1,1,True
9,1003,1003,1003,,,Réservoir,Réservoir,10,10,1,1,True
10,1004,1004,1004,,,Hall,Hall,11,11,1,1,True
11,1005,1005,1005,,,Lou,Lou,12,12,1,1,True
12,1006,1006,1006,,,Goules,Goules,13,13,1,1,True
13,1007,1007,1007,,,Normaux,Normaux,14,14,1,1,True
14,1100,1100,1100,,,Ch'sé pas.,Ch'sé pas.,16,16,1,1,True
15,1101,1101,1101,,,T'es en plein d'dans.,T'es en plein d'dans.,17,17,1,1,True
16,1102,1102,1102,,,C'est qu'une tapette. Faut se débarrasser de lui et de ses goules.,C'est qu'une tapette. Faut se débarrasser de lui et de ses goules.,18,18,1,1,True
17,1103,1103,1103,,,C'est ici.,C'est ici.,19,19,1,1,True
18,1104,1104,1104,,,Ch'sé pas.,Ch'sé pas.,20,20,1,1,True
19,1105,1105,1105,,,Lui être chef à Harry.,Lui être chef à Harry.,21,21,1,1,True
20,1106,1106,1106,,,Mauviettes.,Mauviettes.,22,22,1,1,True
21,1107,1107,1107,,,Plus mauviettes que les goules.,Plus mauviettes que les goules.,23,23,1,1,True
