occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Tu croises un homme qui te fixe un instant, puis passe son chemin.","Tu croises un homme qui te fixe un instant, puis passe son chemin.",1,1,1,1,True
2,101,101,101,,,Voici Greg.,Voici Greg.,2,2,1,1,True
3,102,102,102,,,Qu'est-ce qu'il y a? Pourquoi me parles-tu? On pourrait nous entendre.,Qu'est-ce qu'il y a? Pourquoi me parles-tu? On pourrait nous entendre.,3,3,1,1,True
4,103,103,103,,,"Salut. T'es de retour? Mets-la en sourdine, ils sont partout.","Salut. T'es de retour? Mets-la en sourdine, ils sont partout.",4,4,1,1,True
5,104,104,104,,,"D'accord, mais mets-la en sourdine; ils vont se charger de nous si tu n'arrêtes pas de gueuler.","D'accord, mais mets-la en sourdine; ils vont se charger de nous si tu n'arrêtes pas de gueuler.",5,5,1,1,True
6,105,105,105,,,Qui es-tu?,Qui es-tu?,6,6,1,1,True
7,106,106,106,,,Pourquoi ne tiens-tu pas en place?,Pourquoi ne tiens-tu pas en place?,7,7,1,1,True
8,107,107,107,,,"Tu n'as pas pris tes médicaments, toi! Peut-être même que ta dose n'est pas suffisante!","Tu n'as pas pris tes médicaments, toi! Peut-être même que ta dose n'est pas suffisante!",8,8,1,1,True
9,108,108,108,,,Pas grave.,Pas grave.,9,9,1,1,True
10,109,109,109,,,Je suis...Greg...mais garde ça pour toi ou bien ils vont me retrouver.,Je suis...Greg...mais garde ça pour toi ou bien ils vont me retrouver.,10,10,1,1,True
11,110,110,110,,,"N'importe quoi! J'fais gaffe, c'est tout. Ils disent tous que je suis parano mais moi, je serai là quand ils viendront nous chercher.","N'importe quoi! J'fais gaffe, c'est tout. Ils disent tous que je suis parano mais moi, je serai là quand ils viendront nous chercher.",11,11,1,1,True
12,111,111,111,,,Venir vous chercher? Qui va venir vous chercher?,Venir vous chercher? Qui va venir vous chercher?,12,12,1,1,True
13,112,112,112,,,"T'es vraiment parano! Salut, à plus!","T'es vraiment parano! Salut, à plus!",13,13,1,1,True
14,113,113,113,,,"Euh, ils...Tu sais bien...Cette maladie, ça n'était qu'un début. Ils vont venir nous prendre tous. Mais toi, t'es comme les autres. Tu veux pas me croire et bientôt, il sera trop tard. Je t'aurai prévenu. MOI, JE SERAI ENCORE LA et TOUT ÇA VA DISPARAITRE, TOI COMPRIS. DISPARAITRE. [Greg se saisit la tête et se tord de douleur en hurlant]","Euh, ils...Tu sais bien...Cette maladie, ça n'était qu'un début. Ils vont venir nous prendre tous. Mais toi, t'es comme les autres. Tu veux pas me croire et bientôt, il sera trop tard. Je t'aurai prévenu. MOI, JE SERAI ENCORE LA et TOUT ÇA VA DISPARAITRE, TOI COMPRIS. DISPARAITRE. [Greg se saisit la tête et se tord de douleur en hurlant]",14,14,1,1,True
15,114,114,114,,,"Mes médicaments... Alors, tu es des leurs; tu essaies de me faire avaler mes médicaments....Tu n'y arriveras pas. JE NE LES PRENDRAI JAMAIS. LES VOIX, NON, JAMAIS, PERSONNE NE ME FORCERA. [Greg ferme les yeux et secoue la tête tout en parlant à des voix que lui seul entend.]","Mes médicaments... Alors, tu es des leurs; tu essaies de me faire avaler mes médicaments....Tu n'y arriveras pas. JE NE LES PRENDRAI JAMAIS. LES VOIX, NON, JAMAIS, PERSONNE NE ME FORCERA. [Greg ferme les yeux et secoue la tête tout en parlant à des voix que lui seul entend.]",15,15,1,1,True
16,115,115,115,,,JE NE ME LAISSERAI PAS FAIRE!,JE NE ME LAISSERAI PAS FAIRE!,16,16,1,1,True
17,116,116,116,,,Y A RIEN A FAIRE!,Y A RIEN A FAIRE!,17,17,1,1,True
18,117,117,117,,,C'EST FINI!,C'EST FINI!,18,18,1,1,True
19,118,118,118,,,ILS ARRIVENT ET RIEN NE PEUT LES ARRETER!,ILS ARRIVENT ET RIEN NE PEUT LES ARRETER!,19,19,1,1,True
20,119,119,119,,,S'EN SERA FINI DE VOUS!,S'EN SERA FINI DE VOUS!,20,20,1,1,True
