occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici un Ténébreux.,Voici un Ténébreux.,1,1,1,1,True
2,101,101,101,,,Meurs!,Meurs!,2,2,1,1,True
3,102,102,102,,,Laisse-moi ou meurs!,Laisse-moi ou meurs!,3,3,1,1,True
4,103,103,103,,,"Je n'aime pas le ton que tu emploies. Si mon message ne parvient pas au Maître, je te réserverai une mort lente et atroce.","Je n'aime pas le ton que tu emploies. Si mon message ne parvient pas au Maître,
 je te réserverai une mort lente et atroce.",4,5,1,1,True
5,104,104,104,,,Je voulais juste te complimenter sur la superbe bosse de ton dos. Quant à ta respiration... ,"Je voulais juste te complimenter sur la superbe bosse de ton dos.
 Quant à ta respiration... ",6,7,1,1,True
6,105,105,105,,,Peux-tu m'indiquer l'homme qui s'occupe de cet endroit?,Peux-tu m'indiquer l'homme qui s'occupe de cet endroit?,8,8,1,1,True
7,106,106,106,,,"Tu sais, il y a pire que moi!","Tu sais, il y a pire que moi!",9,9,1,1,True
8,107,107,107,,,Je reste!,Je reste!,10,10,1,1,True
9,108,108,108,,,Ok. Je m'en vais.,Ok. Je m'en vais.,11,11,1,1,True
10,109,109,109,,,C'est une erreur d'affronter les Ténébreux. Va-t-en!,C'est une erreur d'affronter les Ténébreux. Va-t-en!,12,12,1,1,True
11,110,110,110,,,Je ne pense pas.,Je ne pense pas.,13,13,1,1,True
12,111,111,111,,,Je prendrai un réel plaisir à te voir mourir!,Je prendrai un réel plaisir à te voir mourir!,14,14,1,1,True
13,112,112,112,,,Tu écoutes? C'est déconseillé d'ignorer les Ténébreux.,Tu écoutes? C'est déconseillé d'ignorer les Ténébreux.,15,15,1,1,True
14,113,113,113,,,Je dois te parler. C'est urgent!,Je dois te parler. C'est urgent!,16,16,1,1,True
15,114,114,114,,,Personne n'a jamais osé m'accuser d'être sage!,Personne n'a jamais osé m'accuser d'être sage!,17,17,1,1,True
16,115,115,115,,,Je veux juste parler à la personne qui s'occupe de cet endroit!,Je veux juste parler à la personne qui s'occupe de cet endroit!,18,18,1,1,True
17,116,116,116,,,Tu es censé être un dur ou quoi?,Tu es censé être un dur ou quoi?,19,19,1,1,True
18,117,117,117,,,Excuse-moi. Passe une bonne journée.,Excuse-moi. Passe une bonne journée.,20,20,1,1,True
19,118,118,118,,,"Tu te moques de moi? Tu as tort de te moquer de moi, crevure!","Tu te moques de moi? Tu as tort de te moquer de moi, crevure!",21,21,1,1,True
20,119,119,119,,,Monte. Mes amis évalueront l'importance de ton message.,Monte. Mes amis évalueront l'importance de ton message.,22,22,1,1,True
21,120,120,120,,,Dernier avertissement!,Dernier avertissement!,23,23,1,1,True
22,121,121,121,,,Certainement! Une bonne affaire...,Certainement! Une bonne affaire...,24,24,1,1,True
23,122,122,122,,,Je dois IMPERATIVEMENT parler à la personne qui s'occupe de cet endroit!,Je dois IMPERATIVEMENT parler à la personne qui s'occupe de cet endroit!,25,25,1,1,True
24,123,123,123,,,Ok! Ok! Excuse-moi! Passe une bonne journée.,Ok! Ok! Excuse-moi! Passe une bonne journée.,26,26,1,1,True
25,124,124,124,,,"Tu sais quelle est ton erreur? Tu donnes des avertissements. Moi, pas. Meurs!","Tu sais quelle est ton erreur? Tu donnes des avertissements. Moi, pas. Meurs!",27,27,1,1,True
26,125,125,125,,,[Terminé],[Terminé],28,28,1,1,True
