occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici un Conducteur de Caravane.,Voici un Conducteur de Caravane.,1,1,1,1,True
2,101,101,101,,,"Excuse-moi, je ne te connais pas. Si tu veux du travail, adresse-toi à Rutger.","Excuse-moi, je ne te connais pas. Si tu veux du travail, adresse-toi à Rutger.",2,2,1,1,True
3,102,102,102,,,"Si tu veux du travail, adresse-toi plutôt à Rutger.","Si tu veux du travail, adresse-toi plutôt à Rutger.",3,3,1,1,True
4,103,103,103,,,"Quoi? Tu as dépensé tout cet argent pour des stimulants? Si tu continues comme ça , les skags viendront entourer ta nouvelle maison dans la vieille ville.","Quoi? Tu as dépensé tout cet argent pour des stimulants? Si tu continues comme ça , les skags viendront entourer ta nouvelle maison dans la vieille ville.",4,4,1,1,True
5,104,104,104,,,Tu ferais bien de dessoûler. Reviens quand tu seras en état de travailler.,Tu ferais bien de dessoûler. Reviens quand tu seras en état de travailler.,5,5,1,1,True
6,105,105,105,,,Tu cherches un autre travail?,Tu cherches un autre travail?,6,6,1,1,True
7,106,106,106,,,Oui.,Oui.,7,7,1,1,True
8,107,107,107,,,"Non, peut-être plus tard.","Non, peut-être plus tard.",8,8,1,1,True
9,108,108,108,,,Goug.,Goug.,9,9,1,1,True
10,109,109,109,,,Rak!,Rak!,10,10,1,1,True
11,110,110,110,,,D'accord pour partir? On part aujourd'hui.,D'accord pour partir? On part aujourd'hui.,11,11,1,1,True
12,111,111,111,,,Ouais!,Ouais!,12,12,1,1,True
13,112,112,112,,,Non.,Non.,13,13,1,1,True
14,113,113,113,,,Hein?,Hein?,14,14,1,1,True
15,114,114,114,,,Excuse-moi mais on ne traitera plus avec toi. Tente ta chance avec une autre caravane; peut-être que quelqu'un voudra de toi.,Excuse-moi mais on ne traitera plus avec toi. Tente ta chance avec une autre caravane; peut-être que quelqu'un voudra de toi.,15,15,1,1,True
16,115,115,115,,,Excuse-moi mais on n'embauche pas.,Excuse-moi mais on n'embauche pas.,16,16,1,1,True
17,116,116,116,,,Tu as un sacré culot de te repointer ici. Il vaudrait mieux que tu partes.,Tu as un sacré culot de te repointer ici. Il vaudrait mieux que tu partes.,17,17,1,1,True
18,117,117,117,,,J'ai dit: fiche le camp!,J'ai dit: fiche le camp!,18,18,1,1,True
19,118,118,118,,,Qu'est-ce que tu veux? On a fait une grosse erreur en t'embauchant.,Qu'est-ce que tu veux? On a fait une grosse erreur en t'embauchant.,19,19,1,1,True
20,119,119,119,,,"S'il te plaît, donne-moi une autre chance! Je n'avais pas le choix!","S'il te plaît, donne-moi une autre chance! Je n'avais pas le choix!",20,20,1,1,True
