occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Voici un homme grand, fort et robuste.","Voici un homme grand, fort et robuste.",1,1,1,1,True
2,101,101,101,,,On ne vient pas de se rencontrer? Tu vient me tuer?,On ne vient pas de se rencontrer? Tu vient me tuer?,2,2,1,1,True
3,102,102,102,,,"Je sais que les pères ne sont pas censés embrasser leurs fils, mais je t'aime, papa!","Je sais que les pères ne sont pas censés embrasser leurs fils, mais je t'aime, papa!",3,3,1,1,True
4,103,103,103,,,"Maître, était-ce ce que j'étais censé devenir, Maître?","Maître, était-ce ce que j'étais censé devenir, Maître?",4,4,1,1,True
5,104,104,104,,,Il n'y a rien de tel qu'un Dane.,Il n'y a rien de tel qu'un Dane.,5,5,1,1,True
6,105,105,105,,,"Quelle est ta couleur préférée? Moi, c'est le lait!","Quelle est ta couleur préférée? Moi, c'est le lait!",6,6,1,1,True
7,106,106,106,,,"Tu n'es qu'un idiot, Dane. Ils ne vont pas tarder à te tuer et tu l'auras bien mérité! Tu n'es qu'une mauviette! Une mauviette!","Tu n'es qu'un idiot, Dane. Ils ne vont pas tarder à te tuer et tu l'auras bien mérité! Tu n'es qu'une mauviette! Une mauviette!",7,7,1,1,True
8,107,107,107,,,"Mère, pensais-tu qu'une bombe ils allaient larguer?","Mère, pensais-tu qu'une bombe ils allaient larguer?",8,8,1,1,True
9,108,108,108,,,Ils l'ont fait d'une manière si élégante et distinguée!,Ils l'ont fait d'une manière si élégante et distinguée!,9,9,1,1,True
10,109,109,109,,,"Je m'appelle Dane, pas Tom!","Je m'appelle Dane, pas Tom!",10,10,1,1,True
11,110,110,110,,,"Ta poésie, c'est de la merde, mec! De la merde! De la merde! De la merde!","Ta poésie, c'est de la merde, mec! De la merde! De la merde! De la merde!",11,11,1,1,True
12,111,111,111,,,J'aime bien M. Handy! J'aimerais faire l'amour avec ses jolies petites mains...,J'aime bien M. Handy! J'aimerais faire l'amour avec ses jolies petites mains...,12,12,1,1,True
13,112,112,112,,,"Je perds la tête. Je perds complètement la tête. Oh mon Dieu, je deviens dingue! Pense à la paix! Pense à l'unité!","Je perds la tête. Je perds complètement la tête. Oh mon Dieu, je deviens dingue! Pense à la paix! Pense à l'unité!",13,13,1,1,True
14,113,113,113,,,"Je veux un cheval! Il me faut un cheval! Qu'on m'apporte un cheval, bon sang! Un cheval!","Je veux un cheval! Il me faut un cheval! Qu'on m'apporte un cheval, bon sang! Un cheval!",14,14,1,1,True
15,114,114,114,,,Ils nous voient tous de la même façon maintenant! M. le Ténébreux! Felix et Timothy! Les chats! Les chiens! Les Ténébreux!,Ils nous voient tous de la même façon maintenant! M. le Ténébreux! Felix et Timothy! Les chats! Les chiens! Les Ténébreux!,15,15,1,1,True
16,115,115,115,,,Tais-toi! Ils vont te prendre pour un pauv' type qui a perdu la boule! Il faut que tu te reprennes!,Tais-toi! Ils vont te prendre pour un pauv' type qui a perdu la boule! Il faut que tu te reprennes!,16,16,1,1,True
17,116,116,116,,,Lasher! Tu dois tuer Lasher! Sauve le gamin! Pauvre Enfant des Fleurs. Pauvre de moi.,Lasher! Tu dois tuer Lasher! Sauve le gamin! Pauvre Enfant des Fleurs. Pauvre de moi.,17,17,1,1,True
18,117,117,117,,,"La ferme, espèce de connard! Reprends-toi!","La ferme, espèce de connard! Reprends-toi!",18,18,1,1,True
19,118,118,118,,,"[En chantant faux] Autrefois j'étais perdu, mais à présent je vois! Plus question de baptême pour moi maintenant!","[En chantant faux] Autrefois j'étais perdu, mais à présent je vois! Plus question de baptême pour moi maintenant!",19,19,1,1,True
20,119,119,119,,,"Tu sais, un jour, j'ai surpris Morpheus menacer un Ténébreux du poing. Ou peut-être l'ai-je senti?","Tu sais, un jour, j'ai surpris Morpheus menacer un Ténébreux du poing. Ou peut-être l'ai-je senti?",20,20,1,1,True
21,120,120,120,,,Vous êtes tous fous de pleurer sur moi. Ne pleurez jamais sur du lait renversé... ni sur des vivres gâchées.,Vous êtes tous fous de pleurer sur moi. Ne pleurez jamais sur du lait renversé... ni sur des vivres gâchées.,21,21,1,1,True
22,121,121,121,,,Est-ce que quelqu'un sait réparer un grille-pain?,Est-ce que quelqu'un sait réparer un grille-pain?,22,22,1,1,True
23,122,122,122,,,"Bien sûr qu'ils le savent, imbécile! C'est ta tête qu'ils ne peuvent pas réparer, connard!","Bien sûr qu'ils le savent, imbécile! C'est ta tête qu'ils ne peuvent pas réparer, connard!",23,23,1,1,True
