occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici un joueur.,Voici un joueur.,1,1,1,1,True
2,101,101,101,,,Attention! C'est un braquage!,Attention! C'est un braquage!,2,2,1,1,True
3,102,102,102,,,Je veux pas de problèmes avec toi.,Je veux pas de problèmes avec toi.,3,3,1,1,True
4,103,103,103,,,Il a un fusil!,Il a un fusil!,4,4,1,1,True
5,104,104,104,,,Elle a un fusil!,Elle a un fusil!,5,5,1,1,True
6,105,105,105,,,"Oh, c'est toi.","Oh, c'est toi.",6,6,1,1,True
7,106,106,106,,,J'ai entendu plein de vilaines choses sur toi.,J'ai entendu plein de vilaines choses sur toi.,7,7,1,1,True
8,107,107,107,,,"T'as déconné, hein?","T'as déconné, hein?",8,8,1,1,True
9,108,108,108,,,Crapule. Tuer des innocents. Je peux pas y croire.,Crapule. Tuer des innocents. Je peux pas y croire.,9,9,1,1,True
10,109,109,109,,,Il paraît qu'il y a des chasseurs de primes à tes trousses. Tu les as tués aussi?,Il paraît qu'il y a des chasseurs de primes à tes trousses. Tu les as tués aussi?,10,10,1,1,True
11,110,110,110,,,M'adresse pas la parole.,M'adresse pas la parole.,11,11,1,1,True
12,111,111,111,,,"Putain, t'as buté le Maire, hein?","Putain, t'as buté le Maire, hein?",12,12,1,1,True
13,112,112,112,,,"Oh, quand Killian était en vie, j'aimais pas cet endroit. Maintenant, ça va.","Oh, quand Killian était en vie, j'aimais pas cet endroit. Maintenant, ça va.",13,13,1,1,True
14,113,113,113,,,Fous le camp.,Fous le camp.,14,14,1,1,True
15,114,114,114,,,"Eh, comment ça va aujourd'hui? Moi, ça va.","Eh, comment ça va aujourd'hui? Moi, ça va.",15,15,1,1,True
16,115,115,115,,,"Eh, comment ça va ce soir? Moi, ça va.","Eh, comment ça va ce soir? Moi, ça va.",16,16,1,1,True
17,116,116,116,,,La paix. Je suis dans un coup de veine.,La paix. Je suis dans un coup de veine.,17,17,1,1,True
18,117,117,117,,,"Eh, ces machines à sous m'appartiennent.","Eh, ces machines à sous m'appartiennent.",18,18,1,1,True
19,118,118,118,,,"Eh, file-moi à boire!","Eh, file-moi à boire!",19,19,1,1,True
20,119,119,119,,,Grrr! Ça craint ici!,Grrr! Ça craint ici!,20,20,1,1,True
21,120,120,120,,,V'là qu'l'argent coule à flot.,V'là qu'l'argent coule à flot.,21,21,1,1,True
