occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici un Skag.,Voici un Skag.,1,1,1,1,True
2,101,101,101,,,Cet endroit est super! Bien mieux que là où j'étais.,Cet endroit est super! Bien mieux que là où j'étais.,2,2,1,1,True
3,102,102,102,,,Ça me plaît ici!,Ça me plaît ici!,3,3,1,1,True
4,103,103,103,,,"C'est tellement spacieux. Si j'avais des affaires, j'aurais plein de place.","C'est tellement spacieux. Si j'avais des affaires, j'aurais plein de place.",4,4,1,1,True
5,104,104,104,,,Où est mon chien?,Où est mon chien?,5,5,1,1,True
6,105,105,105,,,J'ai soif.,J'ai soif.,6,6,1,1,True
7,106,106,106,,,Y a rien à manger?,Y a rien à manger?,7,7,1,1,True
8,107,107,107,,,J'ai faim.,J'ai faim.,8,8,1,1,True
9,108,108,108,,,C'est l'heure de se coucher?,C'est l'heure de se coucher?,9,9,1,1,True
10,109,109,109,,,Tu peux prendre mon ancienne place.,Tu peux prendre mon ancienne place.,10,10,1,1,True
11,110,110,110,,,Je suis sur les rotules. Qu'est-ce que tu fais ici?,Je suis sur les rotules. Qu'est-ce que tu fais ici?,11,11,1,1,True
12,111,111,111,,,C'est chez moi! Fous le camp!,C'est chez moi! Fous le camp!,12,12,1,1,True
13,112,112,112,,,C'est chez moi! Fous le camp!,C'est chez moi! Fous le camp!,13,13,1,1,True
14,113,113,113,,,Où est mon oreiller?,Où est mon oreiller?,14,14,1,1,True
15,114,114,114,,,J'ai envie de dormir.,J'ai envie de dormir.,15,15,1,1,True
16,115,115,115,,,Me fais pas de mal.,Me fais pas de mal.,16,16,1,1,True
17,116,116,116,,,C'est toi qui fais du mal aux gens!,C'est toi qui fais du mal aux gens!,17,17,1,1,True
