occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici un membre de la bande des Skulz.,Voici un membre de la bande des Skulz.,1,1,1,1,True
2,101,101,101,,,Eh! Où tu t'crois?!,Eh! Où tu t'crois?!,2,2,1,1,True
3,102,102,102,,,T'es chez les Skulz. Tu ferais mieux de dégager.,T'es chez les Skulz. Tu ferais mieux de dégager.,3,3,1,1,True
4,103,103,103,,,T'as pas quelques caps?,T'as pas quelques caps?,4,4,1,1,True
5,104,104,104,,,Qu'est-ce que tu reluques?,Qu'est-ce que tu reluques?,5,5,1,1,True
6,105,105,105,,,Fous le camp.,Fous le camp.,6,6,1,1,True
7,106,106,106,,,Zzzzz,Zzzzz,7,7,1,1,True
8,107,107,107,,,"Bon dieu, il fait chaud aujourd'hui.","Bon dieu, il fait chaud aujourd'hui.",8,8,1,1,True
9,108,108,108,,,J'ai faim.,J'ai faim.,9,9,1,1,True
10,109,109,109,,,"Bon, faut faire quelque chose.","Bon, faut faire quelque chose.",10,10,1,1,True
11,110,110,110,,,Et si on emmerdait quelqu'un?,Et si on emmerdait quelqu'un?,11,11,1,1,True
12,111,111,111,,,J'ai envie de me marrer un coup.,J'ai envie de me marrer un coup.,12,12,1,1,True
13,112,112,112,,,Bâillement...,Bâillement...,13,13,1,1,True
