occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici un garde la Confrérie.,Voici un garde la Confrérie.,1,1,1,1,True
2,101,101,101,,,"De la vigilance, Initié! Toujours!","De la vigilance, Initié! Toujours!",2,2,1,1,True
3,102,102,102,,,Ça m'a l'air bien. Continue à faire du bon travail.,Ça m'a l'air bien. Continue à faire du bon travail.,3,3,1,1,True
4,103,103,103,,,"Bonjour, Initié, tout est en ordre.","Bonjour, Initié, tout est en ordre.",4,4,1,1,True
5,104,104,104,,,"Désolé, je dois parler à personne. Tu sais ce que c'est.","Désolé, je dois parler à personne. Tu sais ce que c'est.",5,5,1,1,True
6,105,105,105,,,"Si t'as des questions, adresse-toi à Talus ou à Maxson.","Si t'as des questions, adresse-toi à Talus ou à Maxson.",6,6,1,1,True
7,106,106,106,,,"Si t'as des questions techniques, Vree est dans la bibliothèque pendant la journée.","Si t'as des questions techniques, Vree est dans la bibliothèque pendant la journée.",7,7,1,1,True
8,107,107,107,,,Rhombus est mon idole.,Rhombus est mon idole.,8,8,1,1,True
9,108,108,108,,,"Ah, si je pouvais m'entraîner maintenant, au lieu de perdre mon temps à monter la garde.","Ah, si je pouvais m'entraîner maintenant, au lieu de perdre mon temps à monter la garde.",9,9,1,1,True
10,109,109,109,,,Vree est mon idole.,Vree est mon idole.,10,10,1,1,True
11,110,110,110,,,"Salut, Frère ","Salut, Frère ",11,11,1,1,True
12,111,111,111,,,.,.,12,12,1,1,True
13,200,200,200,,,Seuls les Scribes et les Paladins sont autorisés dans cette salle.,Seuls les Scribes et les Paladins sont autorisés dans cette salle.,13,13,1,1,True
14,201,201,201,,,"On t'avait pourtant dit de ne pas essayer d'entrer. Maintenant, on va s'occuper de ton cas.","On t'avait pourtant dit de ne pas essayer d'entrer. Maintenant, on va s'occuper de ton cas.",14,14,1,1,True
15,202,202,202,,,"Désolé, seuls les membres de la Confrérie peuvent entrer.","Désolé, seuls les membres de la Confrérie peuvent entrer.",15,15,1,1,True
