occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici un homme petit et trapu.,Voici un homme petit et trapu.,1,1,1,1,True
2,101,101,101,,,"Les gens de ton espèce, on n'en veut pas.","Les gens de ton espèce, on n'en veut pas.",2,2,1,1,True
3,102,102,102,,,Bonjour. Toi tu n'es pas d'ici. Comment t'appelles-tu?,Bonjour. Toi tu n'es pas d'ici. Comment t'appelles-tu?,3,3,1,1,True
4,103,103,103,,,Mon nom n'a pas d'importance.,Mon nom n'a pas d'importance.,4,4,1,1,True
5,104,104,104,,,Je m'appelle ,Je m'appelle ,5,5,1,1,True
6,105,105,105,,,.,.,6,6,1,1,True
7,106,106,106,,,Hein?,Hein?,7,7,1,1,True
8,107,107,107,,,"Bon, alors toi non plus.","Bon, alors toi non plus.",8,8,1,1,True
9,108,108,108,,,Enchanté. Je m'appelle Ian.,Enchanté. Je m'appelle Ian.,9,9,1,1,True
10,109,109,109,,,Qu'est-ce que tu fait?,Qu'est-ce que tu fait?,10,10,1,1,True
11,110,110,110,,,J'aimerais en apprendre davantage sur l'endroit. Peux-tu m'aider?,J'aimerais en apprendre davantage sur l'endroit. Peux-tu m'aider?,11,11,1,1,True
12,111,111,111,,,Excuse-moi mais je n'ai pas de temps à perdre avec les emplâtrés.,Excuse-moi mais je n'ai pas de temps à perdre avec les emplâtrés.,12,12,1,1,True
13,112,112,112,,,"Je travaillais comme garde pour les marchands au Centre. Mais des bandits m'ont tiré dessus au cours d'une attaque. Je suis resté ici parce que les gens m'ont aidé à me rétablir. Cependant, ma connaissance du monde extérieur et mon expérience me rendent utile. Aujourd'hui, je me sens chez moi aux Sables Ombragés. Parfois, je me rends à Dépôtville ou au Centre pour les affaires. En fait, je suis le seul ici à être sorti du coin.","Je travaillais comme garde pour les marchands au Centre. Mais des bandits m'ont tiré dessus au cours d'une attaque. Je suis resté ici parce que les gens m'ont aidé à me rétablir. Cependant, ma connaissance du monde extérieur et mon expérience me rendent utile. Aujourd'hui, je me sens chez moi aux Sables Ombragés. Parfois, je me rends à Dépôtville ou au Centre pour les affaires. En fait, je suis le seul ici à être sorti du coin.",13,13,1,1,True
14,113,113,113,,,Voici Ian.,Voici Ian.,14,14,1,1,True
15,114,114,114,,,"Quelle mauvaise nouvelle, ta blessure.","Quelle mauvaise nouvelle, ta blessure.",15,15,1,1,True
16,115,115,115,,,Où se trouvent le Centre et Dépôtville?,Où se trouvent le Centre et Dépôtville?,16,16,1,1,True
17,116,116,116,,,Peux-tu me parler de ces bandits?,Peux-tu me parler de ces bandits?,17,17,1,1,True
18,117,117,117,,,"Les Sables Ombragés forment une petite communauté qui vit en autarcie. Le seul problème ici, ce sont les radscorpions et les bandits.","Les Sables Ombragés forment une petite communauté qui vit en autarcie. Le seul problème ici, ce sont les radscorpions et les bandits.",18,18,1,1,True
19,118,118,118,,,Pourquoi les radscorpions posent-ils un problème?,Pourquoi les radscorpions posent-ils un problème?,19,19,1,1,True
20,119,119,119,,,Les bandits sont-ils nombreux?,Les bandits sont-ils nombreux?,20,20,1,1,True
21,120,120,120,,,Il y en a quelques-uns. Ils appartiennent à différents groupes. Ils volent notre nourriture et il leur arrive de tuer. Seth a organisé des rondes de gardes pour les combattre.,Il y en a quelques-uns. Ils appartiennent à différents groupes. Ils volent notre nourriture et il leur arrive de tuer. Seth a organisé des rondes de gardes pour les combattre.,21,21,1,1,True
22,121,121,121,,,Peux-tu me parler de Seth?,Peux-tu me parler de Seth?,22,22,1,1,True
23,122,122,122,,,Il existe différents groupes? Qui sont-ils?,Il existe différents groupes? Qui sont-ils?,23,23,1,1,True
24,123,123,123,,,"Les radscorpions sont très dangereux. Il possèdent un dard empoisonné dans la queue et ils sont très rapides. Aradesh a tenté de trouver un moyen de nous en débarrasser. Si tu t'en sens le courage, tu devrais en parler à Aradesh.","Les radscorpions sont très dangereux. Il possèdent un dard empoisonné dans la queue et ils sont très rapides. Aradesh a tenté de trouver un moyen de nous en débarrasser. Si tu t'en sens le courage, tu devrais en parler à Aradesh.",24,24,1,1,True
25,124,124,124,,,"Merci. Ça va beaucoup mieux, grâce à Razlo.","Merci. Ça va beaucoup mieux, grâce à Razlo.",25,25,1,1,True
26,125,125,125,,,Seth est un valeureux combattant. Il s'aventure parfois dans les Grottes des radscorpions pour en tuer quelques-uns mais ils rappliquent sans cesse. Il y en a trop.,Seth est un valeureux combattant. Il s'aventure parfois dans les Grottes des radscorpions pour en tuer quelques-uns mais ils rappliquent sans cesse. Il y en a trop.,26,26,1,1,True
27,126,126,126,,,Les radscorpions sont-ils vraiment si dangereux?,Les radscorpions sont-ils vraiment si dangereux?,27,27,1,1,True
28,127,127,127,,,En quoi puis-je t'aider?,En quoi puis-je t'aider?,28,28,1,1,True
29,128,128,128,,,"Il existe trois groupes: les Khans, les Vipères et les Chacals. Ils se détestent mais ça ne les empêche pas de s'unir pour piller les Sables Ombragés.","Il existe trois groupes: les Khans, les Vipères et les Chacals. Ils se détestent mais ça ne les empêche pas de s'unir pour piller les Sables Ombragés.",29,29,1,1,True
30,129,129,129,,,Parle-moi des Sables Ombragés.,Parle-moi des Sables Ombragés.,30,30,1,1,True
31,130,130,130,,,Il a la prestance d'un lutteur.,Il a la prestance d'un lutteur.,31,31,1,1,True
32,131,131,131,,,"Donc, ","Donc, ",34,34,1,1,True
33,132,132,132,,,", qu'est-ce que je peux faire pour toi?",", qu'est-ce que je peux faire pour toi?",35,35,1,1,True
34,133,133,133,,,Parle-moi des pillards.,Parle-moi des pillards.,36,36,1,1,True
35,134,134,134,,,Parle-moi des radscorpions.,Parle-moi des radscorpions.,37,37,1,1,True
36,135,135,135,,,Parle-moi des Sables Ombragés.,Parle-moi des Sables Ombragés.,38,38,1,1,True
37,136,136,136,,,Parle-moi de Seth.,Parle-moi de Seth.,39,39,1,1,True
38,137,137,137,,,Peux-tu m'indiquer la direction du Centre et de Dépôtville?,Peux-tu m'indiquer la direction du Centre et de Dépôtville?,40,40,1,1,True
39,138,138,138,,,"Rien, merci.","Rien, merci.",41,41,1,1,True
40,139,139,139,,,"Le Centre est une grande ville commerçante au sud des Sables Ombragés. Elle est dirigée par plusieurs groupes de marchands qui possèdent des caravanes: les Marchands d'Eau, la Caravane Ecarlate et les Marchands du Lointain. Dépôtville est situé un peu plus au sud-ouest. C'est une ville plus petite mais ça vaut la peine d'y faire une halte pour boire un coup. Elle est contrôlée par un type du nom de Killian Darkwater. Il est à la fois commerçant, shérif et maire de la ville.","Le Centre est une grande ville commerçante au sud des Sables Ombragés. Elle est dirigée par plusieurs groupes de marchands qui possèdent des caravanes: les Marchands d'Eau, la Caravane Ecarlate et les Marchands du Lointain. Dépôtville est situé un peu plus au sud-ouest. C'est une ville plus petite mais ça vaut la peine d'y faire une halte pour boire un coup. Elle est contrôlée par un type du nom de Killian Darkwater. Il est à la fois commerçant, shérif et maire de la ville.",42,42,1,1,True
41,140,140,140,,,Merci.,Merci.,43,43,1,1,True
42,141,141,141,,,Je ne suis plus le combattant que j'étais autrefois mais je suis encore capable d'anéantir ceux de ton espèce!,Je ne suis plus le combattant que j'étais autrefois mais je suis encore capable d'anéantir ceux de ton espèce!,44,44,1,1,True
43,142,142,142,,,"Que puis-je pour toi, ","Que puis-je pour toi, ",47,47,1,1,True
44,143,143,143,,,?,?,48,48,1,1,True
45,144,144,144,,,"Hmm. Rien, Ian.","Hmm. Rien, Ian.",49,49,1,1,True
46,145,145,145,,,Tu peux t'en aller maintenant.,Tu peux t'en aller maintenant.,50,50,1,1,True
47,146,146,146,,,Peux-tu m'indiquer la direction du Centre et de Dépôtville?,Peux-tu m'indiquer la direction du Centre et de Dépôtville?,51,51,1,1,True
48,147,147,147,,,C'est bon. A une prochaine!,C'est bon. A une prochaine!,52,52,1,1,True
49,148,148,148,,,Non merci. On a besoin de moi ici.,Non merci. On a besoin de moi ici.,53,53,1,1,True
50,149,149,149,,,Est-ce que tu pourrais me donner un coup de main? Ton expérience pourrait m'être utile.,Est-ce que tu pourrais me donner un coup de main? Ton expérience pourrait m'être utile.,54,54,1,1,True
51,150,150,150,,,Allons-y. Ça me fera du bien de reprendre du service!,Allons-y. Ça me fera du bien de reprendre du service!,55,55,1,1,True
52,151,151,151,,,C'est le magasin de Killian. C'est un brave type et il possède pas mal de matériel.,C'est le magasin de Killian. C'est un brave type et il possède pas mal de matériel.,56,56,1,1,True
53,152,152,152,,,"Le casino de Gizmo. C'est le royaume du jeu et de la magouille. Fais gaffe, on dit que ses jeux sont complètement truqués.","Le casino de Gizmo. C'est le royaume du jeu et de la magouille. Fais gaffe, on dit que ses jeux sont complètement truqués.",57,57,1,1,True
54,153,153,153,,,Cet endroit me fout les jetons.,Cet endroit me fout les jetons.,58,58,1,1,True
55,154,154,154,,,Qu'est-il arrivé ici?,Qu'est-il arrivé ici?,59,59,1,1,True
56,155,155,155,,,Ça ne va pas être du gâteau.,Ça ne va pas être du gâteau.,60,60,1,1,True
