occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici Jain.,Voici Jain.,1,1,1,1,True
2,101,101,101,JAIN00,JAIN00,Pourquoi déranges-tu un ancien de la Cathédrale?,Pourquoi déranges-tu un ancien de la Cathédrale?,2,2,1,1,True
3,102,102,102,,,Je viens chercher une bénédiction.,Je viens chercher une bénédiction.,3,3,1,1,True
4,103,103,103,,,Votre église m'intéresse et je voudrais des renseignements. Y a pas de brochures?,Votre église m'intéresse et je voudrais des renseignements. Y a pas de brochures?,4,4,1,1,True
5,104,104,104,,,Je jetais un coup d'il.,Je jetais un coup d'il.,5,5,1,1,True
6,105,105,105,,,Maman?,Maman?,6,6,1,1,True
7,106,106,106,JAIN01,JAIN01,Je ne suis pas vraiment ta mère.,Je ne suis pas vraiment ta mère.,7,7,1,1,True
8,107,107,107,,,Ah bon?,Ah bon?,8,8,1,1,True
9,108,108,108,,,T'es pas vraiment une femme.,T'es pas vraiment une femme.,9,9,1,1,True
10,109,109,109,JAIN02,JAIN02,Comment oses-tu me parler sur ce ton! Que l'on te punisse de ton insolence! Gardes!,Comment oses-tu me parler sur ce ton! Que l'on te punisse de ton insolence! Gardes!,10,10,1,1,True
11,110,110,110,JAIN03,JAIN03,Peut-être l'un de nos prêtres examinera-t-il tes lacunes. Disparais maintenant.,Peut-être l'un de nos prêtres examinera-t-il tes lacunes. Disparais maintenant.,11,11,1,1,True
12,111,111,111,JAIN04,JAIN04,"As-tu étudié les sacrements, mon enfant?","As-tu étudié les sacrements, mon enfant?",12,12,1,1,True
13,112,112,112,,,Oui.,Oui.,13,13,1,1,True
14,113,113,113,,,Non.,Non.,14,14,1,1,True
15,114,114,114,JAIN05,JAIN05,"Alors, tu devrais savoir que les aînés de la Cathédrale ne distribuent pas la bénédiction à la légère. Tu peux disposer.","Alors, tu devrais savoir que les aînés de la Cathédrale ne distribuent pas la bénédiction à la légère. Tu peux disposer.",15,15,1,1,True
16,115,115,115,JAIN07,JAIN07,Continue à te moquer de moi et je te ferai jeter dehors.,Continue à te moquer de moi et je te ferai jeter dehors.,16,16,1,1,True
17,116,116,116,,,"Mais j't'assure, je me moque pas de toi.","Mais j't'assure, je me moque pas de toi.",17,17,1,1,True
18,117,117,117,,,"Moi, me moquer? Mais j'ferais jamais une chose pareille!","Moi, me moquer? Mais j'ferais jamais une chose pareille!",18,18,1,1,True
19,118,118,118,,,Il va de soi que cette bonté et cette bonne humeur n'ont rien à voir avec cette religion.,Il va de soi que cette bonté et cette bonne humeur n'ont rien à voir avec cette religion.,19,19,1,1,True
20,119,119,119,,,"Excuse-moi, mais je vais devoir m'en aller.","Excuse-moi, mais je vais devoir m'en aller.",20,20,1,1,True
21,120,120,120,JAIN08,JAIN08,Tu paieras pour ces paroles hérétiques.,Tu paieras pour ces paroles hérétiques.,21,21,1,1,True
22,121,121,121,JAIN09,JAIN09,Tes paroles vont mal avec ta conviction. L'hérésie les consument. On te purifiera; puis on t'oubliera.,Tes paroles vont mal avec ta conviction. L'hérésie les consument. On te purifiera; puis on t'oubliera.,22,22,1,1,True
23,122,122,122,JAIN10,JAIN10,"Alors, que viens-tu chercher? Qu'est-ce qui peut t'amener chez les Enfants de la Cathédrale?","Alors, que viens-tu chercher? Qu'est-ce qui peut t'amener chez les Enfants de la Cathédrale?",23,23,1,1,True
24,123,123,123,,,Je suis en quête de savoir. J'aimerais apprendre.,Je suis en quête de savoir. J'aimerais apprendre.,24,24,1,1,True
25,124,124,124,,,J'ai l'intention de détruire cet endroit.,J'ai l'intention de détruire cet endroit.,25,25,1,1,True
26,125,125,125,,,"Oh, simple curiosité.","Oh, simple curiosité.",26,26,1,1,True
27,126,126,126,JAIN11,JAIN11,Es-tu un Enfant?,Es-tu un Enfant?,27,27,1,1,True
28,127,127,127,,,Vous trouvez que j'ai l'air si jeune?,Vous trouvez que j'ai l'air si jeune?,28,28,1,1,True
29,128,128,128,,,Est-ce que je suis un Enfant de la Cathédrale? Non.,Est-ce que je suis un Enfant de la Cathédrale? Non.,29,29,1,1,True
30,129,129,129,,,Je suis un dévot.,Je suis un dévot.,30,30,1,1,True
31,130,130,130,JAIN12,JAIN12,"Alors, tu devrais savoir que tu n'as rien à faire ici. Surveille tes manières. Adieu.","Alors, tu devrais savoir que tu n'as rien à faire ici. Surveille tes manières. Adieu.",31,31,1,1,True
32,131,131,131,,,Ok.,Ok.,32,32,1,1,True
33,132,132,132,,,Rien à cirer.,Rien à cirer.,33,33,1,1,True
34,133,133,133,JAIN13,JAIN13,Désires-tu te convertir à notre foi? Nous pouvons t'offrir plus que personne...,Désires-tu te convertir à notre foi? Nous pouvons t'offrir plus que personne...,34,34,1,1,True
35,134,134,134,,,Quoi donc?,Quoi donc?,35,35,1,1,True
36,135,135,135,,,"Non, ça m'intéresse pas. A mon avis, vous êtes tous des toqués.","Non, ça m'intéresse pas. A mon avis, vous êtes tous des toqués.",36,36,1,1,True
37,136,136,136,JAIN14,JAIN14,"Une vie remplie de contentement... savoir que tu travailles à reconstruire la planète, à la rendre meilleure pour ceux qui nous suivront.","Une vie remplie de contentement... savoir que tu travailles à reconstruire la planète, à la rendre meilleure pour ceux qui nous suivront.",37,37,1,1,True
38,137,137,137,,,"Ça, c'est intéressant. Tu peux m'en dire plus? Je cherche le contentement.","Ça, c'est intéressant. Tu peux m'en dire plus? Je cherche le contentement.",38,38,1,1,True
39,138,138,138,,,"Ouais, c'est ça, j'parie qu'y a plein de choses à reconstruire et que vous êtes au sommet du contentement.","Ouais, c'est ça, j'parie qu'y a plein de choses à reconstruire et que vous êtes au sommet du contentement.",39,39,1,1,True
40,139,139,139,,,Je crois pas. Ça paraît trop beau pour être vrai.,Je crois pas. Ça paraît trop beau pour être vrai.,40,40,1,1,True
41,140,140,140,JAIN15,JAIN15,Crois ce que tu veux. Va chercher ailleurs. Tu peux disposer.,Crois ce que tu veux. Va chercher ailleurs. Tu peux disposer.,41,41,1,1,True
42,141,141,141,JAIN17,JAIN17,Nous n'aimons pas qu'on raille notre cause sacrée. On te puniera si tu continues.,Nous n'aimons pas qu'on raille notre cause sacrée. On te puniera si tu continues.,42,42,1,1,True
43,142,142,142,,,T'es belle quand tu te fâches.,T'es belle quand tu te fâches.,43,43,1,1,True
44,143,143,143,,,Pardon.,Pardon.,44,44,1,1,True
45,144,144,144,JAIN18,JAIN18,"Quand les Enfants domineront la terre nouvelle, ceux de ton espèce disparaîtront, hérétique! Va-t'en maintenant!","Quand les Enfants domineront la terre nouvelle, ceux de ton espèce disparaîtront, hérétique! Va-t'en maintenant!",45,45,1,1,True
46,145,145,145,JAIN19,JAIN19,Mon sens de l'humour s'arrête là où commence ma mission à la tête des Enfants. Ne l'oublie pas.,Mon sens de l'humour s'arrête là où commence ma mission à la tête des Enfants. Ne l'oublie pas.,46,46,1,1,True
47,146,146,146,,,Je connais pas tellement les Enfants.,Je connais pas tellement les Enfants.,47,47,1,1,True
48,147,147,147,,,D'accord.,D'accord.,48,48,1,1,True
49,148,148,148,JAIN20,JAIN20,"Si tu poursuis une quête spirituelle, tu as frappé à la bonne porte. Les Enfants de la Cathédrale tentent de résoudre les problèmes de ce monde dans la paix, et ton aide pourrait nous être utile.","Si tu poursuis une quête spirituelle, tu as frappé à la bonne porte. Les Enfants de la Cathédrale tentent de résoudre les problèmes de ce monde dans la paix, et ton aide pourrait nous être utile.",49,49,1,1,True
50,149,149,149,,,"Quelles sont les intentions des Enfants, pour les mutants?","Quelles sont les intentions des Enfants, pour les mutants?",50,50,1,1,True
51,150,150,150,,,Comment les Enfants trouvent-ils la paix dans ce désert?,Comment les Enfants trouvent-ils la paix dans ce désert?,51,51,1,1,True
52,151,151,151,JAIN21,JAIN21,"Ceux qui peuvent être ramenés au bercail, qu'ils le soient. Ceux qui résistent souffriront.","Ceux qui peuvent être ramenés au bercail, qu'ils le soient. Ceux qui résistent souffriront.",52,52,1,1,True
53,152,152,152,,,Ça n'a pas l'air évident.,Ça n'a pas l'air évident.,53,53,1,1,True
54,153,153,153,,,Il est temps que tu sentes les douleurs de la souffrance...,Il est temps que tu sentes les douleurs de la souffrance...,54,54,1,1,True
55,154,154,154,,,Ainsi va la vie. Je souhaite que votre croisade réussisse!,Ainsi va la vie. Je souhaite que votre croisade réussisse!,55,55,1,1,True
56,155,155,155,,,"Bon, je dois m'en aller.","Bon, je dois m'en aller.",56,56,1,1,True
57,156,156,156,JAIN22,JAIN22,"Avec de la persévérance, les Enfants peuvent tout. Nous n'échouerons pas.","Avec de la persévérance, les Enfants peuvent tout. Nous n'échouerons pas.",57,57,1,1,True
58,157,157,157,,,J'espère bien pour vous.,J'espère bien pour vous.,58,58,1,1,True
59,158,158,158,,,"Ouais, c'est ça. Peu importe.","Ouais, c'est ça. Peu importe.",59,59,1,1,True
60,159,159,159,,,C'est ça. Salut.,C'est ça. Salut.,60,60,1,1,True
61,160,160,160,JAIN26,JAIN26,Blasphème! Tu es dans une maison sacrée! Comment as-tu osé de telles pensées?!...,Blasphème! Tu es dans une maison sacrée! Comment as-tu osé de telles pensées?!...,61,61,1,1,True
62,161,161,161,,,"T'énerve pas, je blaguais!","T'énerve pas, je blaguais!",62,62,1,1,True
63,162,162,162,,,Du calme. Tu veux que j'te montre?,Du calme. Tu veux que j'te montre?,63,63,1,1,True
