occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"Voici Jérémie, un messager pour les Enfants.","Voici Jérémie, un messager pour les Enfants.",1,1,1,1,True
2,101,101,101,,,Voici un Enfant. Il a l'air pensif.,Voici un Enfant. Il a l'air pensif.,2,2,1,1,True
3,102,102,102,,,"Excuse-moi, frère. Je n'avais pas vu qu'il y avait quelqu'un. Comment puis-je servir le Maître?","Excuse-moi, frère. Je n'avais pas vu qu'il y avait quelqu'un. Comment puis-je servir le Maître?",3,3,1,1,True
4,103,103,103,,,Quel sarcasme!,Quel sarcasme!,4,4,1,1,True
5,104,104,104,,,Qu'est-ce que tu fais?,Qu'est-ce que tu fais?,5,5,1,1,True
6,105,105,105,,,"Ah, oui, un super mutant en rodage. Je vais retourner à ma tâche.","Ah, oui, un super mutant en rodage. Je vais retourner à ma tâche.",6,6,1,1,True
7,106,106,106,,,"Si tu ne le sais pas, c'est que tu n'as pas à le savoir. Si tu cherches à savoir quelque chose que tu ne dois pas savoir, il faudra que je le rapporte à nos surveillants.","Si tu ne le sais pas, c'est que tu n'as pas à le savoir. Si tu cherches à savoir quelque chose que tu ne dois pas savoir, il faudra que je le rapporte à nos surveillants.",7,7,1,1,True
8,107,107,107,,,Je suis une personne très importante.,Je suis une personne très importante.,8,8,1,1,True
9,108,108,108,,,Je ne voulais pas te déranger.,Je ne voulais pas te déranger.,9,9,1,1,True
10,109,109,109,,,Je viens d'arriver.,Je viens d'arriver.,10,10,1,1,True
11,110,110,110,,,Tu te prends pour qui pour me questionner ainsi?! Tu as de la chance que je ne fasse pas un rapport sur toi à la flamme sacrée!!,Tu te prends pour qui pour me questionner ainsi?! Tu as de la chance que je ne fasse pas un rapport sur toi à la flamme sacrée!!,11,11,1,1,True
12,111,111,111,,,"Chargé des transmissions de rapports, bien sûr.","Chargé des transmissions de rapports, bien sûr.",12,12,1,1,True
13,112,112,112,,,Les rapports sur quoi? Si je me permets.,Les rapports sur quoi? Si je me permets.,13,13,1,1,True
14,113,113,113,,,Tu dois avoir de lourdes responsabilités.,Tu dois avoir de lourdes responsabilités.,14,14,1,1,True
15,114,114,114,,,C'est tout. Merci.,C'est tout. Merci.,15,15,1,1,True
16,115,115,115,,,Très bien. Que la Paix soit avec toi.,Très bien. Que la Paix soit avec toi.,16,16,1,1,True
17,116,116,116,,,Toutes mes excuses. A quoi puis-je être utile?,Toutes mes excuses. A quoi puis-je être utile?,17,17,1,1,True
18,117,117,117,,,Que fais-tu au juste?,Que fais-tu au juste?,18,18,1,1,True
19,118,118,118,,,Commence par répondre à ma question.,Commence par répondre à ma question.,19,19,1,1,True
20,119,119,119,,,Tu peux toujours crever!,Tu peux toujours crever!,20,20,1,1,True
21,120,120,120,,,Gardes!!!,Gardes!!!,21,21,1,1,True
22,121,121,121,,,Il est évident que tu n'es pas d'ici. Qui es-tu?,Il est évident que tu n'es pas d'ici. Qui es-tu?,22,22,1,1,True
23,122,122,122,,,Je suis un Habitant de l'Abri et je voudrais parler au Maître.,Je suis un Habitant de l'Abri et je voudrais parler au Maître.,23,23,1,1,True
24,123,123,123,,,Emm... Dorpheus... hmm... je viens de la part de Morpheus.,Emm... Dorpheus... hmm... je viens de la part de Morpheus.,24,24,1,1,True
25,124,124,124,,,Je suis Loki. Un initié du sud.,Je suis Loki. Un initié du sud.,25,25,1,1,True
26,125,125,125,,,"Non, je ne suis pas d'ici. Mais je sais où cette balle va aller... dans ta tête.","Non, je ne suis pas d'ici. Mais je sais où cette balle va aller... dans
 ta tête.",26,27,1,1,True
27,126,126,126,,,Je transmets des rapports sur la pureté des humains pour les zones aux alentours. Mais tu devrais être au courant de ça. [il te jette un regard soupçonneux] Qui es-tu?,"Je transmets des rapports sur la pureté des humains pour les zones aux alentours. Mais
 tu devrais être au courant de ça. [il te jette un regard soupçonneux] Qui es-tu?",28,29,1,1,True
28,127,127,127,,,J'ai un message de Morpheus pour le Maître.,J'ai un message de Morpheus pour le Maître.,30,30,1,1,True
29,128,128,128,,,Tu n'as pas à savoir qui je suis... Réponds juste à mes questions!,Tu n'as pas à savoir qui je suis... Réponds juste à mes questions!,31,31,1,1,True
30,129,129,129,,,"Tu ne dois pas savoir qui je suis, c'est la volonté du Maître.","Tu ne dois pas savoir qui je suis, c'est la volonté du Maître.",32,32,1,1,True
31,130,130,130,,,"Tu oses me demander qui je suis? Imbécile, je devrais t'abattre sur place.","Tu oses me demander qui je suis? Imbécile, je devrais t'abattre sur
 place.",33,34,1,1,True
32,131,131,131,,,C'est surprenant... Je n'ai jamais entendu parler de toi.,C'est surprenant... Je n'ai jamais entendu parler de toi.,35,35,1,1,True
33,132,132,132,,,J'ai un message de la part de Morpheus pour le Maître.,J'ai un message de la part de Morpheus pour le Maître.,36,36,1,1,True
34,133,133,133,,,"J'appartiens au Grand Ordre. Pour garantir ma sécurité à l'extérieur, le Maître et Morpheus sont les seuls à savoir qui je suis. Mais je suis de retour sur ordre du Maître.","J'appartiens au Grand Ordre. Pour garantir ma sécurité à l'extérieur, le Maître et Morpheus sont les seuls à savoir qui je suis. Mais je suis de retour sur ordre du Maître.",37,37,1,1,True
35,134,134,134,,,"S'il te plaît, excuse-moi. Pardonne mes questions. Je ne veux pas te déranger plus longtemps. Si je peux t'être utile à quelque chose, n'hésite pas.","S'il te plaît, excuse-moi. Pardonne mes questions. Je ne veux pas te déranger plus longtemps. Si je peux t'être utile à quelque chose, n'hésite pas.",38,38,1,1,True
36,135,135,135,,,Je ne sais pas qui tu es et tu n'es pas d'ici. Gardes!!!,Je ne sais pas qui tu es et tu n'es pas d'ici. Gardes!!!,39,39,1,1,True
37,136,136,136,,,Qui es-tu et que fais-tu ici?,Qui es-tu et que fais-tu ici?,40,40,1,1,True
