occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici un voyageur.,Voici un voyageur.,1,1,1,1,True
2,101,101,101,,,"Qu'est-ce que tu veux, étranger?","Qu'est-ce que tu veux, étranger?",2,2,1,1,True
3,102,102,102,,,Qui es-tu?,Qui es-tu?,3,3,1,1,True
4,103,103,103,,,Qu'est-ce que tu fais ici?,Qu'est-ce que tu fais ici?,4,4,1,1,True
5,104,104,104,,,Où est la ville la plus proche?,Où est la ville la plus proche?,5,5,1,1,True
6,105,105,105,,,"Rien, merci.","Rien, merci.",6,6,1,1,True
7,106,106,106,,,Euhh...,Euhh...,7,7,1,1,True
8,107,107,107,,,Je suis éclaireur.,Je suis éclaireur.,8,8,1,1,True
9,108,108,108,,,Je surveille les pillards et les monstres.,Je surveille les pillards et les monstres.,9,9,1,1,True
10,109,109,109,,,Ça doit être Dépôtville. Ce n'est pas très loin d'ici.,Ça doit être Dépôtville. Ce n'est pas très loin d'ici.,10,10,1,1,True
11,110,110,110,,,Voici un garde de Dépôtville.,Voici un garde de Dépôtville.,11,11,1,1,True
