occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Il a l'air d'être un garde très expérimenté.,Il a l'air d'être un garde très expérimenté.,1,1,1,1,True
2,101,101,101,,,Je te conseille d'être sur tes gardes ici.,Je te conseille d'être sur tes gardes ici.,2,2,1,1,True
3,102,102,102,,,Il ne vaut mieux pas s'attirer d'ennuis dans cette ville.,Il ne vaut mieux pas s'attirer d'ennuis dans cette ville.,3,3,1,1,True
4,103,103,103,,,"Tiens-toi tranquille, qu'on ne nous cherche pas des noises.","Tiens-toi tranquille, qu'on ne nous cherche pas des noises.",4,4,1,1,True
5,104,104,104,,,C'est bon.,C'est bon.,5,5,1,1,True
6,105,105,105,,,"Le travail, c'est la santé.","Le travail, c'est la santé.",6,6,1,1,True
7,106,106,106,,,"Belle journée, pas vrai?","Belle journée, pas vrai?",7,7,1,1,True
8,107,107,107,,,Ici c'est Dépôtville. Un endroit où il fait bon vivre tant qu'on sait choisir le bon camp.,Ici c'est Dépôtville. Un endroit où il fait bon vivre tant qu'on sait choisir le bon camp.,8,8,1,1,True
9,108,108,108,,,Méfie-toi de Gizmo et de ses gars.,Méfie-toi de Gizmo et de ses gars.,9,9,1,1,True
10,109,109,109,,,"Mon chef, c'est le meilleur.","Mon chef, c'est le meilleur.",10,10,1,1,True
11,110,110,110,,,Range-moi ça. Dépôtville est un endroit comme il faut et on entend bien qu'il le reste.,Range-moi ça. Dépôtville est un endroit comme il faut et on entend bien qu'il le reste.,11,11,1,1,True
12,111,111,111,,,Ranger quoi?,Ranger quoi?,12,12,1,1,True
13,112,112,112,,,"Me dis pas ce que j'ai à faire, minable.","Me dis pas ce que j'ai à faire, minable.",13,13,1,1,True
14,113,113,113,,,"Ça semble correct. Au fait, que dit la loi par ici au sujet des armes?","Ça semble correct. Au fait, que dit la loi par ici au sujet des armes?",14,14,1,1,True
15,114,114,114,,,"Euh, oh.","Euh, oh.",15,15,1,1,True
16,115,115,115,,,"Ton arme, crétin. Killian ne te prendra pas tes armes, mais je te conseille de ne pas les sortir.","Ton arme, crétin. Killian ne te prendra pas tes armes, mais je te conseille de ne pas les sortir.",16,16,1,1,True
17,116,116,116,,,"Oh, pardon.","Oh, pardon.",17,17,1,1,True
18,117,117,117,,,Pas question! Personne ne me fera ranger mes flingues!!,Pas question! Personne ne me fera ranger mes flingues!!,18,18,1,1,True
19,118,118,118,,,"T'as intérêt à te tenir à carreau. La loi, c'est la loi et je suis chargé de la faire respecter. Range ton arme. Ne tire qu'en cas de légitime défense et nous autres, les gardes, on te laissera tranquille. Mais si jamais l'idée te prend de ne pas respecter la loi, sois certain qu'on te renverra illico dans ce foutu désert - toi ou ton cadavre.","T'as intérêt à te tenir à carreau. La loi, c'est la loi et je suis chargé de la faire respecter. Range ton arme. Ne tire qu'en cas de légitime défense et nous autres, les gardes, on te laissera tranquille. Mais si jamais l'idée te prend de ne pas respecter la loi, sois certain qu'on te renverra illico dans ce foutu désert - toi ou ton cadavre.",19,19,1,1,True
20,119,119,119,,,"Bon d'accord, j'avais pas vu les choses sous cet angle.","Bon d'accord, j'avais pas vu les choses sous cet angle.",20,20,1,1,True
21,120,120,120,,,Rien à foutre de vos lois!,Rien à foutre de vos lois!,21,21,1,1,True
22,121,121,121,,,"Bon, bon. Ça va. Mais fais gaffe.","Bon, bon. Ça va. Mais fais gaffe.",22,22,1,1,True
23,122,122,122,,,"Bonne question. Interdiction de faire usage des armes, sauf en cas de légitime défense. Si c'est toi qui fais feu le premier, ce sera de ta faute. Sinon, tu as parfaitement le droit de porter une arme. Ne dégaine ton fusil ou ne sors ton couteau que si tu as une bonne raison de le faire. Bonne continuation.","Bonne question. Interdiction de faire usage des armes, sauf en cas de légitime défense. Si c'est toi qui fais feu le premier, ce sera de ta faute. Sinon, tu as parfaitement le droit de porter une arme. Ne dégaine ton fusil ou ne sors ton couteau que si tu as une bonne raison de le faire. Bonne continuation.",23,23,1,1,True
24,123,123,123,,,"Hé, toi! Qu'est-ce que tu fais avec une arme? T'as les oreilles bouchées, ou quoi? Pas d'armes ici.","Hé, toi! Qu'est-ce que tu fais avec une arme? T'as les oreilles bouchées, ou quoi? Pas d'armes ici.",24,24,1,1,True
25,124,124,124,,,Hé! Toi! Qu'est-ce que tu mijotes?,Hé! Toi! Qu'est-ce que tu mijotes?,25,25,1,1,True
26,125,125,125,,,Rien.,Rien.,26,26,1,1,True
27,126,126,126,,,J'fais rien. J'me promène en faisant attention à mes fesses.,J'fais rien. J'me promène en faisant attention à mes fesses.,27,27,1,1,True
28,127,127,127,,,Euhhh.,Euhhh.,28,28,1,1,True
29,128,128,128,,,"Quoi que tu fasses, on ne veut pas de ça dans cette ville.","Quoi que tu fasses, on ne veut pas de ça dans cette ville.",29,29,1,1,True
30,129,129,129,,,Le garde t'observe pendant un moment. Tu lis dans ses yeux qu'il te reconnaît. Il sort son arme.,Le garde t'observe pendant un moment. Tu lis dans ses yeux qu'il te reconnaît. Il sort son arme.,30,30,1,1,True
31,130,130,130,,,"Bon, euh, c'est bon. Simplement, tiens-toi à carreau.","Bon, euh, c'est bon. Simplement, tiens-toi à carreau.",31,31,1,1,True
32,131,131,131,,,Merci. Salut.,Merci. Salut.,32,32,1,1,True
