occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Voici un voyageur fatigué.,Voici un voyageur fatigué.,1,1,1,1,True
2,101,101,101,,,"Voici Lance, l'un des gardes des patrouilles lointaines des Sables Ombragés.","Voici Lance, l'un des gardes des patrouilles lointaines des Sables Ombragés.",2,2,1,1,True
3,102,102,102,,,Reste où tu es. Nous avons entendu parler de toi aux Sables Ombragés et nous ne voulons pas avoir affaire avec toi.,Reste où tu es. Nous avons entendu parler de toi aux Sables Ombragés et nous ne voulons pas avoir affaire avec toi.,3,3,1,1,True
4,103,103,103,,,"La seule chose qui m'intéresse chez toi, c'est ce que tu possèdes. Donne-moi tes affaires.","La seule chose qui m'intéresse chez toi, c'est ce que tu possèdes. Donne-moi tes affaires.",4,4,1,1,True
5,104,104,104,,,"Eh l'ami, je suis pacifique.","Eh l'ami, je suis pacifique.",5,5,1,1,True
6,105,105,105,,,"Eh, n'ai-je pas sauvé Tandi et tué tous vos radscorpions?","Eh, n'ai-je pas sauvé Tandi et tué tous vos radscorpions?",6,6,1,1,True
7,106,106,106,,,Je ne veux pas d'histoires avec les Sables Ombragés. J'aime bien cet endroit.,Je ne veux pas d'histoires avec les Sables Ombragés. J'aime bien cet endroit.,7,7,1,1,True
8,107,107,107,,,Hein?,Hein?,8,8,1,1,True
9,108,108,108,,,J'ai entendu parler de toi et je n'ai pas l'intention de te laisser me tuer.,J'ai entendu parler de toi et je n'ai pas l'intention de te laisser me tuer.,9,9,1,1,True
10,109,109,109,,,Je n'ai rien à te dire.,Je n'ai rien à te dire.,10,10,1,1,True
11,110,110,110,,,Ouais? Qu'est-ce que tu veux cette fois?,Ouais? Qu'est-ce que tu veux cette fois?,11,11,1,1,True
12,111,111,111,,,Sais-tu où je pourrais trouver une puce d'eau?,Sais-tu où je pourrais trouver une puce d'eau?,12,12,1,1,True
13,112,112,112,,,Et Tandi?,Et Tandi?,13,13,1,1,True
14,113,113,113,,,Des problèmes avec les pillards dernièrement?,Des problèmes avec les pillards dernièrement?,14,14,1,1,True
15,114,114,114,,,Comment ça va aux Sables Ombragés?,Comment ça va aux Sables Ombragés?,15,15,1,1,True
16,115,115,115,,,Hum!,Hum!,16,16,1,1,True
17,116,116,116,,,Bonjour. Que fais-tu dans le désert? D'où viens-tu?,Bonjour. Que fais-tu dans le désert? D'où viens-tu?,17,17,1,1,True
18,117,117,117,,,Je pourrais te poser les mêmes questions.,Je pourrais te poser les mêmes questions.,18,18,1,1,True
19,118,118,118,,,"Excuse-moi, mais j'ai l'impression que c'est une question qui amène une réponse plutôt dangereuse.","Excuse-moi, mais j'ai l'impression que c'est une question qui amène une réponse plutôt dangereuse.",19,19,1,1,True
20,119,119,119,,,Connais-tu un endroit où je pourrais m'approvisionner?,Connais-tu un endroit où je pourrais m'approvisionner?,20,20,1,1,True
21,120,120,120,,,Je viens d'un Abri. L'Abri 13 de la chance!,Je viens d'un Abri. L'Abri 13 de la chance!,21,21,1,1,True
22,121,121,121,,,Hein?,Hein?,22,22,1,1,True
